HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
54109,-50.184,12.439,5.248,0,None,0,0,0,-0.05,,,0.26,0.02,0.01,-0.03,0.12,-0.05,,-0.14,-0.2,0,-0.24,-0.07,0.01,
54114,-8.575,2.124,-44.899,0,None,0,0,0,0.17,,0.12,-0.03,0.11,0.2,0.06,0.14,0.22,,0.16,,0.16,0.26,,0.19,
54155,-25.448,6.263,-1.934,0,None,0,0,0,0.11,,0.11,0.06,0.06,0.11,0.04,0.07,0.1,0.08,0.1,0.05,0.11,-0.1,-0.02,0.06,0.29
54158,-135.878,33.412,-6.142,1,Radial Velocity,1,0.9,1.02,-0.06,,-0.33,-0.25,-0.22,-0.12,-0.19,-0.18,-0.11,-0.16,-0.08,-0.1,-0.16,-0.28,-0.05,-0.14,0.07
54195,-81.318,19.804,-15.197,2,Radial Velocity,1,0.8,1.67,0.38,,0.4,0.24,0.52,0.43,0.42,0.43,0.34,0.38,0.36,0.3,0.31,0.42,0.4,0.42,0.37
54203,,,,1,Radial Velocity,1,7.74,1.09,,,,,,,,,,,,,,,,,
54211,-3.457,0.838,3.378,0,None,0,0,0,-0.44,,-0.4,-0.38,,-0.19,-0.5,-0.36,-0.24,,-0.05,-0.42,,-0.65,,,
54232,,,,1,Radial Velocity,1,20.96,10.94,,,,,,,,,,,,,,,,,
54242,-52.986,12.759,-20.279,0,None,0,0,0,-0.01,-0.78,0.04,0.01,-0.04,-0.01,0,-0.02,0.03,0.26,0.01,-0.09,-0.03,-0.17,0.01,-0.03,0.05
54268,-111.043,26.596,14.088,0,None,0,0,0,-0.36,,-0.25,,-0.46,-0.31,-0.56,-0.28,-0.29,,-0.29,-0.41,-0.42,-0.78,-0.34,-0.37,
54287,-22.305,5.321,-22.435,0,None,0,0,0,0.14,-1.4,0.13,0.05,0.12,0.19,0.16,0.14,0.15,0.21,0.15,0.08,0.11,0.05,0.18,0.14,0.09
54291,-74.426,17.711,-94.329,0,None,0,0,0,0.2,-3.11,0.04,0.1,0.47,0.4,0.51,0.47,0.33,0.13,0.21,0.36,0.29,0.29,0.33,0.34,-0.02
54301,-50.835,12.078,-100.048,0,None,0,0,0,0.06,,,,0.35,-0.01,0.09,0.19,0.08,0.14,0.13,0.14,0.08,-0.1,0,0.06,
54347,-46.859,11.016,22.998,0,None,0,0,0,0.06,,-0.02,0.12,-0.04,-0.01,-0.15,0.01,0.14,,0.08,-0.06,0.05,-0.18,,0,0.15
54348,-18.918,4.444,-35.934,0,None,0,0,0,-0.08,,-0.13,,0.1,-0.07,0.14,-0.15,-0.03,0.36,0.17,0.44,-0.05,-0.24,0,-0.07,
54373,,,,1,Radial Velocity,2,0.02712,0.57,,,,,,,,,,,,,,,,,
54375,-43.339,10.109,18.028,0,None,0,0,0,0.18,-0.84,0.02,-0.12,,,,-0.04,,,-0.21,0.06,,,-0.05,0.26,
54381,-72.5,16.877,27.494,0,None,0,0,0,0.22,,0.19,0.08,0,0.16,0.09,0.13,0.16,,0.13,0.15,0.16,0.06,,0.18,0.21
54383,-47.263,10.998,11.972,0,None,0,0,0,0.11,,0.1,0.08,-0.06,0.14,0.01,0.06,0.18,0.34,0.13,0.06,0.08,-0.08,0.27,0.08,0.18
54400,-21.363,4.941,-12.749,1,Radial Velocity,3,0.028,0.89,-0.17,-2,-0.09,-0.13,-0.19,-0.09,-0.17,-0.14,-0.09,-0.09,-0.08,-0.2,-0.18,-0.38,-0.16,-0.18,-0.22
54406,-139.143,32.133,-63.159,0,None,0,0,0,0.28,,0.13,0.14,0.12,0.11,0.11,0.07,0.27,,0.19,0.16,0.27,0.26,,0.3,0.39
54413,,,,1,Disk Kinematics,1,2.5,2.4,,,,,,,,,,,,,,,,,
54426,-17.474,4.015,14.224,0,None,0,0,0,-0.13,,-0.12,-0.19,-0.26,-0.13,-0.22,-0.1,-0.08,,-0.12,-0.08,-0.14,-0.29,,-0.14,-0.13
54446,-45.059,10.32,-22.7,0,None,0,0,0,-0.15,,-0.2,,-0.14,-0.23,-0.22,-0.17,-0.15,-0.13,-0.01,0.11,-0.16,-0.37,-0.21,-0.22,
54498,-53.24,12.054,47.747,0,None,0,0,0,0.11,,0.15,-0.01,-0.02,0.06,-0.02,0.05,0.06,,0.02,0.05,0.07,-0.02,,0.09,0.07
54539,-33.073,7.383,33.299,0,None,0,0,0,-0.06,-2.12,-0.22,-0.06,0.18,0.13,0.17,0.22,0.1,-0.09,-0.04,-0.08,0.07,-0.11,0.01,0.01,0.05
54541,-28.421,6.344,1.249,0,None,0,0,0,0.13,,0.19,-0.03,0.12,0.21,0.16,0.14,0.13,0.2,0.12,0.12,0.15,0.11,0.17,0.15,0.27
54582,-31.386,6.926,-4.168,0,None,0,0,0,-0.06,-1.66,-0.02,0.02,-0.1,-0.01,-0.08,-0.04,-0.01,0,0.02,-0.11,-0.06,-0.22,-0.06,-0.08,-0.05
54595,,,,1,Radial Velocity,1,1.14,0.96,,,,,,,,,,,,,,,,,
54597,-33.603,7.383,-19.397,1,Radial Velocity,1,2.4,0.8,-0.18,,-0.22,,0.04,-0.09,0.06,-0.22,-0.04,0.38,0.13,0.42,-0.13,-0.35,-0.04,-0.16,
54614,-26.26,5.746,24.569,0,None,0,0,0,0.3,,0.27,0.16,0.36,0.23,0.22,0.27,0.28,,0.31,0.31,0.25,0.21,,0.33,0.2
54632,-6.569,1.429,46.257,0,None,0,0,0,0.1,-1.28,0.11,-0.05,0.18,0.24,0.16,0.12,0.18,0.29,0.18,0.17,0.19,0.01,0.2,0.2,-0.05
54641,-23.242,5.045,-52.012,0,None,0,0,0,-1.13,-0.76,-0.84,-0.61,-1.13,-0.83,-1.36,-0.91,-0.96,-0.88,-0.96,-1.18,-1.22,-1.52,-0.9,-1.15,-1.16
54646,,,,2,Radial Velocity,2,0.0322,0.69,,,,,,,,,,,,,,,,,
54703,-120.725,25.681,-62.364,0,None,0,0,0,-0.04,-2.78,,,0.17,0.19,0.07,0.12,0.07,0.09,0.02,0.07,0,-0.14,0.08,0,
54704,-19.3,4.101,-9.682,0,None,0,0,0,-0.02,,0.1,0.03,-0.02,0.11,0.1,0.01,0.04,0.07,0.07,0.08,-0.02,-0.16,0.07,-0.03,-0.02
54745,-17.988,3.779,13.264,0,None,0,0,0,0.1,-0.73,0.05,-0.21,0.09,0.11,0,0.08,0.19,0.3,0.1,0.07,0.16,0.02,0.11,0.07,0.22
54810,-17.916,3.709,1.434,0,None,0,0,0,0.12,-3.78,,0.14,,0.04,,0.21,,,0.06,,,,,,
54842,-91.565,18.767,81.506,0,None,0,0,0,0.15,-2.86,-0.08,-0.04,0.32,0.33,0.42,0.36,0.28,0.12,0.19,0.27,0.24,0.2,0.23,0.26,0.07
54858,-196.19,39.993,167.876,0,None,0,0,0,-0.96,,,,-1.25,-0.92,,-0.73,-0.93,,-0.89,-1.24,-1.23,,,-1.21,
54863,-63.511,12.913,9.179,0,None,0,0,0,0.29,,,,0.2,0.32,0.29,0.18,0.12,,0.16,,0.07,,,0.12,
