HIP,X,Y,Z,Exo,Discorery,Multi,MaxPMass,StarMass,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y1
57,10.17,0.03,-27.459,0,None,0,0,0,0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0,0.15
154,126.296,1.08,-13.306,0,None,0,0,0,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,
171,11.257,0.107,5.756,0,None,0,0,0,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61
184,33.173,0.341,6.452,0,None,0,0,0,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05
212,222.195,2.573,-123.555,0,None,0,0,0,0,,,,,,,0.07,0.27,,,,,,,,
213,147.005,1.711,184.64,0,None,0,0,0,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69
305,41.716,0.708,-22.553,0,None,0,0,0,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03
343,97.48,1.842,-28.934,0,None,0,0,0,0.18,-3.02,0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16
348,56.363,1.072,12.971,0,None,0,0,0,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,
379,37.387,0.767,88.813,0,None,0,0,0,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08
400,24.195,0.521,10.407,0,None,0,0,0,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,
407,14.98,0.325,-41.647,0,None,0,0,0,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13
410,115.764,2.536,60.727,0,None,0,0,0,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07
413,41.152,0.906,-29.923,0,None,0,0,0,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02
417,145.309,3.211,-1.276,0,None,0,0,0,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06
419,133.823,2.987,-122.949,0,None,0,0,0,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0,,,,,-0.37,
420,25.91,0.579,-33.353,0,None,0,0,0,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,
436,6.19,0.143,-15.197,0,None,0,0,0,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,
447,332.903,7.802,51.478,0,None,0,0,0,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02
459,27.632,0.66,-50.331,0,None,0,0,0,0.04,-1.37,0.02,-0.27,0.08,0.05,0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,
475,24.529,0.61,39.749,0,None,0,0,0,-0.33,-1.65,-0.02,-0.09,-0.35,-0.37,-0.45,-0.18,-0.25,,-0.37,-0.46,,-0.56,-0.3,-0.36,
476,110.514,2.749,26.329,0,None,0,0,0,-0.03,-2.29,-0.24,-0.1,0.16,0.09,0.17,0.12,0.16,0.09,0.01,-0.06,0.03,-0.11,0.02,0.04,0.13
490,28.928,0.742,-25.831,0,None,0,0,0,0.09,,0.05,0.05,-0.12,-0.03,-0.12,0.02,0.05,0.11,0.07,-0.06,0.09,-0.15,0.05,-0.02,0.21
493,35.515,0.916,11.705,0,None,0,0,0,-0.2,-0.97,0.02,-0.11,-0.3,-0.28,-0.43,-0.15,-0.25,,-0.33,-0.41,,-0.55,-0.25,-0.3,
501,230.516,6.039,-187.651,0,None,0,0,0,-0.27,,-0.41,-0.48,-0.1,-0.3,-0.12,-0.04,-0.29,,-0.04,0.06,-0.19,-0.23,,-0.07,-0.31
518,11.234,0.307,18.294,0,None,0,0,0,0.09,,,0.01,-0.17,0.04,0.08,0.03,0.04,,0.09,0.1,-0.06,-0.09,0.14,0.01,
522,17.136,0.473,-19.772,2,Radial Velocity,3,0.26,1.21,0.11,-0.36,0.21,0.15,0.18,0.06,0.11,0.16,0.15,0.25,0.15,0.05,0.11,0.04,0.12,0.1,0.23
530,80.864,2.271,74.787,0,None,0,0,0,-0.03,-2.58,0.29,0.27,-0.02,-0.05,-0.14,0.09,-0.09,,-0.17,-0.21,,-0.31,-0.08,-0.09,
544,12.028,0.347,6.676,0,None,0,0,0,0.19,-1.04,0.16,0,0.02,0.09,0.04,0.11,0.19,0.18,0.16,0.08,0.17,0.09,0.15,0.11,0.15
562,306.71,9.162,115.09,0,None,0,0,0,0.08,,0.49,0.13,0.18,0.14,-0.04,0.17,0.06,,0.15,,-0.01,,,0.2,
569,52.135,1.57,-3.306,0,None,0,0,0,-0.3,-1.24,-0.21,-0.14,-0.26,-0.2,-0.31,-0.26,-0.24,-0.21,-0.25,-0.37,-0.32,-0.48,-0.25,-0.31,-0.33
616,29.964,0.986,-13.235,0,None,0,0,0,-0.51,,-0.37,-0.3,-0.52,-0.35,-0.37,-0.45,-0.39,-0.37,-0.35,-0.32,-0.48,-0.74,-0.44,-0.52,-0.43
641,27.517,0.945,40.177,0,None,0,0,0,0.26,,,0.24,,,,0.2,,,,,,,,,
655,79.21,2.786,-52.519,0,None,0,0,0,0.04,-3.18,-0.23,-0.15,0.21,0.22,0.24,0.22,0.08,-0.06,0.02,0.11,0.09,0.05,0.05,0.06,-0.03
656,57.576,2.03,78.706,0,None,0,0,0,-0.23,-0.78,0.18,0.14,-0.14,-0.08,-0.2,-0.08,-0.11,0.26,-0.18,-0.26,-0.05,-0.4,-0.08,-0.21,0.34
669,26.309,0.95,-6.968,0,None,0,0,0,-0.11,-0.97,-0.1,-0.14,-0.19,-0.07,-0.18,-0.1,-0.04,-0.03,-0.07,-0.17,-0.09,-0.26,-0.14,-0.13,0
671,104.785,3.793,-16.277,0,None,0,0,0,-0.04,-2.98,-0.25,-0.15,0,0.08,0.14,0.11,0.03,-0.04,-0.05,-0.15,-0.03,-0.14,-0.02,-0.05,0.03
682,38.148,1.404,4.428,0,None,0,0,0,0.18,-0.38,0.13,0.16,-0.01,0.03,-0.05,0.09,0.25,,0.14,0.17,0.19,0.02,,0.08,0.21
699,26.136,0.991,19.443,0,None,0,0,0,-0.2,-1.1,-0.13,-0.09,-0.26,-0.12,-0.23,-0.18,-0.12,0.42,-0.1,-0.13,-0.24,-0.36,-0.02,-0.23,-0.12
716,121.249,4.694,57.78,0,None,0,0,0,-0.09,-3.38,-0.24,-0.06,-0.03,0.03,0.09,0.03,0,-0.03,-0.02,-0.13,-0.06,-0.19,0,-0.09,-0.05
723,14.485,0.566,33.27,0,None,0,0,0,0.05,,,,0.12,0.06,0.32,0.15,0.12,,0.08,-0.04,-0.03,-0.16,-0.01,0.06,
726,42.419,1.666,-35.29,0,None,0,0,0,0.35,-0.69,0.46,0.27,0.56,0.35,0.34,0.38,0.34,0.42,0.4,0.39,0.35,0.32,0.44,0.45,
729,86.725,3.423,28.556,0,None,0,0,0,0.08,-3.28,-0.05,0.04,0.22,0.18,0.2,0.23,0.13,0.12,0.14,0.15,0.07,0.15,0.17,0.09,0.17
746,8.598,0.345,14.406,0,None,0,0,0,-0.09,,0.37,0.42,0.07,-0.11,,-0.02,0.05,0.28,0.11,0.34,-0.14,-0.26,-0.43,-0.18,0.3
765,30.862,1.268,-31.705,0,None,0,0,0,0.06,,,0.3,0.28,0.03,0.06,0.1,0.02,0.08,0.06,0.06,0.02,-0.11,0.08,0.04,
768,101.042,4.177,35.05,0,None,0,0,0,0.05,-1.82,,0.09,-0.01,0.1,-0.02,0.06,0.07,0.2,0.03,,0.04,-0.05,,0.03,-0.02
795,74.512,3.208,11.084,0,None,0,0,0,0.12,,0.04,0.06,-0.15,0.01,-0.04,0.04,0.18,,0.1,0.13,0.12,-0.05,,0.03,0.15
801,32.508,1.402,-39.148,1,Radial Velocity,1,0.33,0.96,-0.19,-0.98,-0.13,-0.14,-0.17,-0.12,-0.22,-0.16,-0.1,-0.16,-0.09,-0.21,-0.17,-0.4,-0.21,-0.21,
814,10.921,0.479,-80.055,0,None,0,0,0,0.11,,,,0.51,0.11,0.17,0.23,0.17,0.3,0.12,0.21,0.14,0.53,0.18,0.12,
846,66.869,3.032,-16.67,0,None,0,0,0,-0.12,,,,-0.22,0.01,-0.18,-0.14,-0.05,0.18,-0.04,-0.1,-0.16,-0.26,0.08,-0.18,0.25
873,70.951,3.319,-15.851,0,None,0,0,0,0.11,-2.65,0.06,-0.02,0.09,0.19,0.13,0.17,0.08,-0.02,0.12,0.04,0.01,0.28,0.06,0.09,
910,18.185,0.895,-5.038,0,None,0,0,0,-0.3,-0.84,-0.27,-0.27,-0.28,-0.23,-0.36,-0.28,-0.23,0.22,-0.26,-0.24,-0.38,-0.56,-0.22,-0.32,-0.28
919,29.163,1.448,17.165,0,None,0,0,0,0.36,,0.12,0.06,0.1,0.1,0.04,0.18,0.27,,0.24,0.2,0.22,0.11,,0.21,0.28
934,19.921,1.009,-31.276,0,None,0,0,0,-0.25,,-0.18,-0.07,-0.29,-0.24,-0.24,-0.26,-0.16,-0.26,-0.14,-0.09,-0.22,-0.38,-0.3,-0.3,-0.15
944,135.347,6.877,-159.553,0,None,0,0,0,-0.23,-3.61,0.27,0.16,-0.16,-0.01,-0.11,0.06,-0.08,0.35,-0.13,-0.06,-0.22,,0.47,-0.05,
948,,,,1,Radial Velocity,1,20.6,0.71,,,,,,,,,,,,,,,,,
950,17.709,0.907,-12.477,0,None,0,0,0,-0.03,-0.84,0.07,-0.04,-0.05,-0.11,-0.13,-0.06,0.05,0.01,-0.05,-0.17,-0.07,-0.22,-0.03,-0.06,0.03
954,120.203,6.19,19.365,0,None,0,0,0,0.11,,-0.15,-0.09,-0.18,-0.03,-0.11,-0.11,0.1,,0,-0.04,0.07,-0.03,,0.08,0.35
966,100.934,5.261,-91.556,0,None,0,0,0,-0.12,-3,-0.24,-0.19,0.06,-0.02,0.04,0.03,-0.06,-0.12,-0.1,-0.1,-0.11,-0.01,-0.07,-0.12,-0.27
996,52.052,2.835,19.215,0,None,0,0,0,0,-1.83,0.06,-0.03,-0.04,,0.05,0.01,0.05,0.14,0.04,-0.04,-0.02,-0.07,,0.02,
1031,10.92,0.612,-17.443,0,None,0,0,0,-0.07,,-0.04,-0.12,-0.13,0,-0.07,-0.08,0.01,-0.05,0.04,0.02,-0.05,-0.15,-0.09,-0.11,0.02
1076,47.664,2.79,24.314,0,None,0,0,0,0.29,-2.27,-0.55,0.37,0.15,0.07,0.28,0.07,0.22,0.51,0.47,0.42,0.31,0.13,0.36,0.25,0.58
1105,49.442,2.975,105.571,0,None,0,0,0,-0.27,,0.01,0.11,-0.2,-0.17,-0.36,-0.09,-0.18,,-0.25,-0.37,,-0.56,-0.31,-0.28,
1113,12.055,0.731,-44.111,0,None,0,0,0,0.01,,0.07,0.05,-0.08,0.07,0.01,0.02,0.04,0.08,0,-0.05,0.09,-0.15,-0.02,-0.05,0.28
1128,41.978,2.581,-8.413,0,None,0,0,0,-0.62,,-0.39,-0.23,-0.55,-0.3,-0.36,-0.43,-0.4,-0.42,-0.32,-0.52,-0.61,-0.93,-0.52,-0.62,-0.52
1134,45.185,2.797,-5.718,0,None,0,0,0,0.2,,0.13,0.12,-0.02,,,0.07,,,0.03,,,,,0.04,
1137,65.561,4.072,46.713,0,None,0,0,0,0,,,,-0.09,0.1,-0.06,0.01,0.11,1.18,0.1,0.16,0.03,-0.26,0.34,-0.05,0.55
1144,44.595,2.793,-23.291,0,None,0,0,0,0.21,,0.15,0.11,0.17,0.19,0.12,0.18,0.2,,0.24,0.21,0.18,,0.18,0.23,
1224,45.91,3.059,61.225,0,None,0,0,0,0.16,,,,0.18,0.08,0.09,0.06,0.1,0.12,0.16,0.4,0.15,-0.02,0.22,0.11,
1230,162.48,10.843,-17.513,0,None,0,0,0,0.05,,-0.16,-0.12,-0.15,-0.05,-0.06,-0.2,0.01,,0.01,-0.06,0,0.04,,0.07,0.17
1269,115.967,8.066,209.717,0,None,0,0,0,0.23,-2.05,-0.14,0.16,0.29,0.14,0.27,0.17,0.26,0.34,0.37,0.4,0.32,0.09,0.31,0.22,0.54
1275,55.454,3.878,-22.937,0,None,0,0,0,-0.5,,-0.5,,-0.48,-0.4,-0.44,-0.42,-0.41,-0.35,-0.31,-0.37,-0.49,-0.71,-0.41,-0.53,
1292,3.085,0.219,-17.278,2,Radial Velocity,1,3.37,0.9,0.12,-1.12,0.12,0.03,0.06,0.06,0.06,0.09,0.16,0.11,0.15,0.15,0.14,0.08,0.08,0.09,
1297,55.977,3.974,39.555,0,None,0,0,0,0.02,,0.12,0.11,-0.15,0.09,0.09,0.02,0.07,0.08,0.08,0.09,0.01,-0.16,0.07,0.02,
1306,59.326,4.25,-24.744,0,None,0,0,0,0.3,,0.34,0.12,0.34,0.24,0.23,0.24,0.31,,0.24,0.24,0.27,0.28,,0.35,0.26
1319,144.966,10.498,21.049,0,None,0,0,0,0.15,-2.5,-0.23,-0.06,0.27,0.18,0.32,0.2,0.25,0.18,0.16,0.07,0.2,0.11,0.17,0.13,0.25
1349,17.857,1.319,-23.463,0,None,0,0,0,-0.5,,,-0.41,-0.62,-0.42,-0.57,-0.51,-0.42,-0.44,-0.47,-0.55,-0.51,-0.56,-0.3,-0.57,-0.55
1365,189.283,14.143,-5.478,0,None,0,0,0,-0.38,,-0.51,-0.33,-0.54,-0.42,-0.46,-0.5,-0.32,,-0.35,-0.37,-0.43,-0.66,,-0.39,-0.21
1382,26.038,1.966,-25.087,0,None,0,0,0,-0.24,-1.99,-0.18,-0.24,-0.26,-0.2,-0.26,-0.23,-0.17,-0.23,-0.19,-0.28,-0.24,-0.38,-0.28,-0.28,-0.09
1421,113.543,8.834,3.358,0,None,0,0,0,0.17,,,,0.23,0.13,0.09,0.12,0.11,,0.08,-0.02,0.05,,0.12,0.04,
1444,26.076,2.05,-6.258,0,None,0,0,0,0.01,-1.12,-0.01,-0.05,-0.05,0.04,-0.05,0,0.07,0.1,0.03,-0.09,0,-0.16,0.02,-0.02,0.09
1465,112.103,8.964,22.281,0,None,0,0,0,0.2,-2.51,0.02,0.23,0.34,0.28,0.36,0.35,0.3,0.29,0.29,0.34,0.3,0.21,0.32,0.28,0.33
1475,2.553,0.205,2.476,2,Radial Velocity,2,0.01683,0.38,-0.39,,-0.32,-0.37,,-0.16,-0.44,-0.18,-0.15,,,-0.34,,-0.6,,,
1495,107.339,8.759,45.448,0,None,0,0,0,-0.22,,-0.45,-0.31,-0.41,-0.3,-0.38,-0.42,-0.22,,-0.26,-0.3,-0.28,-0.43,,-0.24,0.03
1499,23.092,1.888,-3.278,1,Radial Velocity,2,0.024,1.02,0.22,-2.43,0.22,0.06,0.26,0.25,0.24,0.19,0.21,0.3,0.22,0.16,0.19,0.17,0.28,0.24,0.2
1547,183.872,15.508,46.195,1,Radial Velocity,1,3.1,1.61,0.14,,-0.17,-0.1,-0.02,0.04,-0.04,-0.03,0.05,0.01,0.03,0.06,0.01,0.06,0.12,0.04,0.3
1562,69.159,5.877,-10.775,0,None,0,0,0,0.16,-2.99,-0.14,0.04,0.44,0.32,0.32,0.45,0.23,0.11,0.14,0.16,0.28,0.13,0.22,0.23,0.24
1598,19.331,1.692,15.285,0,None,0,0,0,-0.28,-1.47,-0.28,-0.2,-0.27,-0.11,-0.18,-0.27,-0.06,-0.17,-0.19,-0.37,-0.24,-0.43,-0.42,-0.3,-0.33
1599,3.629,0.319,-7.768,0,None,0,0,0,-0.17,-0.96,-0.14,-0.07,-0.21,-0.1,-0.18,-0.16,-0.11,-0.07,-0.08,-0.26,-0.21,-0.37,-0.13,-0.2,-0.09
1640,,,,1,Radial Velocity,2,0.96,1.31,,,,,,,,,,,,,,,,,
1666,110.24,10.068,-40.141,1,Radial Velocity,1,6.43,1.5,0.36,,0.17,0.38,0.33,0.22,0.2,0.32,0.37,,0.35,0.26,0.35,0.26,,0.39,0.43
1686,38.833,3.589,30.434,0,None,0,0,0,-0.03,,0.27,0.56,-0.08,-0.1,-0.23,-0.13,-0.03,0.17,-0.06,0.03,-0.06,-0.3,0.06,-0.17,-0.06
1692,807.747,75.011,-118.072,1,Radial Velocity,1,6.1,1.09,-0.22,-4.29,-0.03,-0.14,-0.08,-0.03,0.06,0.01,-0.21,-0.09,0.01,0.15,-0.26,-0.12,-0.11,-0.16,-0.38
1708,91.013,8.571,-50.634,0,None,0,0,0,0.16,-1.82,-0.05,0.03,0.56,0.26,0.3,0.32,0.24,0.26,0.16,0.2,0.23,0.3,0.19,0.18,0.18
1745,53.044,5.123,-24.788,0,None,0,0,0,-0.42,,-0.26,,-0.37,-0.32,-0.28,-0.37,-0.3,-0.36,-0.26,-0.38,-0.39,-0.65,-0.37,-0.43,
1746,48.472,4.683,-24.502,0,None,0,0,0,-0.43,,,-0.04,-0.56,-0.14,-0.29,-0.29,-0.33,-0.21,-0.27,-0.36,-0.45,-0.65,-0.24,-0.44,-0.45
1760,85.654,8.356,66.662,0,None,0,0,0,0.1,,-0.19,-0.15,-0.13,-0.02,-0.06,-0.12,0.08,,0.03,-0.01,0.06,0.04,,0.11,0.3
1779,13.732,1.357,-45.225,0,None,0,0,0,0.3,,0.16,,0.27,0.23,0.22,0.24,0.25,,0.3,0.33,0.34,,0.3,0.35,
1803,20.739,2.076,-4.51,0,None,0,0,0,0.22,-0.73,0.15,0.02,0.2,0.24,0.17,0.2,0.25,0.34,0.24,0.2,0.26,0.13,0.33,0.23,0.37
1813,37.102,3.736,15.35,0,None,0,0,0,0.01,,-0.01,-0.06,-0.13,-0.01,-0.09,-0.03,0.02,,-0.02,0.04,-0.03,-0.15,,-0.03,-0.01
1823,21.358,2.158,-46.291,0,None,0,0,0,-0.25,,-0.25,-0.1,-0.31,-0.1,-0.26,-0.15,-0.21,,-0.15,-0.24,-0.31,,-0.26,-0.25,
1837,18.436,1.878,-12.112,0,None,0,0,0,-0.07,,,,-0.08,-0.22,-0.01,-0.18,,,0.21,0.36,0.08,,-0.03,-0.09,
1877,41.241,4.282,-79.395,0,None,0,0,0,-0.26,,,-0.35,-0.35,-0.12,-0.21,-0.21,-0.2,-0.16,-0.23,-0.26,-0.3,-0.41,-0.15,-0.28,-0.29
1893,48.787,5.115,-12.546,0,None,0,0,0,-0.05,,-0.06,,-0.11,-0.04,-0.04,-0.08,0.01,-0.03,0.06,-0.02,-0.07,-0.26,-0.09,-0.09,
1931,46.341,4.94,-70.813,1,Radial Velocity,1,6.11,0,0.36,-0.98,0.34,0.15,0.38,0.32,0.27,0.33,0.3,0.42,0.33,0.31,0.33,0.36,0.46,0.36,0.3
1933,44.441,4.743,-20.698,0,None,0,0,0,-0.02,,-0.02,,0.08,-0.02,0.14,-0.02,0.01,0.18,0.14,0.38,-0.01,-0.14,0.11,0,
1936,15.855,1.697,-8.134,0,None,0,0,0,-0.32,,-0.3,-0.19,-0.3,-0.26,-0.23,-0.31,-0.18,-0.04,-0.16,0.03,-0.24,-0.45,-0.24,-0.32,-0.26
1954,16.534,1.79,-22.877,0,None,0,0,0,-0.05,-1.92,-0.05,-0.14,-0.12,-0.03,-0.1,-0.08,-0.02,-0.02,-0.04,-0.1,-0.06,-0.17,-0.06,-0.09,-0.03
1976,36.156,3.963,-21.594,0,None,0,0,0,0.23,,0.18,0.04,0.07,0.22,0.11,0.2,0.15,0.21,0.14,0.1,0.16,0.05,0.22,0.18,-0.01
2006,166.347,18.514,5.668,0,None,0,0,0,0.01,-2.38,-0.29,-0.19,0.3,0.11,0.02,0.1,0.09,-0.02,0.01,-0.06,0,-0.14,-0.02,-0.06,0.09
2021,1.635,0.185,-7.276,0,None,0,0,0,-0.08,-0.88,-0.08,-0.06,-0.07,0,-0.08,-0.06,-0.05,0.02,-0.06,-0.01,-0.08,-0.2,-0.02,-0.1,-0.12
2049,90.269,10.274,-48.864,0,None,0,0,0,0.25,,0.16,0.05,0.09,0.19,0.22,0.23,0.16,,0.21,0.2,0.23,,0.23,0.3,
2057,99.302,11.336,0.763,0,None,0,0,0,-0.14,,,-0.22,-0.28,-0.05,-0.15,-0.13,-0.11,-0.09,-0.19,-0.26,-0.18,-0.27,-0.11,-0.17,-0.2
2100,447.96,52.274,-0.39,0,None,0,0,0,-0.28,-2.97,-0.53,-0.22,-0.23,-0.2,-0.1,-0.17,-0.16,-0.16,-0.2,-0.32,-0.27,-0.44,-0.18,-0.3,-0.3
2131,31.47,3.729,55.792,0,None,0,0,0,-0.17,-3.18,-0.07,-0.13,-0.32,,-0.16,-0.21,-0.12,-0.07,-0.12,-0.25,-0.24,-0.35,,-0.24,
2156,120.401,14.374,11.969,0,None,0,0,0,0.12,,0.07,0.06,0,0.1,0.07,0.09,0.16,,0.1,0.11,0.11,-0.02,,0.14,0.15
2194,38.629,4.696,-24.683,0,None,0,0,0,-0.56,,,-0.12,-0.7,-0.36,-0.43,-0.38,-0.47,-0.39,-0.39,-0.46,-0.58,-0.74,-0.35,-0.55,-0.51
2213,134.867,16.544,48.155,0,None,0,0,0,0.41,-2.29,-0.04,0.49,0.37,0.34,0.47,0.31,0.43,0.62,0.61,0.57,0.46,0.41,0.48,0.42,0.75
2235,37.152,4.617,6.729,0,None,0,0,0,-0.3,,-0.04,-0.4,-0.18,-0.18,-0.32,-0.24,-0.19,-0.05,-0.22,-0.27,-0.35,,-0.14,-0.3,0.4
2237,29.944,3.723,-11.183,0,None,0,0,0,0.13,,,,0.06,0.21,0.12,0.08,0.21,0.45,0.18,0.05,0.16,0.05,0.21,0.07,0.5
2247,32.897,4.123,-9.649,1,Radial Velocity,1,5.1,0.74,0.05,,-0.16,,0.36,0.15,0.34,0.07,0.18,0.66,0.32,0.59,0.07,-0.07,0.23,0.09,
2256,74.019,9.324,-90.608,0,None,0,0,0,-0.02,-3.12,-0.23,-0.14,0.14,0.15,0.18,0.11,0.12,-0.05,0,0.08,0.06,0.01,0,-0.01,-0.01
2282,34.081,4.362,-41.847,0,None,0,0,0,0.3,,,,0.32,,,0.29,,,0.24,,,,,0.34,
2288,79.116,10.145,-37.077,0,None,0,0,0,0.17,,,,0.2,0.24,0.26,0.21,0.19,0.3,0.18,0.09,0.22,0.11,0.34,0.21,0.18
2292,53.675,6.892,-5.602,0,None,0,0,0,0.23,-0.76,0.25,0.22,0.32,0.25,0.3,0.23,0.26,0.29,0.28,0.25,0.24,0.11,0.26,0.29,
2314,96.098,12.446,44.941,0,None,0,0,0,0.44,,0.17,0.5,0.43,0.27,0.28,0.39,0.46,,0.4,0.31,0.42,0.41,,0.46,0.46
2319,67.211,8.724,-43.292,0,None,0,0,0,-0.53,,,-0.21,-0.46,-0.42,-0.48,-0.47,-0.42,-0.29,-0.45,,-0.59,,-0.33,-0.59,-0.56
2320,78.757,10.23,149.769,0,None,0,0,0,0.3,,,,0.49,0.34,0.39,0.33,0.29,,0.28,0.18,0.29,,0.37,0.31,
2339,53.418,7.009,90.575,0,None,0,0,0,0.04,,-0.08,-0.05,-0.17,-0.02,-0.11,-0.1,0.04,,-0.01,-0.03,0.02,-0.03,,0.04,0.19
2350,53.935,7.1,-5.491,3,Radial Velocity,1,0.42,0.77,0.16,,0.2,-0.14,0.23,0.17,0.22,0.18,0.15,0.31,0.23,0.37,0.18,0.2,0.3,0.2,-0.04
2413,137.356,18.545,213.959,0,None,0,0,0,-1.9,,-1.98,-1.61,-2.28,-1.67,,-1.52,-1.65,,-1.7,-2.01,-2.02,,,-2.01,
2416,31.876,4.31,-48.772,0,None,0,0,0,-0.02,,0.02,-0.02,0.02,0,0.01,-0.03,0.02,0.01,0.08,0.06,0,-0.19,0.01,-0.01,
2422,8.554,1.161,37.45,0,None,0,0,0,-0.01,,-0.06,0.1,-0.07,0.09,0.08,-0.04,0.05,0.11,0.09,0,-0.03,-0.12,0.12,-0.03,-0.08
2434,74.685,10.173,71.213,0,None,0,0,0,-0.06,,,,-0.1,-0.07,-0.03,-0.01,0.07,0.63,0.06,0.05,0.03,-0.24,0.15,-0.09,0.16
2453,13.998,1.918,38.371,0,None,0,0,0,-0.39,-0.8,-0.09,-0.17,-0.38,-0.34,-0.55,-0.28,-0.35,,-0.44,-0.52,,-0.72,-0.42,-0.43,
2498,80.394,11.188,18.61,0,None,0,0,0,0.13,,-0.05,0.01,-0.1,0.05,-0.02,-0.05,0.1,,0.06,0.03,0.1,0.08,,0.12,0.25
2567,116.572,16.687,-38.511,0,None,0,0,0,-0.17,,-0.27,-0.23,-0.42,-0.21,-0.39,-0.31,-0.13,,-0.17,-0.23,-0.18,-0.49,,-0.23,0.05
2568,78.121,11.185,29.184,0,None,0,0,0,0.09,-2.86,-0.08,-0.01,0.24,0.18,0.25,0.29,0.17,0.04,0.04,0.08,0.16,0.05,0.12,0.11,0.04
2611,61.124,8.91,87.874,1,Radial Velocity,1,1.37,1.97,0.04,-3.18,-0.15,0.02,0.13,0.19,0.25,0.19,0.13,0.09,0.08,0.04,0.08,0.03,0.11,0.07,-0.02
2663,26.812,3.975,-18.981,0,None,0,0,0,0.07,,0.08,0.1,-0.03,0.07,-0.06,0.05,0.12,,0.04,0.12,0.1,-0.06,,0.05,0.13
2711,15.548,2.356,-20.4,0,None,0,0,0,0.09,-0.87,0.11,0.07,-0.02,0.04,-0.06,0.05,0.12,,0.05,,0.03,,,0.02,0.14
2712,31.51,4.779,35.291,0,None,0,0,0,-0.1,-1.2,0.04,0.02,-0.15,-0.08,-0.25,-0.07,-0.11,,-0.07,-0.17,-0.08,-0.37,-0.2,-0.09,-0.03
2734,126.827,19.477,30.5,0,None,0,0,0,0.08,-2.99,-0.1,0.06,0.19,0.15,0.29,0.21,0.17,0.2,0.2,0.27,0.19,0.08,0.18,0.16,0.24
2742,20.683,3.185,19.307,0,None,0,0,0,0.22,,0.11,0.06,0.04,0.11,0.07,0.09,0.13,,0.09,0.15,0.13,0.06,,0.15,0.04
2747,38.62,5.953,-44.849,0,None,0,0,0,-0.21,-1.04,-0.2,-0.22,-0.2,-0.15,-0.24,-0.19,-0.12,-0.2,-0.1,-0.24,-0.19,-0.42,-0.24,-0.24,
2762,20.958,3.249,-1.332,0,None,0,0,0,-0.03,,,,-0.11,0.14,0.03,0.04,0.01,0.66,0.14,0.17,0.09,-0.18,0.15,-0.1,0.33
2787,56.434,8.824,-0.504,0,None,0,0,0,-0.07,,-0.09,-0.12,-0.1,-0.04,-0.25,-0.1,0.01,0.01,-0.07,-0.04,-0.14,-0.29,-0.06,-0.16,-0.1
2790,22.514,3.523,-18.95,0,None,0,0,0,-0.06,,0.15,,0,,-0.28,-0.03,-0.09,,0.02,,,,,-0.06,
2832,39.073,6.173,9.283,0,None,0,0,0,-0.18,,-0.11,,-0.15,-0.07,-0.12,-0.08,-0.1,0.52,-0.07,-0.05,0.01,-0.2,0.28,-0.17,0.18
