HIP,Sampled,Predicted,Prob
184,10.0,10.0,1.0
726,9.0,9.0,1.0
919,10.0,10.0,1.0
1803,10.0,10.0,1.0
2292,10.0,10.0,1.0
2926,10.0,10.0,1.0
3174,10.0,10.0,1.0
3311,10.0,10.0,1.0
3502,9.0,9.0,1.0
3583,10.0,10.0,1.0
4423,10.0,10.0,1.0
4696,10.0,10.0,1.0
4752,10.0,10.0,1.0
5529,9.0,9.0,1.0
6431,10.0,10.0,1.0
6512,10.0,10.0,1.0
6714,10.0,10.0,1.0
7080,9.0,9.0,1.0
7276,10.0,10.0,1.0
7539,10.0,10.0,1.0
7607,10.0,10.0,1.0
7693,10.0,10.0,1.0
7862,9.0,9.0,1.0
8398,10.0,10.0,1.0
9353,10.0,10.0,1.0
9911,10.0,10.0,1.0
10090,10.0,10.0,1.0
10218,9.0,9.0,1.0
10492,7.0,7.0,1.0
10531,10.0,10.0,1.0
10599,9.0,9.0,1.0
11924,10.0,10.0,1.0
11941,10.0,10.0,1.0
12894,10.0,10.0,1.0
14194,10.0,10.0,1.0
14721,10.0,10.0,1.0
14774,10.0,10.0,1.0
15310,10.0,10.0,1.0
16460,8.0,8.0,1.0
16727,10.0,10.0,1.0
17356,10.0,10.0,1.0
19038,9.0,9.0,1.0
19126,7.0,7.0,1.0
19633,10.0,10.0,1.0
19641,9.0,9.0,1.0
19983,9.0,9.0,1.0
20441,10.0,10.0,1.0
20489,9.0,9.0,1.0
20557,9.0,9.0,1.0
20741,10.0,10.0,1.0
20800,10.0,10.0,1.0
20998,9.0,9.0,1.0
21654,10.0,10.0,1.0
21923,10.0,10.0,1.0
21960,9.0,9.0,1.0
23069,10.0,10.0,1.0
23750,9.0,9.0,1.0
24110,10.0,10.0,1.0
24176,9.0,9.0,1.0
24813,9.0,9.0,1.0
25166,10.0,10.0,1.0
26834,9.0,9.0,1.0
26935,10.0,10.0,1.0
27090,9.0,9.0,1.0
28913,10.0,10.0,1.0
29349,10.0,10.0,1.0
30243,10.0,10.0,1.0
30377,10.0,10.0,1.0
31655,10.0,10.0,1.0
32994,10.0,10.0,1.0
34069,10.0,10.0,1.0
34239,10.0,10.0,1.0
34877,10.0,10.0,1.0
36210,9.0,9.0,1.0
36866,10.0,10.0,1.0
37171,10.0,10.0,1.0
37520,10.0,10.0,1.0
38216,10.0,10.0,1.0
39039,10.0,10.0,1.0
39242,10.0,10.0,1.0
39298,10.0,10.0,1.0
40663,9.0,9.0,1.0
40761,9.0,9.0,1.0
41226,10.0,10.0,1.0
42011,10.0,10.0,1.0
42074,10.0,10.0,1.0
