HIP,Sampled,Predicted,Prob
60370,9.0,9.0,1.0
7862,10.0,10.0,1.0
61379,10.0,10.0,1.0
117427,10.0,10.0,1.0
117880,10.0,10.0,1.0
117902,10.0,10.0,1.0
13976,10.0,10.0,1.0
14194,10.0,10.0,1.0
14632,10.0,10.0,1.0
16142,9.0,9.0,1.0
16460,10.0,10.0,1.0
16727,9.0,9.0,1.0
17253,10.0,10.0,1.0
115066,9.0,9.0,1.0
115125,10.0,10.0,1.0
115861,10.0,10.0,1.0
116519,10.0,10.0,1.0
726,9.0,9.0,1.0
117411,10.0,9.0,0.9
117375,10.0,9.0,0.9
117367,10.0,9.0,0.9
117320,10.0,9.0,0.9
919,10.0,9.0,0.9
873,10.0,9.0,0.9
116823,10.0,9.0,0.9
116517,10.0,9.0,0.9
116122,10.0,9.0,0.9
115953,10.0,9.0,0.9
115381,10.0,9.0,0.9
12894,10.0,9.0,0.9
17269,10.0,9.0,0.9
17027,10.0,9.0,0.9
16908,10.0,9.0,0.9
16405,10.0,9.0,0.9
15304,10.0,9.0,0.9
61044,10.0,9.0,0.9
60973,10.0,9.0,0.9
60094,10.0,9.0,0.9
59690,10.0,9.0,0.9
59382,10.0,9.0,0.9
59367,10.0,9.0,0.9
59110,10.0,9.0,0.9
58725,10.0,9.0,0.9
7585,10.0,9.0,0.9
7539,10.0,9.0,0.9
7404,10.0,9.0,0.9
65747,10.0,9.0,0.9
64387,10.0,9.0,0.9
63147,10.0,9.0,0.9
62769,10.0,9.0,0.9
62127,10.0,9.0,0.9
61546,10.0,9.0,0.9
58576,10.0,9.0,0.9
57888,10.0,9.0,0.9
54704,10.0,9.0,0.9
54614,10.0,9.0,0.9
53942,10.0,9.0,0.9
53250,10.0,9.0,0.9
69972,10.0,9.0,0.9
69908,10.0,9.0,0.9
69724,10.0,9.0,0.9
69536,10.0,9.0,0.9
68468,10.0,9.0,0.9
67371,10.0,9.0,0.9
73815,10.0,9.0,0.9
72742,10.0,9.0,0.9
72218,10.0,9.0,0.9
70873,10.0,9.0,0.9
8830,10.0,9.0,0.9
52139,10.0,9.0,0.9
51579,10.0,9.0,0.9
51078,10.0,9.0,0.9
50839,10.0,9.0,0.9
50174,10.0,9.0,0.9
48946,10.0,9.0,0.9
78408,10.0,9.0,0.9
76641,10.0,9.0,0.9
76375,10.0,9.0,0.9
76228,10.0,9.0,0.9
75266,10.0,9.0,0.9
75253,10.0,9.0,0.9
9269,10.0,9.0,0.9
46901,10.0,9.0,0.9
46677,10.0,9.0,0.9
43726,10.0,9.0,0.9
43565,10.0,9.0,0.9
43267,10.0,9.0,0.9
43212,10.0,9.0,0.9
82584,10.0,9.0,0.9
82268,10.0,9.0,0.9
81819,10.0,9.0,0.9
81767,10.0,9.0,0.9
81229,10.0,9.0,0.9
80543,10.0,9.0,0.9
80000,10.0,9.0,0.9
6512,10.0,9.0,0.9
88601,10.0,9.0,0.9
5176,10.0,9.0,0.9
86882,10.0,9.0,0.9
85017,10.0,9.0,0.9
9911,10.0,9.0,0.9
42808,10.0,9.0,0.9
42430,10.0,9.0,0.9
42123,10.0,9.0,0.9
40663,10.0,9.0,0.9
39491,10.0,9.0,0.9
92519,10.0,9.0,0.9
92233,10.0,9.0,0.9
91271,10.0,9.0,0.9
90896,10.0,9.0,0.9
90055,10.0,9.0,0.9
89826,10.0,9.0,0.9
89592,10.0,9.0,0.9
96072,10.0,9.0,0.9
95821,10.0,9.0,0.9
95294,10.0,9.0,0.9
95235,10.0,9.0,0.9
93016,10.0,9.0,0.9
93007,10.0,9.0,0.9
92922,10.0,9.0,0.9
92742,10.0,9.0,0.9
38216,10.0,9.0,0.9
38072,10.0,9.0,0.9
37930,10.0,9.0,0.9
11072,10.0,9.0,0.9
98614,10.0,9.0,0.9
98599,10.0,9.0,0.9
98049,10.0,9.0,0.9
98036,10.0,9.0,0.9
96895,10.0,9.0,0.9
96854,10.0,9.0,0.9
96825,10.0,9.0,0.9
35314,10.0,9.0,0.9
35107,10.0,9.0,0.9
35005,10.0,9.0,0.9
34877,10.0,9.0,0.9
34524,10.0,9.0,0.9
33553,10.0,9.0,0.9
33382,10.0,9.0,0.9
32994,10.0,9.0,0.9
31831,10.0,9.0,0.9
30476,10.0,9.0,0.9
101399,10.0,9.0,0.9
101345,10.0,9.0,0.9
100649,10.0,9.0,0.9
100500,10.0,9.0,0.9
100222,10.0,9.0,0.9
100072,10.0,9.0,0.9
99702,10.0,9.0,0.9
29349,10.0,9.0,0.9
29193,10.0,9.0,0.9
28390,10.0,9.0,0.9
26394,10.0,9.0,0.9
25388,10.0,9.0,0.9
24133,10.0,9.0,0.9
106213,10.0,9.0,0.9
104318,10.0,9.0,0.9
103250,10.0,9.0,0.9
102532,10.0,9.0,0.9
101760,10.0,9.0,0.9
110028,10.0,9.0,0.9
109423,10.0,9.0,0.9
109303,10.0,9.0,0.9
109190,10.0,9.0,0.9
109169,10.0,9.0,0.9
108065,10.0,9.0,0.9
106696,10.0,9.0,0.9
23750,10.0,9.0,0.9
23286,10.0,9.0,0.9
23214,10.0,9.0,0.9
22729,10.0,9.0,0.9
22429,10.0,9.0,0.9
21889,10.0,9.0,0.9
21731,10.0,9.0,0.9
114590,10.0,9.0,0.9
114477,10.0,9.0,0.9
114420,10.0,9.0,0.9
114273,10.0,9.0,0.9
114236,10.0,9.0,0.9
113632,10.0,9.0,0.9
113086,10.0,9.0,0.9
112049,10.0,9.0,0.9
111978,10.0,9.0,0.9
110161,10.0,9.0,0.9
12611,10.0,9.0,0.9
21158,10.0,9.0,0.9
20827,10.0,9.0,0.9
20184,10.0,9.0,0.9
18844,10.0,9.0,0.9
18262,10.0,9.0,0.9
17486,10.0,9.0,0.9
213,10.0,9.0,0.9
184,10.0,9.0,0.9
53647,9.0,8.0,0.8888888888888888
53882,9.0,8.0,0.8888888888888888
65530,9.0,8.0,0.8888888888888888
22919,9.0,8.0,0.8888888888888888
98589,9.0,8.0,0.8888888888888888
23627,9.0,8.0,0.8888888888888888
62536,9.0,8.0,0.8888888888888888
14113,9.0,8.0,0.8888888888888888
68904,9.0,8.0,0.8888888888888888
53196,9.0,8.0,0.8888888888888888
49844,9.0,8.0,0.8888888888888888
49680,9.0,8.0,0.8888888888888888
59176,9.0,8.0,0.8888888888888888
21788,9.0,8.0,0.8888888888888888
14721,9.0,8.0,0.8888888888888888
86731,9.0,8.0,0.8888888888888888
116217,9.0,8.0,0.8888888888888888
13889,9.0,8.0,0.8888888888888888
65356,9.0,8.0,0.8888888888888888
3765,9.0,8.0,0.8888888888888888
81219,9.0,8.0,0.8888888888888888
113948,9.0,8.0,0.8888888888888888
89478,9.0,8.0,0.8888888888888888
97312,9.0,8.0,0.8888888888888888
25166,9.0,8.0,0.8888888888888888
50784,9.0,8.0,0.8888888888888888
79585,9.0,8.0,0.8888888888888888
36210,9.0,8.0,0.8888888888888888
20741,9.0,8.0,0.8888888888888888
79240,9.0,8.0,0.8888888888888888
