HIP,Sampled,Predicted,Prob
37309,10.0,10.0,1.0
117427,10.0,10.0,1.0
37520,9.0,9.0,1.0
1144,10.0,10.0,1.0
117880,10.0,10.0,1.0
117902,10.0,10.0,1.0
34877,9.0,9.0,1.0
34879,10.0,10.0,1.0
873,9.0,9.0,1.0
117144,10.0,10.0,1.0
117411,10.0,10.0,1.0
37171,9.0,9.0,1.0
86974,9.0,9.0,1.0
87154,9.0,9.0,1.0
38657,10.0,10.0,1.0
33382,10.0,10.0,1.0
39039,10.0,10.0,1.0
39242,10.0,10.0,1.0
39298,9.0,9.0,1.0
32994,9.0,9.0,1.0
33139,10.0,10.0,1.0
40663,10.0,10.0,1.0
40761,10.0,10.0,1.0
114420,10.0,10.0,1.0
81347,8.0,8.0,1.0
81767,10.0,10.0,1.0
41479,10.0,10.0,1.0
41529,10.0,10.0,1.0
41777,9.0,9.0,1.0
113148,10.0,10.0,1.0
115953,8.0,8.0,1.0
38531,9.0,9.0,1.0
16405,10.0,10.0,1.0
16460,10.0,10.0,1.0
81229,10.0,10.0,1.0
81269,10.0,10.0,1.0
81300,8.0,8.0,1.0
14501,10.0,10.0,1.0
14561,9.0,9.0,1.0
87710,8.0,8.0,1.0
42634,9.0,9.0,1.0
31655,10.0,10.0,1.0
43410,9.0,9.0,1.0
43565,8.0,8.0,1.0
43634,9.0,9.0,1.0
44137,10.0,10.0,1.0
30516,10.0,10.0,1.0
44713,9.0,9.0,1.0
114456,10.0,10.0,1.0
2292,9.0,9.0,1.0
79975,8.0,8.0,1.0
80000,9.0,9.0,1.0
16727,10.0,10.0,1.0
17253,9.0,9.0,1.0
80343,10.0,10.0,1.0
80382,10.0,10.0,1.0
14194,9.0,9.0,1.0
12894,10.0,10.0,1.0
90055,10.0,10.0,1.0
90223,8.0,8.0,1.0
112049,10.0,10.0,1.0
29860,10.0,10.0,1.0
30225,10.0,10.0,1.0
30243,9.0,9.0,1.0
30377,10.0,10.0,1.0
109836,10.0,10.0,1.0
110161,10.0,10.0,1.0
110812,10.0,10.0,1.0
110843,10.0,10.0,1.0
113695,9.0,9.0,1.0
113948,10.0,10.0,1.0
42291,10.0,10.0,1.0
42430,10.0,10.0,1.0
29349,10.0,10.0,1.0
47080,10.0,10.0,1.0
48113,10.0,10.0,1.0
48351,10.0,10.0,1.0
48583,10.0,10.0,1.0
29193,10.0,10.0,1.0
49081,9.0,9.0,1.0
49161,10.0,10.0,1.0
108950,10.0,10.0,1.0
3583,10.0,10.0,1.0
111978,10.0,10.0,1.0
77772,10.0,10.0,1.0
78408,10.0,10.0,1.0
78521,9.0,9.0,1.0
17269,10.0,10.0,1.0
17351,10.0,10.0,1.0
17486,10.0,10.0,1.0
78955,9.0,9.0,1.0
79149,10.0,10.0,1.0
79636,9.0,9.0,1.0
90656,9.0,9.0,1.0
91271,10.0,10.0,1.0
109303,10.0,10.0,1.0
109355,10.0,10.0,1.0
49844,10.0,10.0,1.0
50035,10.0,10.0,1.0
28181,10.0,10.0,1.0
107397,9.0,9.0,1.0
108506,10.0,10.0,1.0
111148,9.0,9.0,1.0
46901,10.0,10.0,1.0
29271,10.0,10.0,1.0
51237,10.0,10.0,1.0
51257,9.0,9.0,1.0
51258,10.0,10.0,1.0
26973,10.0,10.0,1.0
27090,10.0,10.0,1.0
52023,10.0,10.0,1.0
52139,10.0,10.0,1.0
109169,10.0,10.0,1.0
4310,10.0,10.0,1.0
4393,10.0,10.0,1.0
4801,10.0,10.0,1.0
12754,10.0,10.0,1.0
91332,10.0,10.0,1.0
76641,9.0,9.0,1.0
76804,10.0,10.0,1.0
18262,10.0,10.0,1.0
89321,9.0,9.0,1.0
89650,10.0,10.0,1.0
92233,8.0,8.0,1.0
11941,10.0,10.0,1.0
52676,9.0,9.0,1.0
52888,10.0,10.0,1.0
53084,9.0,9.0,1.0
53087,9.0,9.0,1.0
53647,10.0,10.0,1.0
53787,10.0,10.0,1.0
53818,8.0,8.0,1.0
53882,10.0,10.0,1.0
53942,10.0,10.0,1.0
50839,10.0,10.0,1.0
6456,10.0,10.0,1.0
6498,10.0,10.0,1.0
105502,10.0,10.0,1.0
105066,10.0,10.0,1.0
107022,10.0,10.0,1.0
26779,10.0,10.0,1.0
26834,8.0,8.0,1.0
92742,10.0,10.0,1.0
92961,9.0,9.0,1.0
75535,10.0,10.0,1.0
75722,9.0,9.0,1.0
93966,9.0,9.0,1.0
94061,9.0,9.0,1.0
72190,10.0,10.0,1.0
55846,9.0,9.0,1.0
56363,10.0,10.0,1.0
24923,9.0,9.0,1.0
24110,10.0,10.0,1.0
24130,9.0,9.0,1.0
102815,9.0,9.0,1.0
105483,10.0,10.0,1.0
72742,9.0,9.0,1.0
19633,10.0,10.0,1.0
73408,9.0,9.0,1.0
19126,10.0,10.0,1.0
74788,10.0,10.0,1.0
75101,10.0,10.0,1.0
91949,9.0,9.0,1.0
19983,10.0,10.0,1.0
69612,10.0,10.0,1.0
104195,9.0,9.0,1.0
104226,10.0,10.0,1.0
58093,10.0,10.0,1.0
58558,9.0,9.0,1.0
58576,10.0,10.0,1.0
23750,9.0,9.0,1.0
102128,10.0,10.0,1.0
7539,9.0,9.0,1.0
7607,10.0,10.0,1.0
25461,9.0,9.0,1.0
54704,10.0,10.0,1.0
69881,9.0,9.0,1.0
69972,9.0,9.0,1.0
70027,10.0,10.0,1.0
70608,9.0,9.0,1.0
70616,10.0,10.0,1.0
71803,10.0,10.0,1.0
93547,10.0,10.0,1.0
11600,10.0,10.0,1.0
10531,10.0,10.0,1.0
10657,10.0,10.0,1.0
59532,10.0,10.0,1.0
59572,10.0,10.0,1.0
22504,9.0,9.0,1.0
22627,10.0,10.0,1.0
22650,10.0,10.0,1.0
59692,9.0,9.0,1.0
59856,10.0,10.0,1.0
59968,9.0,9.0,1.0
103682,10.0,10.0,1.0
7080,10.0,10.0,1.0
7276,10.0,10.0,1.0
60370,9.0,9.0,1.0
100649,9.0,9.0,1.0
101345,10.0,10.0,1.0
101399,10.0,10.0,1.0
