HIP,Sampled,Predicted,Prob
117877,10.0,10.0,1.0
544,10.0,10.0,1.0
726,10.0,10.0,1.0
873,10.0,10.0,1.0
2292,10.0,10.0,1.0
2742,9.0,9.0,1.0
114638,10.0,10.0,1.0
114456,10.0,10.0,1.0
114420,10.0,10.0,1.0
114236,10.0,10.0,1.0
113994,10.0,10.0,1.0
113948,10.0,10.0,1.0
113695,10.0,10.0,1.0
113084,10.0,10.0,1.0
112049,10.0,10.0,1.0
111978,10.0,10.0,1.0
110843,10.0,10.0,1.0
110161,10.0,10.0,1.0
110028,10.0,10.0,1.0
109836,10.0,10.0,1.0
109378,10.0,10.0,1.0
109355,10.0,10.0,1.0
15005,8.0,8.0,1.0
14721,10.0,10.0,1.0
14632,10.0,10.0,1.0
13976,9.0,9.0,1.0
13889,10.0,10.0,1.0
12158,10.0,10.0,1.0
11941,10.0,10.0,1.0
11924,10.0,10.0,1.0
10599,9.0,9.0,1.0
10531,10.0,10.0,1.0
10492,10.0,10.0,1.0
10303,9.0,9.0,1.0
10278,10.0,10.0,1.0
10090,10.0,10.0,1.0
9911,10.0,10.0,1.0
9353,10.0,10.0,1.0
20800,10.0,10.0,1.0
20741,10.0,10.0,1.0
20489,9.0,9.0,1.0
20441,9.0,9.0,1.0
20273,10.0,10.0,1.0
19983,10.0,10.0,1.0
19934,10.0,10.0,1.0
19746,9.0,9.0,1.0
19633,10.0,10.0,1.0
17486,10.0,10.0,1.0
17351,10.0,10.0,1.0
17269,8.0,8.0,1.0
16908,10.0,10.0,1.0
16727,10.0,10.0,1.0
16460,10.0,10.0,1.0
16405,10.0,10.0,1.0
28181,10.0,10.0,1.0
27980,10.0,10.0,1.0
27896,10.0,10.0,1.0
27090,9.0,9.0,1.0
26973,9.0,9.0,1.0
26834,8.0,8.0,1.0
26779,9.0,9.0,1.0
26534,10.0,10.0,1.0
24176,10.0,10.0,1.0
24110,9.0,9.0,1.0
23311,10.0,10.0,1.0
22953,8.0,8.0,1.0
21923,10.0,10.0,1.0
21788,8.0,8.0,1.0
21731,10.0,10.0,1.0
20998,10.0,10.0,1.0
37606,10.0,10.0,1.0
37520,9.0,9.0,1.0
37309,10.0,10.0,1.0
37171,10.0,10.0,1.0
36310,9.0,9.0,1.0
36129,9.0,9.0,1.0
34879,10.0,10.0,1.0
33072,10.0,10.0,1.0
33061,10.0,10.0,1.0
32994,10.0,10.0,1.0
32103,9.0,9.0,1.0
30377,10.0,10.0,1.0
30243,10.0,10.0,1.0
30225,10.0,10.0,1.0
