HIP,Sampled,Predicted,Prob
117880,10.0,10.0,1.0
184,10.0,10.0,1.0
305,9.0,9.0,1.0
544,10.0,10.0,1.0
873,10.0,10.0,1.0
919,10.0,10.0,1.0
111978,9.0,9.0,1.0
111616,10.0,10.0,1.0
111274,9.0,9.0,1.0
110853,10.0,10.0,1.0
110843,10.0,10.0,1.0
110161,9.0,9.0,1.0
110028,10.0,10.0,1.0
109836,9.0,9.0,1.0
109585,10.0,10.0,1.0
109355,10.0,10.0,1.0
109214,10.0,10.0,1.0
108506,10.0,10.0,1.0
108473,10.0,10.0,1.0
108416,9.0,9.0,1.0
107822,10.0,10.0,1.0
107397,10.0,10.0,1.0
14632,10.0,10.0,1.0
14355,8.0,8.0,1.0
14194,9.0,9.0,1.0
13889,10.0,10.0,1.0
12158,10.0,10.0,1.0
11941,10.0,10.0,1.0
11924,8.0,8.0,1.0
11072,9.0,9.0,1.0
10599,10.0,10.0,1.0
10492,9.0,9.0,1.0
10278,9.0,9.0,1.0
10090,10.0,10.0,1.0
9353,10.0,10.0,1.0
9269,10.0,10.0,1.0
8398,10.0,10.0,1.0
7862,9.0,9.0,1.0
20741,10.0,10.0,1.0
20489,9.0,9.0,1.0
20480,9.0,9.0,1.0
19983,10.0,10.0,1.0
19934,10.0,10.0,1.0
19793,9.0,9.0,1.0
19633,8.0,8.0,1.0
18844,9.0,9.0,1.0
18527,9.0,9.0,1.0
18262,8.0,8.0,1.0
17486,10.0,10.0,1.0
16852,10.0,10.0,1.0
16727,10.0,10.0,1.0
16460,10.0,10.0,1.0
14774,10.0,10.0,1.0
14721,10.0,10.0,1.0
25388,9.0,9.0,1.0
24813,10.0,10.0,1.0
24786,10.0,10.0,1.0
24176,10.0,10.0,1.0
24110,10.0,10.0,1.0
23627,9.0,9.0,1.0
23311,10.0,10.0,1.0
23069,8.0,8.0,1.0
22953,9.0,9.0,1.0
22504,10.0,10.0,1.0
21960,10.0,10.0,1.0
21923,10.0,10.0,1.0
21889,9.0,9.0,1.0
21788,10.0,10.0,1.0
21158,10.0,10.0,1.0
20800,10.0,10.0,1.0
34877,10.0,10.0,1.0
33690,8.0,8.0,1.0
33382,10.0,10.0,1.0
32994,10.0,10.0,1.0
31660,10.0,10.0,1.0
31655,10.0,10.0,1.0
30377,9.0,9.0,1.0
29860,10.0,10.0,1.0
29349,10.0,10.0,1.0
27980,10.0,10.0,1.0
