HIP,Sampled,Predicted,Prob
21923,10.0,10.0,1.0
43726,10.0,10.0,1.0
44137,10.0,10.0,1.0
69612,10.0,10.0,1.0
69881,10.0,10.0,1.0
116519,8.0,8.0,1.0
116542,10.0,10.0,1.0
116823,10.0,10.0,1.0
116838,10.0,10.0,1.0
116852,10.0,10.0,1.0
544,10.0,10.0,1.0
726,10.0,10.0,1.0
873,10.0,10.0,1.0
117320,9.0,9.0,1.0
117399,10.0,10.0,1.0
117411,10.0,10.0,1.0
114456,10.0,10.0,1.0
69972,10.0,10.0,1.0
114638,10.0,10.0,1.0
70027,9.0,9.0,1.0
114742,9.0,9.0,1.0
70608,10.0,10.0,1.0
114914,10.0,10.0,1.0
115066,9.0,9.0,1.0
115125,10.0,10.0,1.0
70616,10.0,10.0,1.0
115953,10.0,10.0,1.0
111978,10.0,10.0,1.0
2292,10.0,10.0,1.0
112049,10.0,10.0,1.0
113084,10.0,10.0,1.0
70782,10.0,10.0,1.0
113695,10.0,10.0,1.0
113948,10.0,10.0,1.0
113994,10.0,10.0,1.0
114236,10.0,10.0,1.0
70873,10.0,10.0,1.0
66487,10.0,10.0,1.0
109355,10.0,10.0,1.0
109378,10.0,10.0,1.0
67927,10.0,10.0,1.0
109836,10.0,10.0,1.0
110028,10.0,10.0,1.0
110161,10.0,10.0,1.0
110843,10.0,10.0,1.0
68184,10.0,10.0,1.0
20441,9.0,9.0,1.0
60098,10.0,10.0,1.0
20489,9.0,9.0,1.0
24110,9.0,9.0,1.0
24176,10.0,10.0,1.0
45983,9.0,9.0,1.0
19934,10.0,10.0,1.0
19983,10.0,10.0,1.0
3174,9.0,9.0,1.0
46360,10.0,10.0,1.0
3533,9.0,9.0,1.0
107001,10.0,10.0,1.0
46901,10.0,10.0,1.0
107397,10.0,10.0,1.0
47080,9.0,9.0,1.0
108065,10.0,10.0,1.0
108506,10.0,10.0,1.0
108950,10.0,10.0,1.0
2742,9.0,9.0,1.0
2926,10.0,10.0,1.0
47463,9.0,9.0,1.0
19633,10.0,10.0,1.0
19746,9.0,9.0,1.0
48351,10.0,10.0,1.0
26534,10.0,10.0,1.0
3583,9.0,9.0,1.0
104071,10.0,10.0,1.0
104226,9.0,9.0,1.0
104549,9.0,9.0,1.0
15005,8.0,8.0,1.0
105066,9.0,9.0,1.0
12158,10.0,10.0,1.0
62886,8.0,8.0,1.0
105483,10.0,10.0,1.0
105521,10.0,10.0,1.0
105606,10.0,10.0,1.0
105740,10.0,10.0,1.0
26779,9.0,9.0,1.0
63033,10.0,10.0,1.0
26834,8.0,8.0,1.0
63995,9.0,9.0,1.0
26973,9.0,9.0,1.0
27090,9.0,9.0,1.0
27896,10.0,10.0,1.0
27980,10.0,10.0,1.0
28181,10.0,10.0,1.0
64394,10.0,10.0,1.0
64475,10.0,10.0,1.0
101399,10.0,10.0,1.0
101760,10.0,10.0,1.0
101916,10.0,10.0,1.0
102128,10.0,10.0,1.0
102753,9.0,9.0,1.0
102815,9.0,9.0,1.0
64794,10.0,10.0,1.0
103654,10.0,10.0,1.0
103682,9.0,9.0,1.0
65036,10.0,10.0,1.0
99034,10.0,10.0,1.0
99171,10.0,10.0,1.0
99174,10.0,10.0,1.0
99240,10.0,10.0,1.0
99316,10.0,10.0,1.0
60591,10.0,10.0,1.0
99727,10.0,10.0,1.0
99729,10.0,10.0,1.0
61123,10.0,10.0,1.0
100022,10.0,10.0,1.0
61379,10.0,10.0,1.0
100500,9.0,9.0,1.0
61546,9.0,9.0,1.0
61597,9.0,9.0,1.0
96895,9.0,9.0,1.0
97125,10.0,10.0,1.0
62345,10.0,10.0,1.0
11924,10.0,10.0,1.0
11941,10.0,10.0,1.0
98210,9.0,9.0,1.0
98589,10.0,10.0,1.0
48946,9.0,9.0,1.0
98920,10.0,10.0,1.0
49081,10.0,10.0,1.0
4801,9.0,9.0,1.0
29193,8.0,8.0,1.0
51078,10.0,10.0,1.0
29349,10.0,10.0,1.0
30225,10.0,10.0,1.0
30243,10.0,10.0,1.0
30377,10.0,10.0,1.0
14632,10.0,10.0,1.0
14721,10.0,10.0,1.0
59572,9.0,9.0,1.0
59968,9.0,9.0,1.0
60096,10.0,10.0,1.0
95319,10.0,10.0,1.0
95447,10.0,10.0,1.0
95821,10.0,10.0,1.0
21788,8.0,8.0,1.0
95926,10.0,10.0,1.0
96016,10.0,10.0,1.0
60370,10.0,10.0,1.0
96854,9.0,9.0,1.0
32103,9.0,9.0,1.0
57532,10.0,10.0,1.0
32994,10.0,10.0,1.0
33061,10.0,10.0,1.0
33072,10.0,10.0,1.0
58093,8.0,8.0,1.0
58576,9.0,9.0,1.0
51237,9.0,9.0,1.0
51257,10.0,10.0,1.0
34879,10.0,10.0,1.0
51258,10.0,10.0,1.0
51372,8.0,8.0,1.0
91949,10.0,10.0,1.0
51579,10.0,10.0,1.0
54287,10.0,10.0,1.0
54704,8.0,8.0,1.0
93547,10.0,10.0,1.0
93889,9.0,9.0,1.0
5928,9.0,9.0,1.0
6197,10.0,10.0,1.0
55846,10.0,10.0,1.0
89321,10.0,10.0,1.0
89478,10.0,10.0,1.0
89650,10.0,10.0,1.0
117877,10.0,10.0,1.0
90055,10.0,10.0,1.0
90656,10.0,10.0,1.0
117541,10.0,10.0,1.0
20741,10.0,10.0,1.0
6456,10.0,10.0,1.0
6498,9.0,9.0,1.0
20800,10.0,10.0,1.0
22953,8.0,8.0,1.0
23311,10.0,10.0,1.0
20273,10.0,10.0,1.0
36129,9.0,9.0,1.0
114420,10.0,10.0,1.0
36310,9.0,9.0,1.0
37171,10.0,10.0,1.0
37309,10.0,10.0,1.0
56907,10.0,10.0,1.0
86974,10.0,10.0,1.0
87116,10.0,10.0,1.0
87691,10.0,10.0,1.0
53084,10.0,10.0,1.0
88217,9.0,9.0,1.0
53087,10.0,10.0,1.0
53196,10.0,10.0,1.0
6712,9.0,9.0,1.0
53647,10.0,10.0,1.0
37520,9.0,9.0,1.0
37606,10.0,10.0,1.0
53707,9.0,9.0,1.0
38531,10.0,10.0,1.0
39039,9.0,9.0,1.0
17269,8.0,8.0,1.0
17351,10.0,10.0,1.0
53882,9.0,9.0,1.0
84491,9.0,9.0,1.0
84636,9.0,9.0,1.0
84975,9.0,9.0,1.0
53942,10.0,10.0,1.0
13889,10.0,10.0,1.0
7080,9.0,9.0,1.0
