HIP,Sampled,Predicted,Prob
110161,10.0,10.0,1.0
110812,10.0,10.0,1.0
111349,10.0,10.0,1.0
111978,10.0,10.0,1.0
112049,10.0,10.0,1.0
113632,9.0,9.0,1.0
113948,10.0,10.0,1.0
113994,10.0,10.0,1.0
114914,10.0,10.0,1.0
115381,10.0,10.0,1.0
116542,9.0,9.0,1.0
116823,10.0,10.0,1.0
117411,10.0,10.0,1.0
