HIP,Sampled,Predicted,Prob
184,10.0,10.0,1.0
305,9.0,9.0,1.0
117880,10.0,10.0,1.0
14721,10.0,10.0,1.0
14774,10.0,10.0,1.0
18527,9.0,9.0,1.0
18844,9.0,9.0,1.0
19633,8.0,8.0,1.0
19793,9.0,9.0,1.0
19934,10.0,10.0,1.0
19983,10.0,10.0,1.0
20480,9.0,9.0,1.0
20489,9.0,9.0,1.0
1803,8.0,8.0,1.0
113994,10.0,10.0,1.0
114328,10.0,10.0,1.0
114420,8.0,8.0,1.0
114456,10.0,10.0,1.0
114914,10.0,10.0,1.0
114967,9.0,9.0,1.0
115066,10.0,10.0,1.0
115125,9.0,9.0,1.0
109214,10.0,10.0,1.0
109355,10.0,10.0,1.0
109585,10.0,10.0,1.0
109836,9.0,9.0,1.0
110028,10.0,10.0,1.0
110161,9.0,9.0,1.0
110843,10.0,10.0,1.0
110853,10.0,10.0,1.0
111274,9.0,9.0,1.0
111616,10.0,10.0,1.0
111978,9.0,9.0,1.0
113084,10.0,10.0,1.0
14355,8.0,8.0,1.0
20741,10.0,10.0,1.0
20800,10.0,10.0,1.0
21158,10.0,10.0,1.0
21788,10.0,10.0,1.0
21889,9.0,9.0,1.0
21923,10.0,10.0,1.0
21960,10.0,10.0,1.0
2926,10.0,10.0,1.0
105066,10.0,10.0,1.0
105606,10.0,10.0,1.0
107001,10.0,10.0,1.0
107397,10.0,10.0,1.0
107822,10.0,10.0,1.0
108416,9.0,9.0,1.0
108473,10.0,10.0,1.0
108506,10.0,10.0,1.0
2292,10.0,10.0,1.0
3311,9.0,9.0,1.0
101916,10.0,10.0,1.0
102128,10.0,10.0,1.0
102753,10.0,10.0,1.0
102815,10.0,10.0,1.0
103077,9.0,9.0,1.0
104071,9.0,9.0,1.0
104179,10.0,10.0,1.0
14194,9.0,9.0,1.0
22504,10.0,10.0,1.0
22953,9.0,9.0,1.0
23069,8.0,8.0,1.0
23311,10.0,10.0,1.0
23627,9.0,9.0,1.0
24110,10.0,10.0,1.0
24176,10.0,10.0,1.0
24786,10.0,10.0,1.0
24813,10.0,10.0,1.0
99174,10.0,10.0,1.0
99240,9.0,9.0,1.0
99316,10.0,10.0,1.0
99727,9.0,9.0,1.0
