f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
HIP 32768 ,0.02 ,-3.29 ,-0.14 ,-0.06 ,0.30 ,0.21 ,0.23 ,0.27 ,0.10 ,-0.05 ,0.00 ,0.15 ,0.08 ,0.06 ,0.06 ,0.04 ,-0.07 ,102.4840381 ,-50.6145387 ,-7.393 ,33.393 ,-41.659 ,53.90 ,thin ,K1III ,2.93 ,1.207 ,12.70 ,-36.20 ,-8.70 ,4489.0 ,1.74 ,,,
HIP 65536 ,-1.00 ,,-0.72 ,-0.35 ,-0.90 ,-0.60 ,-0.82 ,-0.80 ,-0.69 ,-0.61 ,-0.72 ,-0.77 ,-0.88 ,-1.27 ,-0.68 ,-0.86 ,,201.5336068 ,72.3914739 ,-82.024 ,-32.366 ,277.832 ,291.49 ,thin ,M1IIIab ,5.82 ,1.652 ,56.70 ,-18.30 ,-30.40 ,3960.0 ,,,72.25 ,
2MASS 15492281+1438275 ,-1.30 ,,,,-1.84 ,-1.24 ,,-1.20 ,-1.08 ,,-0.95 ,-1.31 ,-1.44 ,-1.72 ,-1.14 ,-1.52 ,,237.3451479 ,14.6409495 ,-193.923 ,-302.590 ,93.891 ,371.46 ,N/A ,,,,,,,6327.4 ,4.63 ,1.35 ,0.93 ,
HIP 98314 ,-0.34 ,-3.30 ,-0.45 ,-0.24 ,-0.29 ,-0.12 ,-0.22 ,-0.22 ,-0.24 ,-0.32 ,-0.25 ,-0.44 ,-0.36 ,-0.48 ,-0.30 ,-0.32 ,-0.37 ,299.6359047 ,7.9206772 ,46.612 ,-81.933 ,13.115 ,95.17 ,thin ,K0 ,6.77 ,0.902 ,28.60 ,47.50 ,-14.90 ,5002.0 ,3.13 ,,5.74 ,
HIP 98316 ,-0.07 ,,-0.07 ,,0.07 ,0.02 ,0.09 ,-0.02 ,0.04 ,0.40 ,0.20 ,0.46 ,-0.02 ,-0.16 ,0.12 ,-0.01 ,,299.6374343 ,-54.9368910 ,6.705 ,-11.785 ,-19.318 ,23.60 ,N/A ,K3+V ,8.54 ,1.050 ,,,,4803.0 ,4.57 ,0.76 ,0.75 ,
HIP 65550 ,-0.04 ,-2.68 ,-0.26 ,-0.07 ,0.01 ,-0.06 ,0.08 ,0.06 ,0.00 ,-0.04 ,-0.04 ,-0.20 ,-0.04 ,-0.11 ,0.02 ,-0.07 ,-0.04 ,201.5691764 ,46.0280569 ,-72.575 ,-28.689 ,80.892 ,112.40 ,thin ,K0III: ,5.87 ,0.985 ,20.70 ,4.40 ,6.10 ,4898.0 ,2.63 ,,10.68 ,
2MASS 19232377+4824576 ,0.04 ,,-0.04 ,0.03 ,-0.29 ,0.03 ,-0.27 ,0.01 ,0.02 ,,0.11 ,0.14 ,0.05 ,-0.17 ,,0.00 ,0.30 ,290.8490905 ,48.4160130 ,233.884 ,-614.117 ,740.579 ,990.10 ,N/A ,,,,,,,5816.0 ,4.60 ,1.04 ,0.96 ,
HIP 98329 ,-0.05 ,,-0.11 ,,-0.04 ,-0.05 ,-0.14 ,-0.03 ,0.00 ,-0.03 ,0.08 ,0.20 ,-0.02 ,-0.14 ,-0.01 ,-0.06 ,,299.6662801 ,-19.9356408 ,21.840 ,-38.342 ,-16.004 ,46.94 ,N/A ,K1V ,9.38 ,0.866 ,,,,5094.0 ,4.36 ,0.85 ,0.81 ,
HIP 98333 ,-0.18 ,,-0.23 ,-0.19 ,-0.23 ,-0.15 ,-0.34 ,-0.23 ,-0.10 ,-0.09 ,-0.23 ,-0.14 ,-0.16 ,-0.41 ,-0.23 ,-0.22 ,-0.20 ,299.6743737 ,70.3669517 ,24.397 ,-42.817 ,138.143 ,146.67 ,thin ,G8III ,6.32 ,0.868 ,-42.60 ,-18.30 ,-11.10 ,4997.8 ,,,10.15 ,
BD+33 2136 ,-0.17 ,-0.60 ,-0.22 ,,-0.26 ,-0.16 ,-0.15 ,-0.24 ,-0.10 ,-0.08 ,-0.15 ,-0.46 ,-0.27 ,-0.45 ,-0.08 ,-0.22 ,-0.34 ,174.7119715 ,32.6418202 ,-110.784 ,10.254 ,71.266 ,132.12 ,N/A ,,,,,,,6066.1 ,4.43 ,1.15 ,1.08 ,
HIP 98337 ,-0.17 ,-3.32 ,,,,0.15 ,,0.11 ,-0.28 ,-0.17 ,-0.30 ,-0.37 ,-0.22 ,,-0.11 ,-0.21 ,,299.6892843 ,19.4921461 ,37.568 ,-65.892 ,26.848 ,80.46 ,thin ,M0-III ,3.47 ,1.571 ,-35.80 ,-19.40 ,-13.70 ,4189.0 ,,,,
HIP 65574 ,-0.18 ,,-0.08 ,-0.01 ,-0.16 ,-0.16 ,-0.11 ,-0.15 ,-0.12 ,0.02 ,-0.02 ,0.20 ,-0.14 ,-0.31 ,-0.09 ,-0.19 ,-0.12 ,201.6648221 ,-24.2933733 ,-25.157 ,-9.993 ,-12.218 ,29.70 ,thin ,K2.5V(k) ,8.78 ,0.920 ,-42.20 ,-26.90 ,-8.20 ,4990.0 ,4.52 ,0.81 ,0.74 ,
HIP 32812 ,0.03 ,,0.02 ,,0.19 ,-0.20 ,0.15 ,0.04 ,0.05 ,0.32 ,0.23 ,0.51 ,0.02 ,-0.08 ,0.16 ,0.05 ,,102.6001977 ,-51.0456522 ,-7.391 ,33.064 ,-41.907 ,53.89 ,N/A ,K0 ,9.96 ,0.942 ,,,,4977.0 ,4.41 ,0.82 ,0.78 ,
HIP 32813 ,-0.15 ,,,,0.02 ,-0.04 ,-0.03 ,-0.01 ,-0.05 ,-0.02 ,-0.04 ,-0.03 ,-0.11 ,-0.33 ,-0.03 ,-0.14 ,,102.6052809 ,-69.9862470 ,-12.579 ,56.252 ,-158.251 ,168.42 ,N/A ,K0III ,6.79 ,0.997 ,,,,4899.0 ,2.70 ,,10.95 ,
HIP 65583 ,-0.10 ,,0.06 ,0.13 ,-0.10 ,-0.01 ,-0.14 ,-0.04 ,-0.04 ,0.02 ,-0.07 ,-0.16 ,-0.10 ,-0.37 ,-0.11 ,-0.13 ,-0.06 ,201.6851049 ,16.9486647 ,-68.684 ,-27.312 ,22.526 ,77.27 ,thin ,F8 ,8.01 ,0.510 ,-9.60 ,15.70 ,15.00 ,6300.0 ,4.36 ,1.15 ,1.56 ,
HIP 98353 ,-0.20 ,-3.28 ,,,0.09 ,-0.07 ,0.01 ,0.03 ,-0.03 ,-0.01 ,-0.03 ,-0.06 ,-0.15 ,-0.22 ,-0.07 ,-0.15 ,,299.7383424 ,-26.1957625 ,51.604 ,-90.331 ,-51.180 ,115.94 ,thin ,G6IIIa:Ba0.3 ,4.84 ,0.882 ,-52.90 ,2.00 ,12.90 ,4996.5 ,,,16.26 ,
HIP 98355 ,-0.52 ,-0.76 ,-0.43 ,-0.22 ,-0.46 ,-0.39 ,-0.55 ,-0.49 ,-0.49 ,-0.38 ,-0.50 ,-0.54 ,-0.62 ,-0.80 ,-0.43 ,-0.56 ,-0.58 ,299.7439217 ,-46.0880446 ,17.770 ,-31.099 ,-37.205 ,51.64 ,thin ,F8Vm-2 ,7.50 ,0.478 ,-13.90 ,13.60 ,-12.20 ,6279.0 ,4.30 ,1.21 ,1.29 ,
HIP 57 ,0.00 ,,0.05 ,-0.10 ,0.02 ,0.01 ,0.04 ,0.04 ,0.09 ,0.08 ,0.07 ,0.16 ,0.05 ,-0.06 ,0.02 ,0.00 ,0.15 ,0.1680009 ,-69.6759652 ,10.170 ,0.030 ,-27.459 ,29.28 ,thin ,K1V ,8.24 ,0.863 ,22.90 ,-23.60 ,-19.20 ,5198.0 ,4.51 ,0.88 ,0.81 ,
HIP 65595 ,-0.01 ,,-0.13 ,0.07 ,-0.09 ,0.03 ,-0.22 ,-0.01 ,-0.04 ,0.09 ,-0.04 ,0.00 ,-0.03 ,-0.15 ,-0.08 ,-0.04 ,,201.7366812 ,78.6438701 ,-16.361 ,-6.523 ,87.697 ,89.45 ,thin ,G3IIIbFe-1CH1 ,5.74 ,0.769 ,-57.60 ,-20.00 ,6.60 ,5516.0 ,3.69 ,,6.68 ,
HIP 98365 ,-0.08 ,,-0.25 ,-0.12 ,-0.14 ,-0.18 ,-0.24 ,-0.16 ,-0.13 ,-0.07 ,-0.23 ,-0.14 ,-0.18 ,-0.47 ,-0.18 ,-0.22 ,-0.27 ,299.7762985 ,70.3721678 ,44.235 ,-77.313 ,249.762 ,265.17 ,N/A ,G5 ,7.95 ,0.828 ,,,,5214.5 ,,,8.01 ,
HIP 32831 ,0.34 ,,,,0.29 ,0.17 ,0.11 ,0.20 ,0.33 ,,0.26 ,,0.23 ,,,0.26 ,,102.6623786 ,5.6628704 ,-77.499 ,344.947 ,35.057 ,355.28 ,N/A ,G7III ,8.60 ,0.728 ,,,,5200.0 ,3.20 ,,9.75 ,
HIP 98367 ,-0.25 ,,-0.37 ,-0.12 ,-0.38 ,-0.16 ,-0.33 ,-0.16 ,-0.29 ,-0.09 ,-0.26 ,-0.22 ,-0.26 ,-0.50 ,-0.19 ,-0.26 ,,299.7795591 ,50.6630790 ,80.095 ,-139.969 ,196.769 ,254.41 ,thin ,K0 ,7.12 ,1.200 ,-2.90 ,-3.50 ,13.80 ,4593.4 ,,,17.75 ,
HIP 65602 ,-0.20 ,,0.04 ,,-0.15 ,-0.15 ,-0.11 ,-0.21 ,-0.09 ,-0.01 ,0.00 ,0.19 ,-0.15 ,-0.34 ,-0.14 ,-0.20 ,,201.7621060 ,-24.2904356 ,-25.235 ,-10.074 ,-12.263 ,29.81 ,thin ,K2+V ,8.73 ,0.911 ,-41.40 ,-25.60 ,-7.90 ,5015.0 ,4.46 ,0.82 ,0.74 ,
2MASS 19234797+4036187 ,-0.31 ,,-0.23 ,-0.05 ,-0.41 ,-0.22 ,-0.31 ,-0.25 ,-0.22 ,,-0.11 ,-0.20 ,-0.29 ,-0.68 ,,-0.25 ,0.21 ,290.9499038 ,40.6052158 ,261.631 ,-683.357 ,627.283 ,963.80 ,N/A ,,,,,,,5769.0 ,4.20 ,1.03 ,1.59 ,
HIP 80 ,-0.52 ,-1.48 ,-0.35 ,-0.11 ,-0.57 ,-0.26 ,-0.42 ,-0.40 ,-0.39 ,-0.32 ,-0.38 ,-0.53 ,-0.58 ,-0.84 ,-0.40 ,-0.57 ,-0.67 ,0.2428309 ,-11.8237394 ,69.404 ,0.294 ,-14.529 ,70.91 ,thick ,G2V ,9.11 ,0.566 ,-111.50 ,-91.50 ,-24.80 ,5914.0 ,4.22 ,1.07 ,1.33 ,
HIP 32851 ,-0.40 ,,-0.24 ,-0.22 ,-0.34 ,-0.25 ,-0.37 ,-0.34 ,-0.34 ,-0.34 ,-0.25 ,-0.32 ,-0.57 ,-0.66 ,-0.45 ,-0.42 ,-0.22 ,102.7076291 ,-0.5408799 ,-6.558 ,29.084 ,-0.281 ,29.82 ,thin ,F3V ,5.78 ,0.396 ,24.40 ,-13.70 ,-9.40 ,6904.0 ,4.18 ,1.38 ,1.43 ,
HIP 65626 ,-0.18 ,,-0.23 ,,-0.19 ,-0.14 ,-0.14 ,-0.17 ,-0.10 ,-0.04 ,0.02 ,0.20 ,-0.18 ,-0.34 ,-0.16 ,-0.21 ,,201.8253555 ,-39.9528100 ,-30.430 ,-12.187 ,-27.460 ,42.76 ,N/A ,K3V ,9.59 ,0.936 ,,,,4902.0 ,4.36 ,0.80 ,0.74 ,
HIP 98401 ,-0.58 ,,,,-0.41 ,-0.25 ,-0.23 ,-0.40 ,-0.35 ,-0.12 ,-0.23 ,-0.27 ,-0.34 ,-0.67 ,-0.15 ,-0.31 ,,299.9026125 ,76.4813934 ,18.698 ,-32.514 ,156.005 ,160.45 ,thin ,M2+IIIab ,6.20 ,1.610 ,67.90 ,-45.20 ,-25.50 ,4004.0 ,,,39.09 ,
HIP 32868 ,0.11 ,,0.06 ,0.02 ,0.07 ,0.08 ,0.03 ,0.11 ,0.06 ,,0.09 ,0.03 ,0.08 ,,0.09 ,0.13 ,,102.7434185 ,-17.8544066 ,-14.740 ,65.176 ,-21.524 ,70.20 ,thin ,G2V ,8.14 ,0.632 ,-74.50 ,-50.30 ,13.40 ,6014.0 ,4.17 ,1.09 ,1.43 ,
HIP 65636 ,-0.02 ,,-0.17 ,,-0.07 ,-0.06 ,0.13 ,-0.08 ,0.05 ,0.39 ,0.24 ,0.52 ,-0.01 ,-0.27 ,0.02 ,-0.02 ,,201.8538675 ,-21.6553172 ,-33.377 ,-13.386 ,-14.278 ,38.69 ,N/A ,K4Vk ,9.88 ,1.092 ,,,,4797.0 ,4.51 ,0.73 ,0.71 ,
HIP 65639 ,0.26 ,-2.61 ,-0.03 ,0.10 ,0.56 ,0.38 ,0.41 ,0.51 ,0.28 ,0.25 ,0.27 ,0.27 ,0.34 ,0.29 ,0.35 ,0.34 ,0.18 ,201.8631835 ,-15.9735793 ,-70.773 ,-28.398 ,-21.828 ,79.32 ,thin ,K0III-IIIbCN1.5CH0.5 ,4.75 ,1.096 ,-48.60 ,-17.90 ,3.30 ,4691.0 ,2.49 ,,13.06 ,
HIP 65641 ,0.05 ,,0.09 ,-0.03 ,-0.10 ,0.04 ,-0.02 ,0.02 ,0.02 ,,0.02 ,0.03 ,0.00 ,-0.08 ,,0.04 ,-0.04 ,201.8650553 ,44.7070317 ,-36.469 ,-14.634 ,38.896 ,55.29 ,thin ,G5 ,8.43 ,0.692 ,6.40 ,22.90 ,-6.90 ,5720.0 ,4.37 ,1.02 ,1.09 ,
HIP 32874 ,-0.03 ,,-0.02 ,0.02 ,-0.10 ,-0.02 ,-0.10 ,-0.04 ,-0.01 ,,0.01 ,0.00 ,-0.03 ,-0.22 ,,-0.05 ,-0.04 ,102.7517891 ,25.7603589 ,-6.829 ,30.176 ,14.930 ,34.35 ,thin ,F9V ,6.98 ,0.600 ,-3.80 ,-30.80 ,-10.40 ,5996.0 ,4.32 ,1.09 ,1.19 ,
HIP 98413 ,-0.34 ,,-0.36 ,,-0.31 ,-0.35 ,-0.26 ,-0.33 ,-0.25 ,-0.23 ,-0.12 ,0.00 ,-0.32 ,-0.56 ,-0.32 ,-0.37 ,,299.9413724 ,-20.2104094 ,16.312 ,-28.320 ,-12.031 ,34.83 ,N/A ,K2+V ,9.23 ,0.920 ,,,,5061.0 ,4.55 ,0.80 ,0.72 ,
HIP 98416 ,-0.09 ,-0.90 ,,-0.08 ,-0.19 ,-0.03 ,-0.08 ,-0.09 ,0.00 ,0.32 ,-0.09 ,-0.03 ,0.00 ,-0.12 ,0.10 ,-0.10 ,0.10 ,299.9470012 ,-9.9582318 ,10.478 ,-18.187 ,-3.685 ,21.31 ,thin ,F9V ,5.88 ,0.598 ,53.10 ,-26.90 ,-1.80 ,6057.0 ,,,,
HIP 98419 ,-0.28 ,,-0.27 ,0.07 ,-0.20 ,-0.03 ,-0.21 ,-0.19 ,-0.11 ,-0.05 ,-0.17 ,-0.14 ,-0.17 ,-0.48 ,-0.16 ,-0.21 ,,299.9561358 ,63.7724335 ,74.211 ,-128.765 ,301.668 ,336.29 ,thin ,G5 ,7.89 ,1.002 ,87.00 ,-64.40 ,19.90 ,4970.0 ,,,,
2MASS 19493945+4603389 ,-0.06 ,,-0.18 ,-0.14 ,-0.24 ,-0.09 ,-0.10 ,-0.11 ,-0.04 ,,0.01 ,-0.75 ,-0.06 ,-0.31 ,,-0.07 ,-0.04 ,297.4144294 ,46.0608224 ,588.524 ,-1134.678 ,1326.453 ,1842.10 ,N/A ,,,,,,,6092.0 ,4.17 ,1.28 ,1.76 ,
HIP 32892 ,0.28 ,,0.39 ,0.19 ,0.26 ,0.22 ,0.20 ,0.23 ,0.27 ,,0.20 ,0.22 ,0.24 ,0.23 ,,0.32 ,0.26 ,102.7992605 ,40.4953370 ,-18.092 ,79.635 ,69.736 ,107.39 ,thin ,G0... ,8.94 ,0.711 ,-21.50 ,8.60 ,8.40 ,5642.4 ,4.10 ,1.03 ,1.50 ,
HIP 98431 ,-0.27 ,,0.27 ,0.20 ,-0.07 ,-0.22 ,-0.36 ,-0.29 ,-0.12 ,0.09 ,-0.26 ,-0.19 ,-0.26 ,,-0.17 ,-0.29 ,0.43 ,299.9929056 ,-48.9753277 ,25.555 ,-44.275 ,-58.756 ,77.88 ,thin ,F8/G0(III)W(P) ,8.56 ,0.532 ,16.50 ,2.30 ,10.50 ,5960.0 ,4.50 ,1.15 ,1.23 ,
HIP 98442 ,0.12 ,,,,0.28 ,0.09 ,0.24 ,0.19 ,0.22 ,1.10 ,0.40 ,0.24 ,0.45 ,0.10 ,0.65 ,0.24 ,1.13 ,300.0340911 ,7.7606200 ,23.150 ,-40.042 ,6.303 ,46.68 ,thin ,F5 ,7.23 ,0.506 ,-12.50 ,-7.70 ,-3.40 ,6438.0 ,4.38 ,1.30 ,1.22 ,
2MASS 22000466+0536403 ,-1.67 ,,,,-1.81 ,-1.32 ,,-1.33 ,-1.28 ,,-1.36 ,-2.04 ,-1.80 ,-2.16 ,-2.00 ,-1.73 ,,330.0194550 ,5.6112171 ,327.853 ,-189.137 ,37.187 ,380.32 ,N/A ,,,,,,,6021.4 ,3.96 ,1.05 ,1.78 ,
2MASS 19141766+5128219 ,0.21 ,,0.13 ,-0.06 ,0.16 ,0.18 ,0.13 ,0.15 ,0.25 ,,0.19 ,0.20 ,0.19 ,0.12 ,,0.17 ,0.24 ,288.5736089 ,51.4727705 ,360.866 ,-1073.928 ,1422.909 ,1818.85 ,N/A ,,,,,,,5651.0 ,4.05 ,,,
HIP 32916 ,0.35 ,-2.89 ,0.23 ,0.09 ,0.31 ,0.31 ,0.30 ,0.27 ,0.32 ,0.42 ,0.31 ,0.26 ,0.31 ,0.32 ,0.38 ,0.31 ,0.26 ,102.8771509 ,40.8677567 ,-7.215 ,31.559 ,28.011 ,42.81 ,thin ,G0 ,8.10 ,0.729 ,-14.30 ,-25.80 ,1.10 ,5674.0 ,4.49 ,0.99 ,1.04 ,
HIP 154 ,-0.01 ,,0.16 ,0.06 ,,,,-0.06 ,0.03 ,,,,,,,,,0.4900811 ,-6.0140706 ,126.296 ,1.080 ,-13.306 ,127.00 ,thin ,M2III ,4.41 ,1.631 ,-12.50 ,-38.10 ,-4.10 ,3647.0 ,,,,
HIP 98461 ,-0.15 ,-3.28 ,,,0.00 ,-0.04 ,-0.02 ,0.00 ,-0.03 ,-0.06 ,-0.07 ,-0.06 ,-0.08 ,-0.30 ,-0.07 ,-0.14 ,,300.0663871 ,-37.7017226 ,45.546 ,-78.677 ,-70.267 ,114.90 ,thin ,G8/K0III ,5.95 ,0.989 ,15.40 ,2.00 ,-19.90 ,4887.0 ,2.68 ,,11.17 ,
2MASS 23095844-2057229 ,-1.22 ,,,,-1.49 ,-1.09 ,,-1.02 ,-0.96 ,,-0.92 ,,-1.39 ,-1.56 ,,-1.36 ,,347.4935842 ,-20.9564333 ,270.354 ,-59.968 ,-106.060 ,296.54 ,N/A ,,,,,,,6207.5 ,4.46 ,1.22 ,1.07 ,
BD+31 02447 ,-0.21 ,,-0.26 ,-0.16 ,-0.34 ,-0.18 ,-0.44 ,-0.19 ,-0.14 ,,-0.14 ,-0.22 ,-0.26 ,-0.52 ,-0.13 ,-0.27 ,-0.14 ,195.9818611 ,30.6400774 ,-197.932 ,-56.688 ,121.958 ,239.30 ,N/A ,,10.34 ,,,,,6266.0 ,4.11 ,1.13 ,1.53 ,
HIP 171 ,-0.75 ,,0.10 ,-0.28 ,-0.69 ,-0.39 ,-0.50 ,-0.52 ,-0.49 ,-0.48 ,-0.45 ,-0.59 ,-0.78 ,-1.16 ,-0.58 ,-0.75 ,-0.61 ,0.5431197 ,27.0818331 ,11.257 ,0.107 ,5.756 ,12.64 ,thin ,G5VFe-1 ,5.75 ,0.690 ,-8.80 ,-74.80 ,-34.30 ,5680.0 ,4.86 ,,,
HIP 65708 ,-0.03 ,-2.58 ,-0.03 ,-0.01 ,-0.02 ,0.11 ,-0.01 ,-0.01 ,0.00 ,0.08 ,0.03 ,-0.10 ,-0.06 ,-0.19 ,0.02 ,-0.04 ,-0.10 ,202.0779535 ,-0.8401915 ,-39.948 ,-16.203 ,-0.632 ,43.11 ,thick ,G3/5V ,7.44 ,0.651 ,72.80 ,-31.10 ,-57.10 ,5746.0 ,4.22 ,1.06 ,1.32 ,
HIP 98482 ,-0.14 ,,,,-0.06 ,-0.10 ,-0.08 ,-0.02 ,-0.07 ,0.00 ,-0.07 ,-0.02 ,-0.11 ,-0.18 ,-0.05 ,-0.14 ,,300.1055330 ,-49.3509450 ,35.817 ,-61.775 ,-83.168 ,109.62 ,thin ,K0III ,6.18 ,1.056 ,74.50 ,-19.50 ,-2.40 ,4720.0 ,2.51 ,,10.38 ,
HIP 184 ,0.17 ,,0.09 ,0.06 ,0.02 ,0.08 ,0.05 ,0.07 ,0.13 ,,0.09 ,0.13 ,0.10 ,0.03 ,,0.13 ,0.05 ,0.5897620 ,11.0062376 ,33.173 ,0.341 ,6.452 ,33.80 ,thin ,K0 ,8.47 ,0.888 ,6.20 ,-14.70 ,9.70 ,5156.0 ,4.47 ,0.85 ,0.88 ,
HIP 65721 ,-0.02 ,-1.45 ,0.06 ,-0.01 ,-0.13 ,0.07 ,0.01 ,-0.05 ,0.01 ,0.07 ,0.02 ,-0.07 ,-0.08 ,-0.17 ,0.05 ,-0.07 ,-0.09 ,202.1075358 ,13.7787884 ,-16.108 ,-6.543 ,4.264 ,17.90 ,thin ,G5V ,4.97 ,0.714 ,12.90 ,-51.40 ,-4.30 ,5501.0 ,3.90 ,1.11 ,1.92 ,
HIP 32955 ,-0.66 ,-0.91 ,,-0.34 ,-0.67 ,-0.50 ,-0.63 ,-0.60 ,-0.54 ,-0.56 ,-0.55 ,-0.59 ,-0.76 ,-0.95 ,,-0.73 ,,102.9620617 ,41.5763114 ,-10.682 ,46.407 ,42.245 ,63.66 ,thin ,F8 ,7.85 ,0.439 ,27.10 ,28.90 ,-20.60 ,6323.0 ,4.29 ,1.23 ,1.31 ,
HIP 65725 ,-0.03 ,,-0.04 ,0.08 ,-0.18 ,0.01 ,-0.12 ,-0.03 ,-0.01 ,0.06 ,-0.06 ,-0.11 ,-0.01 ,-0.30 ,-0.08 ,-0.10 ,0.14 ,202.1111720 ,15.7082990 ,-45.262 ,-18.389 ,13.740 ,50.75 ,thin ,F5 ,7.91 ,0.540 ,-16.30 ,-4.50 ,-13.10 ,6376.0 ,4.65 ,,,
2MASS 19312934+4605559 ,0.02 ,,0.03 ,-0.02 ,-0.14 ,0.02 ,-0.18 ,0.01 ,0.06 ,,0.03 ,0.08 ,0.06 ,-0.15 ,,0.01 ,0.14 ,292.8722691 ,46.0988651 ,124.759 ,-295.745 ,333.537 ,462.90 ,N/A ,,13.00 ,,,,,6063.0 ,4.30 ,1.18 ,1.40 ,
HIP 65737 ,-0.28 ,-1.36 ,-0.21 ,-0.21 ,-0.29 ,-0.12 ,-0.22 ,-0.20 ,-0.16 ,-0.15 ,-0.19 ,-0.30 ,-0.28 ,-0.53 ,-0.25 ,-0.29 ,-0.36 ,202.1273032 ,-27.3918463 ,-30.133 ,-12.253 ,-16.856 ,36.64 ,thin ,F9.5V ,7.21 ,0.583 ,-41.90 ,-2.30 ,33.90 ,5919.0 ,4.33 ,1.07 ,1.18 ,
HIP 32970 ,0.35 ,-0.66 ,0.38 ,0.20 ,0.46 ,0.35 ,0.32 ,0.34 ,0.32 ,0.36 ,0.30 ,0.22 ,0.27 ,0.33 ,0.27 ,0.39 ,0.28 ,103.0084341 ,-33.9155609 ,-8.636 ,37.380 ,-25.795 ,46.23 ,thin ,G0/2V ,7.20 ,0.614 ,-32.50 ,-21.40 ,-17.00 ,6077.0 ,4.36 ,1.31 ,1.42 ,
HIP 32971 ,-0.03 ,,-0.12 ,,-0.14 ,-0.10 ,-0.19 ,-0.06 ,-0.04 ,,-0.04 ,-0.16 ,-0.06 ,,-0.21 ,-0.11 ,,103.0099376 ,-11.2045105 ,-10.423 ,45.112 ,-9.172 ,47.20 ,thin ,G4.5V ,7.43 ,0.721 ,-13.30 ,-5.40 ,-7.50 ,5538.0 ,,,,
HIP 98505 ,0.01 ,-3.52 ,0.06 ,-0.05 ,0.00 ,0.05 ,0.01 ,0.03 ,0.06 ,0.12 ,0.10 ,0.13 ,0.08 ,-0.08 ,0.11 ,0.00 ,-0.12 ,300.1821373 ,22.7108537 ,9.168 ,-15.763 ,7.632 ,19.77 ,thin ,K2V ,7.67 ,0.932 ,15.70 ,-12.60 ,-11.80 ,4897.3 ,4.58 ,0.81 ,0.76 ,
HIP 65747 ,0.50 ,,,0.33 ,0.51 ,,0.33 ,0.41 ,0.29 ,,0.26 ,0.29 ,0.28 ,0.28 ,0.36 ,0.36 ,0.34 ,202.1637182 ,28.4485901 ,-56.756 ,-23.120 ,33.203 ,69.70 ,thin ,G1/2V ,8.34 ,0.682 ,-16.60 ,-53.30 ,-14.90 ,5902.0 ,4.36 ,1.06 ,1.33 ,
HIP 212 ,0.00 ,,,,,,,0.07 ,0.27 ,,,,,,,,,0.6635087 ,-29.0752417 ,222.195 ,2.573 ,-123.555 ,254.25 ,thin ,F2V ,10.25 ,0.318 ,-16.60 ,-6.00 ,-7.40 ,7000.0 ,4.50 ,1.44 ,1.36 ,
HIP 213 ,0.34 ,,0.08 ,0.16 ,0.19 ,0.16 ,0.06 ,0.03 ,0.28 ,,0.21 ,0.15 ,0.29 ,0.29 ,,0.33 ,0.69 ,0.6670275 ,51.4723999 ,147.005 ,1.711 ,184.640 ,236.02 ,thin ,G5 ,7.70 ,1.003 ,-21.40 ,-18.60 ,-7.40 ,5026.0 ,3.12 ,,9.86 ,
HIP 32984 ,0.00 ,,0.64 ,0.09 ,0.02 ,-0.12 ,0.01 ,0.00 ,-0.03 ,0.21 ,0.15 ,0.20 ,0.04 ,-0.02 ,0.10 ,0.02 ,0.32 ,103.0752106 ,-5.1737127 ,-1.971 ,8.485 ,-0.789 ,8.75 ,thin ,K3.5V ,6.57 ,1.071 ,-0.10 ,12.70 ,-19.80 ,5100.0 ,4.50 ,0.76 ,0.70 ,
HIP 32990 ,0.16 ,-2.33 ,-0.20 ,-0.10 ,0.40 ,0.26 ,0.24 ,0.31 ,0.26 ,0.16 ,0.16 ,0.10 ,0.22 ,0.13 ,0.14 ,0.13 ,0.16 ,103.0952590 ,-5.3162769 ,-35.405 ,152.200 ,-14.541 ,156.94 ,thin ,K0III ,6.28 ,0.977 ,-22.80 ,-20.30 ,-17.60 ,4960.0 ,2.59 ,,11.25 ,
BD+36 00350 ,0.16 ,,-0.22 ,-0.22 ,-0.07 ,-0.07 ,-0.14 ,-0.14 ,0.10 ,,0.01 ,-0.04 ,0.09 ,0.10 ,,0.13 ,0.52 ,28.9266289 ,37.6318246 ,286.173 ,158.149 ,252.086 ,412.86 ,N/A ,,9.17 ,,,,,4966.0 ,2.73 ,,9.95 ,
HIP 65758 ,0.10 ,,0.02 ,,0.06 ,0.06 ,0.04 ,0.05 ,0.18 ,0.09 ,0.14 ,0.14 ,0.13 ,0.01 ,0.09 ,0.07 ,,202.2023648 ,-86.4496488 ,-3.477 ,-1.419 ,-60.528 ,60.64 ,N/A ,G5/6V ,9.19 ,0.750 ,,,,5542.0 ,4.45 ,0.98 ,0.91 ,
HIP 32993 ,0.18 ,,,,0.32 ,0.34 ,0.15 ,0.19 ,0.27 ,0.80 ,0.25 ,0.30 ,0.23 ,0.07 ,0.43 ,0.19 ,0.44 ,103.1035605 ,7.8961895 ,-22.127 ,95.058 ,13.536 ,98.53 ,N/A ,F5 ,7.60 ,0.491 ,,,,6459.0 ,3.88 ,1.31 ,2.16 ,
