f_preferred_name,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_ra,f_dec,f_x,f_y,f_z,f_dist,f_disk,f_spec,f_vmag,f_bv,f_u,f_v,f_w,f_teff,f_logg,f_mass,f_radius,
2MASS 19012326+4818441 ,0.15 ,,0.12 ,0.12 ,0.03 ,0.10 ,0.04 ,0.09 ,0.18 ,,0.09 ,0.11 ,0.14 ,0.05 ,,0.16 ,0.09 ,285.3469612 ,48.3122400 ,177.587 ,-647.063 ,753.427 ,1008.90 ,N/A ,,,,,,,5675.0 ,4.21 ,0.95 ,1.07 ,
HIP 84835 ,-0.39 ,-3.73 ,,,-0.63 ,-0.40 ,-0.54 ,-0.57 ,-0.47 ,-0.40 ,-0.53 ,-0.58 ,-0.61 ,-1.03 ,-0.47 ,-0.63 ,,260.0880045 ,46.2407787 ,-18.822 ,-107.714 ,114.188 ,158.10 ,thin ,M0+IIIab ,5.51 ,1.586 ,-49.10 ,-51.40 ,-10.90 ,4695.7 ,,,45.73 ,
HIP 19301 ,-0.06 ,,-0.09 ,-0.06 ,-0.20 ,-0.08 ,-0.12 ,-0.07 ,-0.07 ,,-0.03 ,-0.03 ,-0.09 ,-0.25 ,,-0.10 ,-0.09 ,62.0594160 ,44.6628381 ,10.774 ,20.314 ,22.725 ,32.33 ,thin ,G5 ,7.70 ,0.725 ,43.80 ,-0.10 ,-38.60 ,5553.0 ,4.46 ,0.97 ,0.96 ,
HIP 19302 ,0.16 ,,-0.05 ,-0.08 ,0.10 ,0.18 ,0.17 ,0.11 ,0.21 ,0.14 ,0.16 ,0.14 ,0.17 ,0.20 ,0.23 ,0.20 ,0.12 ,62.0641198 ,37.7274964 ,16.961 ,31.985 ,28.009 ,45.77 ,thin ,K1III ,6.07 ,0.943 ,44.30 ,-29.40 ,-35.40 ,5012.0 ,3.50 ,,3.78 ,
2MASS 09254240-0646192 ,0.05 ,,0.18 ,,0.65 ,0.18 ,,-0.02 ,0.22 ,,0.30 ,0.44 ,,,,0.06 ,0.16 ,141.4267367 ,-6.7720676 ,-71.377 ,56.925 ,-10.841 ,91.94 ,N/A ,,,,,,,4720.9 ,4.54 ,0.78 ,0.79 ,
HIP 117607 ,-0.13 ,,,,0.13 ,0.10 ,0.00 ,0.04 ,0.08 ,,-0.08 ,,-0.27 ,,,-0.05 ,,357.7783242 ,2.2378505 ,181.605 ,-7.045 ,7.102 ,181.88 ,thin ,G8/K0Iab/b ,6.92 ,1.157 ,-6.20 ,13.60 ,-24.90 ,4406.0 ,,,12.10 ,
HIP 117615 ,0.09 ,,-0.11 ,-0.06 ,-0.07 ,0.00 ,0.01 ,-0.11 ,0.07 ,,0.05 ,0.00 ,0.04 ,0.07 ,,0.12 ,0.10 ,357.7944903 ,44.5477018 ,110.993 ,-4.275 ,109.335 ,155.86 ,thin ,K0 ,8.21 ,1.018 ,13.10 ,-59.00 ,-15.30 ,4795.0 ,3.07 ,,5.66 ,
HIP 84850 ,-0.12 ,,-0.34 ,-0.09 ,-0.34 ,-0.16 ,-0.26 ,-0.02 ,-0.16 ,-0.08 ,-0.18 ,-0.28 ,-0.15 ,-0.49 ,-0.19 ,-0.22 ,-0.10 ,260.1256917 ,44.1921290 ,-30.805 ,-176.971 ,174.636 ,250.53 ,N/A ,K0 ,6.84 ,1.043 ,,,,4705.0 ,2.38 ,,17.01 ,
HIP 84852 ,-0.22 ,,-0.07 ,0.10 ,-0.13 ,-0.05 ,-0.13 ,-0.05 ,-0.07 ,0.04 ,-0.12 ,-0.03 ,-0.09 ,-0.31 ,-0.04 ,-0.09 ,,260.1330015 ,49.0125616 ,-26.375 ,-151.635 ,177.134 ,234.66 ,thin ,K2 ,7.68 ,1.145 ,22.50 ,-24.70 ,6.10 ,4751.2 ,,,11.29 ,
HIP 52085 ,0.02 ,-3.04 ,-0.22 ,-0.01 ,0.11 ,0.16 ,0.12 ,0.10 ,0.06 ,0.02 ,0.00 ,-0.14 ,0.02 ,-0.03 ,0.06 ,0.00 ,0.04 ,159.6456153 ,-16.8765652 ,-81.652 ,30.292 ,-26.421 ,91.01 ,thin ,G8IIIb ,4.91 ,0.922 ,-32.20 ,-17.20 ,0.50 ,5228.8 ,,,10.17 ,
HIP 84855 ,-0.45 ,,,,-0.44 ,-0.18 ,-0.41 ,-0.23 ,-0.21 ,-0.19 ,-0.15 ,-0.25 ,-0.42 ,-0.71 ,-0.29 ,-0.40 ,-0.47 ,260.1406431 ,48.1887805 ,-4.362 ,-25.100 ,28.482 ,38.21 ,thin ,F4VmF2 ,6.36 ,0.427 ,10.20 ,42.80 ,-16.10 ,6568.0 ,4.11 ,1.28 ,1.52 ,
HIP 84856 ,0.23 ,-2.21 ,0.22 ,0.17 ,0.20 ,0.24 ,0.20 ,0.20 ,0.27 ,0.33 ,0.23 ,0.15 ,0.20 ,0.11 ,0.28 ,0.21 ,0.33 ,260.1429620 ,-19.3337477 ,-7.678 ,-44.191 ,-15.737 ,47.53 ,thin ,G1V ,6.52 ,0.578 ,-64.70 ,-50.00 ,-4.30 ,6218.0 ,4.07 ,1.35 ,2.12 ,
HIP 117627 ,-0.32 ,,,-0.26 ,-0.51 ,-0.17 ,-0.23 ,-0.29 ,-0.25 ,-0.24 ,-0.30 ,-0.35 ,-0.37 ,-0.51 ,-0.21 ,-0.39 ,-0.45 ,357.8367470 ,-36.0343149 ,55.642 ,-2.102 ,-40.506 ,68.86 ,thin ,G6V ,7.85 ,0.735 ,74.20 ,-4.30 ,5.30 ,5544.3 ,3.81 ,0.94 ,2.01 ,
HIP 84862 ,-0.33 ,-3.38 ,-0.13 ,0.09 ,-0.32 ,0.01 ,-0.12 ,-0.13 ,-0.11 ,-0.13 ,-0.06 ,-0.24 ,-0.34 ,-0.68 ,-0.10 ,-0.30 ,-0.27 ,260.1648644 ,32.4677439 ,-2.100 ,-12.114 ,7.823 ,14.57 ,thick ,G0V ,5.39 ,0.619 ,25.50 ,-80.90 ,-63.70 ,5820.0 ,4.50 ,1.05 ,1.12 ,
HIP 19335 ,0.20 ,-0.30 ,0.09 ,0.10 ,0.46 ,0.44 ,0.48 ,0.33 ,0.37 ,0.46 ,0.45 ,0.42 ,0.34 ,0.12 ,0.56 ,0.28 ,0.64 ,62.1525715 ,38.0397385 ,7.791 ,14.747 ,13.050 ,21.18 ,thin ,F8V ,5.52 ,0.520 ,-32.60 ,-15.90 ,-7.90 ,6204.0 ,4.34 ,1.30 ,1.22 ,
HD 191009 ,-0.33 ,,-0.45 ,-0.30 ,-0.33 ,-0.25 ,-0.35 ,-0.29 ,-0.16 ,-0.12 ,-0.28 ,-0.20 ,-0.22 ,-0.51 ,-0.24 ,-0.26 ,,301.1637869 ,57.6100938 ,60.439 ,-99.939 ,184.109 ,218.03 ,N/A ,,,,,,,5048.9 ,,,8.81 ,
HIP 84890 ,-0.26 ,,0.02 ,0.11 ,-0.15 ,-0.04 ,-0.13 ,0.01 ,-0.08 ,0.11 ,-0.09 ,-0.03 ,-0.10 ,-0.25 ,0.01 ,-0.03 ,-0.13 ,260.2362737 ,66.5627224 ,-11.148 ,-64.786 ,151.641 ,165.28 ,thin ,K2 ,6.94 ,1.139 ,-44.30 ,-17.80 ,-9.10 ,4509.2 ,,,11.69 ,
HD 184521 ,0.13 ,,0.22 ,,0.71 ,-0.02 ,-0.16 ,0.21 ,0.33 ,,,0.09 ,,-0.23 ,,0.26 ,,293.2778497 ,41.4712588 ,108.543 ,-252.304 ,242.754 ,366.56 ,N/A ,,8.79 ,,,,,7000.0 ,3.50 ,1.54 ,3.85 ,
HIP 84893 ,-0.16 ,-0.96 ,0.02 ,0.04 ,-0.26 ,-0.23 ,-0.35 ,-0.28 ,-0.23 ,-0.01 ,-0.19 ,-0.13 ,-0.19 ,-0.45 ,-0.14 ,-0.37 ,-0.14 ,260.2515605 ,-21.1129364 ,-2.694 ,-15.682 ,-6.144 ,17.06 ,thin ,F2V ,4.39 ,0.394 ,-4.60 ,-2.30 ,-28.50 ,7000.0 ,4.30 ,1.44 ,1.48 ,
HIP 117668 ,-0.13 ,,-0.11 ,-0.08 ,-0.29 ,-0.20 ,-0.24 ,-0.21 ,-0.16 ,,-0.10 ,-0.20 ,-0.25 ,-0.46 ,,-0.20 ,-0.11 ,357.9528341 ,-33.4524928 ,60.461 ,-2.161 ,-39.972 ,72.51 ,thin ,G5V ,7.84 ,0.719 ,-3.50 ,21.60 ,-2.40 ,5546.0 ,3.82 ,0.97 ,2.00 ,
HIP 52137 ,0.09 ,-1.06 ,-0.05 ,-0.01 ,-0.07 ,,0.00 ,0.03 ,0.12 ,0.16 ,0.13 ,0.02 ,0.09 ,-0.03 ,,0.02 ,,159.7744110 ,55.5124884 ,-29.235 ,10.771 ,45.354 ,55.02 ,N/A ,G0 ,8.64 ,0.640 ,,,,5842.0 ,4.56 ,1.04 ,0.95 ,
HIP 84905 ,-0.52 ,,-0.35 ,-0.22 ,-0.55 ,-0.31 ,-0.34 ,-0.35 ,-0.30 ,-0.34 ,-0.28 ,-0.34 ,-0.48 ,-0.83 ,-0.31 ,-0.52 ,-0.51 ,260.2794019 ,1.4430511 ,-6.674 ,-38.958 ,0.996 ,39.54 ,thick ,G0/2V ,7.01 ,0.571 ,-165.30 ,-42.30 ,-13.10 ,5941.0 ,4.11 ,1.04 ,1.49 ,
HIP 52139 ,0.39 ,,,,0.76 ,0.56 ,0.56 ,0.46 ,0.35 ,1.03 ,0.49 ,0.45 ,0.42 ,0.43 ,0.62 ,0.44 ,0.55 ,159.7818013 ,37.9100012 ,-37.079 ,13.656 ,30.772 ,50.08 ,thin ,G0IV ,5.84 ,0.595 ,-58.60 ,-25.20 ,1.40 ,6106.0 ,3.59 ,1.14 ,2.82 ,
HIP 84907 ,-0.04 ,,,-0.02 ,-0.25 ,-0.08 ,-0.15 ,-0.04 ,-0.12 ,0.02 ,-0.09 ,-0.20 ,-0.05 ,-0.20 ,-0.01 ,-0.07 ,-0.01 ,260.2818509 ,-24.6835554 ,-6.873 ,-40.130 ,-18.712 ,44.81 ,thin ,K0/1V+(G) ,8.57 ,0.769 ,-2.60 ,10.80 ,-19.90 ,5537.0 ,4.51 ,0.96 ,0.90 ,
2MASS 19165600+4956201 ,0.09 ,,0.04 ,-0.09 ,-0.08 ,0.01 ,-0.06 ,0.03 ,0.04 ,,0.03 ,0.09 ,0.08 ,-0.13 ,,0.05 ,0.19 ,289.2333994 ,49.9389517 ,99.131 ,-284.133 ,357.859 ,467.57 ,N/A ,,11.52 ,,,,,6059.0 ,4.15 ,1.01 ,1.13 ,
HIP 84910 ,-0.31 ,,,,-0.61 ,-0.43 ,-0.55 ,-0.53 ,-0.38 ,-0.19 ,-0.36 ,-0.33 ,-0.48 ,-0.75 ,-0.39 ,-0.52 ,-0.55 ,260.2934891 ,69.8007077 ,-13.525 ,-79.069 ,218.032 ,232.32 ,thin ,F8 ,7.38 ,0.626 ,-33.10 ,-22.30 ,-2.60 ,6149.0 ,,,8.26 ,
HIP 117678 ,0.12 ,,,,0.28 ,0.08 ,0.18 ,0.21 ,0.16 ,0.26 ,0.14 ,0.27 ,0.14 ,0.47 ,0.25 ,0.13 ,,357.9796357 ,-33.1220251 ,125.322 ,-4.421 ,-81.816 ,149.73 ,N/A ,K0III ,7.06 ,0.972 ,,,,5018.0 ,3.09 ,,7.89 ,
HIP 117683 ,-0.20 ,,-0.02 ,-0.14 ,,,,-0.23 ,-0.24 ,,,,,,,,,357.9909953 ,2.9303864 ,218.849 ,-7.677 ,11.210 ,219.27 ,thin ,K4III ,5.55 ,1.527 ,-7.00 ,-15.00 ,-14.60 ,3930.0 ,1.63 ,,61.39 ,
HIP 84916 ,-0.14 ,,-0.10 ,0.06 ,-0.18 ,-0.04 ,-0.18 ,-0.07 ,-0.06 ,0.02 ,-0.12 ,-0.04 ,-0.09 ,-0.33 ,-0.11 ,-0.14 ,,260.3044777 ,46.1503292 ,-10.916 ,-63.892 ,67.475 ,93.56 ,thin ,K0 ,7.55 ,0.918 ,-20.00 ,-66.60 ,7.50 ,5021.7 ,,,3.81 ,
HIP 84920 ,0.27 ,,,,0.33 ,0.24 ,0.33 ,0.30 ,0.26 ,0.37 ,0.23 ,0.31 ,0.31 ,0.28 ,0.38 ,0.33 ,0.40 ,260.3112992 ,31.2569048 ,-10.604 ,-62.107 ,38.243 ,73.70 ,thin ,G0III ,6.90 ,0.573 ,-17.90 ,-22.30 ,-7.70 ,6423.0 ,3.81 ,1.26 ,2.31 ,
HIP 117689 ,-0.33 ,,,,-0.18 ,-0.14 ,-0.16 ,-0.17 ,-0.19 ,-0.21 ,-0.16 ,-0.21 ,-0.29 ,-0.55 ,-0.22 ,-0.31 ,,358.0269716 ,-82.0188232 ,11.588 ,-0.399 ,-82.697 ,83.51 ,thin ,G6/8III ,5.11 ,0.934 ,24.50 ,-7.20 ,1.90 ,5017.0 ,2.77 ,,10.26 ,
HIP 19386 ,0.23 ,,0.23 ,0.20 ,0.01 ,0.15 ,0.09 ,0.19 ,0.21 ,,0.13 ,0.14 ,0.20 ,0.11 ,,0.23 ,0.22 ,62.2877931 ,0.1789728 ,26.107 ,49.702 ,0.175 ,56.14 ,thin ,G2V ,7.63 ,0.553 ,-35.50 ,-13.20 ,-5.50 ,6300.0 ,4.30 ,1.19 ,1.31 ,
2MASS 19074793+4521137 ,0.06 ,,0.10 ,-0.09 ,-0.08 ,0.05 ,0.05 ,0.01 ,0.09 ,,0.01 ,0.04 ,0.07 ,-0.08 ,,0.05 ,0.11 ,286.9497321 ,45.3538168 ,144.569 ,-474.352 ,502.056 ,705.67 ,N/A ,,,,,,,5942.0 ,4.31 ,1.12 ,1.09 ,
