HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
104347,-0.57,-1.96,-0.21,-0.1,-0.51,-0.51,-0.65,-0.41,-0.55,,-0.59,-0.73,,-0.99,-0.58,-0.65,,61.846,-57.488,70.031,thin 
104367,0.31,,,,0.08,,,0.22,,,0.3,,,,,0.22,,58.284,-54.058,-31.607,thin 
71607,-0.39,,-0.26,-0.06,-0.44,-0.22,-0.44,-0.32,-0.27,-0.23,-0.36,-0.32,-0.36,-0.65,-0.32,-0.38,,-112.753,-93.54,326.991,thin 
104376,0.04,,-0.05,0.02,,0.07,,0.07,0.1,,0.16,,,,,0.06,,37.328,-34.598,-18.519,N/A 
38853,-0.02,-0.84,-0.01,-0.26,,,,-0.12,,,-0.12,-0.28,,,-0.35,0.03,,-26.664,47.582,1.441,thin 
38862,-0.15,,,-0.14,-0.33,-0.08,-0.21,-0.16,-0.14,0.0,-0.2,-0.22,-0.21,-0.28,-0.08,-0.19,-0.26,-22.372,39.862,-11.899,thin 
71631,0.12,,0.01,0.15,-0.12,-0.2,-0.28,-0.05,0.14,,0.08,0.06,0.04,-0.17,,-0.07,0.05,-11.468,-9.538,30.981,thin 
38868,0.15,-2.94,-0.13,0.05,0.28,0.18,0.25,0.24,0.18,0.16,0.16,0.02,0.18,0.15,0.21,0.14,0.2,-50.442,89.827,15.656,thin 
6116,0.15,,-0.01,0.01,0.0,0.08,0.12,-0.05,0.12,,0.1,0.05,0.1,0.14,,0.18,0.14,99.757,35.589,-58.066,thin 
104421,-0.24,-0.84,-0.05,-0.06,-0.22,-0.19,-0.34,-0.11,-0.18,,-0.25,-0.3,,-0.5,-0.24,-0.23,,44.05,-40.656,35.136,thin 
6125,0.27,,0.25,0.33,0.24,0.26,0.18,0.24,0.22,,0.18,,0.19,0.3,,0.23,,100.56,35.923,-51.849,thin 
6130,-0.07,,-0.01,,-0.04,-0.03,-0.03,-0.06,0.0,-0.03,0.04,0.01,-0.04,-0.17,-0.06,-0.08,,25.725,9.196,-0.414,thin 
104436,-0.27,-1.4,,-0.24,-0.24,-0.31,-0.52,-0.22,-0.21,,-0.16,,-0.34,,,-0.31,,2.475,-2.281,-24.03,thin 
38908,-0.28,,-0.02,0.08,-0.18,0.0,-0.08,-0.1,-0.1,-0.09,-0.01,-0.19,-0.29,-0.54,-0.18,-0.24,-0.3,-3.936,6.972,-14.037,thin 
71679,0.04,,,,0.0,0.04,-0.08,-0.06,0.03,0.24,0.01,0.1,0.07,-0.06,0.1,0.11,,-16.47,-13.779,49.028,thin 
104459,0.0,-2.95,-0.22,-0.22,0.12,0.05,0.1,0.09,0.1,-0.04,0.04,-0.06,0.05,-0.03,0.04,0.02,0.15,35.109,-32.286,-9.593,thin 
38925,0.03,,,,0.4,0.06,0.09,0.16,0.1,0.1,0.07,0.1,0.06,0.25,0.11,0.02,,-55.224,97.694,-96.814,N/A 
38926,-0.32,,,,-0.46,-0.31,-0.4,-0.32,-0.29,,-0.31,,-0.37,,,-0.38,-0.46,-23.368,41.339,41.242,thin 
6159,-0.59,,-0.13,-0.13,-0.59,-0.34,-0.62,-0.4,-0.53,,-0.5,-0.6,,-1.06,-0.58,-0.62,,58.238,20.91,-9.734,thick 
71697,-0.12,-2.14,-0.31,-0.26,-0.11,-0.05,-0.05,-0.04,-0.06,-0.2,-0.12,-0.22,-0.12,-0.24,-0.08,-0.15,-0.12,-70.021,-58.748,-46.842,N/A 
38931,-0.25,,-0.27,-0.01,-0.22,-0.2,-0.04,-0.24,-0.16,0.26,0.09,0.33,-0.2,-0.43,-0.13,-0.26,,-8.685,15.357,-0.251,thin 
38939,-0.29,,,,,,,-0.33,-0.49,,-0.18,-0.19,-0.43,-0.37,-0.21,-0.42,,-8.207,14.495,-7.99,thin 
6177,-0.08,,0.08,0.1,-0.16,-0.05,-0.06,-0.11,0.0,0.02,0.04,0.1,0.0,-0.03,-0.05,-0.08,0.04,21.858,7.875,-22.148,thin 
104486,-1.6,,-0.09,-0.83,-1.35,-0.97,,-1.18,-1.25,,-0.89,,-1.99,-1.48,-1.37,-1.52,-0.82,176.328,-161.592,119.848,thick 
71719,0.15,,0.13,0.09,0.17,0.09,0.1,0.15,0.15,0.2,0.13,0.05,0.14,0.04,0.12,0.15,0.18,-33.457,-28.127,-44.55,thin 
71725,-0.65,,-0.58,-0.31,-0.59,-0.43,-0.63,-0.46,-0.4,-0.4,-0.52,-0.51,-0.58,-0.9,-0.5,-0.55,,-13.825,-11.632,371.391,thin 
38959,0.05,-3.08,-0.18,-0.03,0.13,0.14,0.24,0.2,0.11,0.09,0.08,0.04,0.09,-0.01,0.09,0.06,0.03,-47.415,83.57,92.714,thin 
38962,0.03,-3.0,-0.32,0.03,0.26,0.1,0.24,0.11,0.08,0.14,0.06,0.03,-0.01,-0.02,0.11,0.03,0.12,-39.428,69.445,3.102,thin 
6197,0.19,,0.14,0.1,0.15,0.14,0.12,0.15,0.16,0.2,0.16,0.16,0.18,0.07,0.2,0.18,0.24,41.842,15.123,-20.7,thin 
71735,-0.34,-2.44,-0.28,-0.31,-0.32,-0.19,-0.27,-0.3,-0.25,-0.24,-0.2,-0.35,-0.34,-0.51,-0.29,-0.35,-0.36,-10.661,-8.983,-21.491,thin 
38969,0.18,,,0.45,0.46,0.04,0.39,0.1,0.25,,0.49,,0.33,,0.25,0.23,,-15.309,26.941,-8.315,thin 
104504,-0.12,-0.83,-0.18,-0.16,-0.23,-0.16,-0.21,-0.2,-0.1,-0.03,-0.1,-0.15,-0.2,-0.34,-0.2,-0.22,,33.699,-30.844,-21.131,N/A 
6206,0.06,,-0.03,0.04,-0.08,0.01,-0.03,0.06,-0.02,,0.05,-0.02,0.08,,0.01,0.03,,28.385,10.269,-24.762,thin 
71743,0.18,,-0.04,0.12,0.02,0.04,0.01,0.06,0.08,0.27,0.15,0.04,0.13,0.04,0.02,0.01,-0.07,-17.36,-14.634,-6.6,thin 
104514,-0.5,-0.68,-0.17,-0.18,-0.47,-0.45,-0.65,-0.36,-0.45,,-0.53,-0.61,,-0.82,-0.53,-0.54,,45.426,-41.538,23.313,thin 
104520,-0.4,-0.8,-0.15,0.05,-0.34,-0.26,-0.44,-0.19,-0.23,,-0.32,-0.33,,-0.69,-0.3,-0.37,,37.099,-33.901,65.331,thin 
104521,-1.74,,0.04,0.15,0.29,0.41,,-1.94,1.04,0.35,-3.03,0.85,-2.17,0.88,1.46,-0.35,1.58,26.21,-23.946,6.344,thin 
71755,-0.34,-0.77,-0.3,,-0.23,-0.33,-0.49,-0.33,-0.26,,-0.22,-0.44,-0.36,-0.6,-0.27,-0.41,,-18.668,-15.755,-53.401,thin 
38998,-0.09,,0.06,0.19,-0.02,0.06,0.13,-0.01,0.06,0.2,0.15,0.4,-0.03,-0.15,0.08,-0.06,0.03,-17.123,29.998,-8.175,thin 
71774,0.14,,0.12,0.2,0.04,0.07,0.0,0.09,0.19,,0.17,0.05,0.16,-0.02,,0.11,0.22,-48.135,-40.724,-31.338,thin 
104542,-0.29,,,,-0.05,0.11,-0.06,-0.07,-0.15,,-0.26,,-0.33,,,-0.25,,220.918,-201.445,91.289,thin 
104543,-0.25,,-0.4,-0.23,-0.18,-0.12,-0.21,-0.16,-0.1,-0.03,-0.17,-0.13,-0.15,-0.41,-0.15,-0.16,,75.885,-69.163,232.335,thin 
104549,-0.02,-1.35,0.07,0.09,0.0,0.02,-0.08,-0.02,0.03,0.17,0.04,-0.06,-0.01,-0.13,0.06,-0.01,0.01,38.639,-35.196,-22.522,thin 
104557,0.2,-3.2,0.08,0.15,0.26,0.34,0.36,0.36,0.15,0.16,0.18,0.16,0.22,0.28,0.36,0.24,0.02,79.81,-72.633,-17.776,thin 
39023,-0.1,,,-0.51,0.34,0.07,,-0.08,0.1,-0.28,-0.1,-0.08,-0.04,,-0.15,-0.09,-0.37,-145.437,254.217,-126.197,thin 
104560,-0.47,,,-0.36,-0.58,-0.31,-0.46,-0.45,-0.44,-0.3,-0.46,-0.51,-0.54,-0.59,-0.34,-0.52,-0.63,40.028,-36.421,-7.261,thin 
