HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
32768,0.02,-3.29,-0.14,-0.06,0.3,0.21,0.23,0.27,0.1,-0.05,0.0,0.15,0.08,0.06,0.06,0.04,-0.07,-7.393,33.393,-41.659,thin 
65536,-1.0,,-0.72,-0.35,-0.9,-0.6,-0.82,-0.8,-0.69,-0.61,-0.72,-0.77,-0.88,-1.27,-0.68,-0.86,,-82.024,-32.366,277.832,thin 
98314,-0.34,-3.3,-0.45,-0.24,-0.29,-0.12,-0.22,-0.22,-0.24,-0.32,-0.25,-0.44,-0.36,-0.48,-0.3,-0.32,-0.37,46.612,-81.933,13.115,thin 
98316,-0.07,,-0.07,,0.07,0.02,0.09,-0.02,0.04,0.4,0.2,0.46,-0.02,-0.16,0.12,-0.01,,6.705,-11.785,-19.318,N/A 
65550,-0.04,-2.68,-0.26,-0.07,0.01,-0.06,0.08,0.06,0.0,-0.04,-0.04,-0.2,-0.04,-0.11,0.02,-0.07,-0.04,-72.575,-28.689,80.892,thin 
98329,-0.05,,-0.11,,-0.04,-0.05,-0.14,-0.03,0.0,-0.03,0.08,0.2,-0.02,-0.14,-0.01,-0.06,,21.84,-38.342,-16.004,N/A 
98333,-0.18,,-0.23,-0.19,-0.23,-0.15,-0.34,-0.23,-0.1,-0.09,-0.23,-0.14,-0.16,-0.41,-0.23,-0.22,-0.2,24.397,-42.817,138.143,thin 
98337,-0.17,-3.32,,,,0.15,,0.11,-0.28,-0.17,-0.3,-0.37,-0.22,,-0.11,-0.21,,37.568,-65.892,26.848,thin 
65574,-0.18,,-0.08,-0.01,-0.16,-0.16,-0.11,-0.15,-0.12,0.02,-0.02,0.2,-0.14,-0.31,-0.09,-0.19,-0.12,-25.157,-9.993,-12.218,thin 
32812,0.03,,0.02,,0.19,-0.2,0.15,0.04,0.05,0.32,0.23,0.51,0.02,-0.08,0.16,0.05,,-7.391,33.064,-41.907,N/A 
32813,-0.15,,,,0.02,-0.04,-0.03,-0.01,-0.05,-0.02,-0.04,-0.03,-0.11,-0.33,-0.03,-0.14,,-12.579,56.252,-158.251,N/A 
65583,-0.1,,0.06,0.13,-0.1,-0.01,-0.14,-0.04,-0.04,0.02,-0.07,-0.16,-0.1,-0.37,-0.11,-0.13,-0.06,-68.684,-27.312,22.526,thin 
98353,-0.2,-3.28,,,0.09,-0.07,0.01,0.03,-0.03,-0.01,-0.03,-0.06,-0.15,-0.22,-0.07,-0.15,,51.604,-90.331,-51.18,thin 
98355,-0.52,-0.76,-0.43,-0.22,-0.46,-0.39,-0.55,-0.49,-0.49,-0.38,-0.5,-0.54,-0.62,-0.8,-0.43,-0.56,-0.58,17.77,-31.099,-37.205,thin 
57,0.0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0.0,0.15,10.17,0.03,-27.459,thin 
65595,-0.01,,-0.13,0.07,-0.09,0.03,-0.22,-0.01,-0.04,0.09,-0.04,0.0,-0.03,-0.15,-0.08,-0.04,,-16.361,-6.523,87.697,thin 
98365,-0.08,,-0.25,-0.12,-0.14,-0.18,-0.24,-0.16,-0.13,-0.07,-0.23,-0.14,-0.18,-0.47,-0.18,-0.22,-0.27,44.235,-77.313,249.762,N/A 
32831,0.34,,,,0.29,0.17,0.11,0.2,0.33,,0.26,,0.23,,,0.26,,-77.499,344.947,35.057,N/A 
98367,-0.25,,-0.37,-0.12,-0.38,-0.16,-0.33,-0.16,-0.29,-0.09,-0.26,-0.22,-0.26,-0.5,-0.19,-0.26,,80.095,-139.969,196.769,thin 
65602,-0.2,,0.04,,-0.15,-0.15,-0.11,-0.21,-0.09,-0.01,0.0,0.19,-0.15,-0.34,-0.14,-0.2,,-25.235,-10.074,-12.263,thin 
80,-0.52,-1.48,-0.35,-0.11,-0.57,-0.26,-0.42,-0.4,-0.39,-0.32,-0.38,-0.53,-0.58,-0.84,-0.4,-0.57,-0.67,69.404,0.294,-14.529,thick 
32851,-0.4,,-0.24,-0.22,-0.34,-0.25,-0.37,-0.34,-0.34,-0.34,-0.25,-0.32,-0.57,-0.66,-0.45,-0.42,-0.22,-6.558,29.084,-0.281,thin 
65626,-0.18,,-0.23,,-0.19,-0.14,-0.14,-0.17,-0.1,-0.04,0.02,0.2,-0.18,-0.34,-0.16,-0.21,,-30.43,-12.187,-27.46,N/A 
98401,-0.58,,,,-0.41,-0.25,-0.23,-0.4,-0.35,-0.12,-0.23,-0.27,-0.34,-0.67,-0.15,-0.31,,18.698,-32.514,156.005,thin 
32868,0.11,,0.06,0.02,0.07,0.08,0.03,0.11,0.06,,0.09,0.03,0.08,,0.09,0.13,,-14.74,65.176,-21.524,thin 
65636,-0.02,,-0.17,,-0.07,-0.06,0.13,-0.08,0.05,0.39,0.24,0.52,-0.01,-0.27,0.02,-0.02,,-33.377,-13.386,-14.278,N/A 
65639,0.26,-2.61,-0.03,0.1,0.56,0.38,0.41,0.51,0.28,0.25,0.27,0.27,0.34,0.29,0.35,0.34,0.18,-70.773,-28.398,-21.828,thin 
65641,0.05,,0.09,-0.03,-0.1,0.04,-0.02,0.02,0.02,,0.02,0.03,0.0,-0.08,,0.04,-0.04,-36.469,-14.634,38.896,thin 
32874,-0.03,,-0.02,0.02,-0.1,-0.02,-0.1,-0.04,-0.01,,0.01,0.0,-0.03,-0.22,,-0.05,-0.04,-6.829,30.176,14.93,thin 
98413,-0.34,,-0.36,,-0.31,-0.35,-0.26,-0.33,-0.25,-0.23,-0.12,0.0,-0.32,-0.56,-0.32,-0.37,,16.312,-28.32,-12.031,N/A 
98416,-0.09,-0.9,,-0.08,-0.19,-0.03,-0.08,-0.09,0.0,0.32,-0.09,-0.03,0.0,-0.12,0.1,-0.1,0.1,10.478,-18.187,-3.685,thin 
98419,-0.28,,-0.27,0.07,-0.2,-0.03,-0.21,-0.19,-0.11,-0.05,-0.17,-0.14,-0.17,-0.48,-0.16,-0.21,,74.211,-128.765,301.668,thin 
32892,0.28,,0.39,0.19,0.26,0.22,0.2,0.23,0.27,,0.2,0.22,0.24,0.23,,0.32,0.26,-18.092,79.635,69.736,thin 
98431,-0.27,,0.27,0.2,-0.07,-0.22,-0.36,-0.29,-0.12,0.09,-0.26,-0.19,-0.26,,-0.17,-0.29,0.43,25.555,-44.275,-58.756,thin 
98442,0.12,,,,0.28,0.09,0.24,0.19,0.22,1.1,0.4,0.24,0.45,0.1,0.65,0.24,1.13,23.15,-40.042,6.303,thin 
32916,0.35,-2.89,0.23,0.09,0.31,0.31,0.3,0.27,0.32,0.42,0.31,0.26,0.31,0.32,0.38,0.31,0.26,-7.215,31.559,28.011,thin 
154,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,,126.296,1.08,-13.306,thin 
98461,-0.15,-3.28,,,0.0,-0.04,-0.02,0.0,-0.03,-0.06,-0.07,-0.06,-0.08,-0.3,-0.07,-0.14,,45.546,-78.677,-70.267,thin 
171,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61,11.257,0.107,5.756,thin 
65708,-0.03,-2.58,-0.03,-0.01,-0.02,0.11,-0.01,-0.01,0.0,0.08,0.03,-0.1,-0.06,-0.19,0.02,-0.04,-0.1,-39.948,-16.203,-0.632,thick 
98482,-0.14,,,,-0.06,-0.1,-0.08,-0.02,-0.07,0.0,-0.07,-0.02,-0.11,-0.18,-0.05,-0.14,,35.817,-61.775,-83.168,thin 
184,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05,33.173,0.341,6.452,thin 
65721,-0.02,-1.45,0.06,-0.01,-0.13,0.07,0.01,-0.05,0.01,0.07,0.02,-0.07,-0.08,-0.17,0.05,-0.07,-0.09,-16.108,-6.543,4.264,thin 
32955,-0.66,-0.91,,-0.34,-0.67,-0.5,-0.63,-0.6,-0.54,-0.56,-0.55,-0.59,-0.76,-0.95,,-0.73,,-10.682,46.407,42.245,thin 
65725,-0.03,,-0.04,0.08,-0.18,0.01,-0.12,-0.03,-0.01,0.06,-0.06,-0.11,-0.01,-0.3,-0.08,-0.1,0.14,-45.262,-18.389,13.74,thin 
65737,-0.28,-1.36,-0.21,-0.21,-0.29,-0.12,-0.22,-0.2,-0.16,-0.15,-0.19,-0.3,-0.28,-0.53,-0.25,-0.29,-0.36,-30.133,-12.253,-16.856,thin 
32970,0.35,-0.66,0.38,0.2,0.46,0.35,0.32,0.34,0.32,0.36,0.3,0.22,0.27,0.33,0.27,0.39,0.28,-8.636,37.38,-25.795,thin 
32971,-0.03,,-0.12,,-0.14,-0.1,-0.19,-0.06,-0.04,,-0.04,-0.16,-0.06,,-0.21,-0.11,,-10.423,45.112,-9.172,thin 
98505,0.01,-3.52,0.06,-0.05,0.0,0.05,0.01,0.03,0.06,0.12,0.1,0.13,0.08,-0.08,0.11,0.0,-0.12,9.168,-15.763,7.632,thin 
65747,0.5,,,0.33,0.51,,0.33,0.41,0.29,,0.26,0.29,0.28,0.28,0.36,0.36,0.34,-56.756,-23.12,33.203,thin 
212,0.0,,,,,,,0.07,0.27,,,,,,,,,222.195,2.573,-123.555,thin 
213,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69,147.005,1.711,184.64,thin 
32984,0.0,,0.64,0.09,0.02,-0.12,0.01,0.0,-0.03,0.21,0.15,0.2,0.04,-0.02,0.1,0.02,0.32,-1.971,8.485,-0.789,thin 
32990,0.16,-2.33,-0.2,-0.1,0.4,0.26,0.24,0.31,0.26,0.16,0.16,0.1,0.22,0.13,0.14,0.13,0.16,-35.405,152.2,-14.541,thin 
65758,0.1,,0.02,,0.06,0.06,0.04,0.05,0.18,0.09,0.14,0.14,0.13,0.01,0.09,0.07,,-3.477,-1.419,-60.528,N/A 
32993,0.18,,,,0.32,0.34,0.15,0.19,0.27,0.8,0.25,0.3,0.23,0.07,0.43,0.19,0.44,-22.127,95.058,13.536,N/A 
32994,0.33,,0.29,0.26,0.28,0.32,0.31,0.29,0.26,0.38,0.27,0.26,0.3,0.27,0.28,0.29,0.33,-13.907,59.742,-47.667,N/A 
98532,-1.08,-1.05,-1.01,-0.55,-1.17,-0.7,-0.97,-0.78,-0.78,-0.95,-0.88,-1.07,-1.15,-1.56,-0.84,-1.12,-0.83,31.091,-53.311,-13.406,thick 
65790,-0.06,-1.98,-0.17,-0.02,-0.06,0.1,0.02,0.01,-0.01,-0.08,-0.07,-0.07,-0.04,-0.09,0.04,-0.05,-0.04,-81.37,-33.379,16.807,thin 
98565,-0.45,,,-0.31,-0.5,-0.3,-0.45,-0.41,-0.38,0.18,-0.4,-0.22,-0.44,-0.64,-0.14,-0.52,-0.42,45.244,-77.376,8.865,thin 
98571,-0.24,,-0.42,-0.2,-0.14,-0.06,-0.22,-0.11,-0.1,-0.01,-0.17,-0.09,-0.1,-0.36,-0.12,-0.14,,44.661,-76.306,105.761,thin 
33037,-0.2,,-0.03,0.11,-0.16,-0.05,0.0,-0.14,-0.06,0.23,0.04,0.39,-0.13,-0.34,-0.07,-0.2,-0.2,-6.425,27.291,-11.963,thin 
65808,0.26,-2.79,0.25,0.14,0.25,0.27,0.26,0.22,0.23,0.3,0.26,0.19,0.25,0.24,0.3,0.27,0.17,-24.222,-9.953,-18.728,thin 
98583,-0.9,,,,-0.73,-0.51,-0.65,-0.62,-0.57,-0.49,-0.6,-0.66,-0.75,-1.2,-0.6,-0.78,,42.945,-73.289,180.689,thin 
98589,0.21,-1.19,0.19,0.06,0.21,0.21,0.18,0.18,0.24,0.27,0.22,0.21,0.22,0.12,0.24,0.22,0.25,16.517,-28.167,-9.901,thin 
65828,-0.33,,-0.48,-0.31,-0.27,-0.2,-0.3,-0.23,-0.18,-0.09,-0.26,-0.18,-0.2,-0.51,-0.2,-0.25,,-84.991,-35.057,340.279,N/A 
33061,0.48,,0.32,,,0.4,0.46,0.45,0.42,,0.49,0.51,0.49,,,,,-15.323,64.804,-66.425,N/A 
98597,0.0,,0.03,,-0.08,0.05,-0.12,0.01,0.0,,-0.02,-0.03,-0.02,-0.15,0.0,0.01,,50.522,-86.099,-2.913,N/A 
98599,0.35,,0.28,0.36,0.35,0.34,0.28,0.35,0.4,0.57,0.43,0.3,0.38,0.29,0.39,0.33,0.61,35.567,-60.6,-28.548,thin 
98602,-0.15,,-0.26,-0.14,-0.03,0.01,-0.09,-0.07,0.02,0.11,-0.04,0.04,0.02,-0.19,-0.02,-0.02,,55.898,-95.21,208.989,thin 
33072,0.13,-0.38,0.15,0.08,0.13,0.07,0.02,0.13,0.19,0.23,0.18,0.12,0.14,0.0,0.11,0.12,,-3.357,14.179,-53.354,thin 
305,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03,41.716,0.708,-22.553,thin 
98614,0.49,,-0.37,0.11,1.13,0.02,0.1,0.24,-0.17,,,0.89,,0.3,0.61,0.74,,40.32,-68.601,80.907,thin 
98621,-0.08,,-0.09,-0.09,-0.08,0.0,-0.03,-0.07,-0.04,-0.02,0.01,-0.06,-0.08,-0.22,-0.04,-0.09,0.12,7.332,-12.464,-38.045,thin 
33086,0.17,,-0.14,-0.14,-0.05,0.04,-0.02,-0.11,0.14,,0.07,0.03,0.13,0.13,,0.16,0.36,-42.169,177.568,72.696,thin 
65855,-0.57,,,,,-0.31,-0.52,-0.49,-0.48,,-0.62,-0.84,-0.61,,,-0.58,-0.73,-117.94,-48.829,13.447,thin 
33094,0.06,-2.66,0.22,0.16,0.1,0.23,0.18,0.12,0.14,0.22,0.19,0.07,0.04,-0.04,0.19,0.1,0.02,-5.242,22.016,-12.308,thick 
33109,0.02,,0.08,0.04,-0.06,0.01,-0.15,0.0,0.05,,0.03,0.0,0.03,-0.13,,0.0,0.07,-8.895,37.231,-6.416,thin 
98647,-0.2,,-0.29,-0.03,-0.11,-0.07,-0.21,-0.16,-0.05,0.01,-0.13,-0.05,-0.08,-0.31,-0.13,-0.11,,47.253,-80.043,196.273,thin 
343,0.18,-3.02,0.0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16,97.48,1.842,-28.934,thin 
65882,0.1,,0.07,0.3,-0.1,0.02,-0.15,0.08,0.13,,0.07,0.02,0.08,-0.24,,0.04,0.1,-86.192,-35.826,50.824,thin 
348,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,,56.363,1.072,12.971,thin 
98658,-0.26,,-0.26,-0.13,-0.17,-0.14,-0.24,-0.2,-0.09,-0.02,-0.15,-0.07,-0.11,-0.37,-0.13,-0.15,,25.061,-42.402,103.89,thin 
98666,-0.21,,-0.41,-0.15,-0.22,-0.1,-0.21,-0.1,-0.06,-0.01,-0.14,-0.1,-0.13,,-0.07,-0.08,,24.552,-41.497,264.816,thin 
33139,0.41,,,,0.41,0.24,0.31,0.36,0.14,,0.23,,0.2,,,0.26,,-8.169,34.001,-42.589,thin 
98677,-0.33,-2.03,-0.21,-0.21,-0.4,-0.25,-0.24,-0.26,-0.25,-0.32,-0.21,-0.29,-0.39,-0.66,-0.28,-0.34,-0.3,9.435,-15.928,5.166,thin 
379,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08,37.387,0.767,88.813,thin 
65920,-0.45,,,,,-0.19,-0.37,-0.26,-0.44,,-0.48,-0.7,-0.51,,,-0.48,-0.57,-135.333,-56.651,-7.817,N/A 
33160,-0.37,-4.14,-0.49,-0.45,-0.12,-0.16,0.01,-0.16,-0.27,-0.34,-0.13,-0.04,-0.26,-0.56,-0.22,-0.4,-0.48,-17.263,71.642,-15.716,thick 
98698,0.2,-3.78,,-0.04,0.45,0.11,0.24,0.24,0.32,0.19,0.3,,0.21,0.12,0.33,0.18,-0.09,6.478,-10.912,0.738,thin 
394,-0.44,-1.3,-0.25,-0.12,-0.46,-0.25,-0.38,-0.32,-0.32,-0.14,-0.37,-0.48,-0.44,-0.7,-0.42,-0.46,-0.42,29.05,0.621,20.089,thick 
98702,-0.11,-2.46,0.01,0.08,-0.29,0.0,-0.15,-0.02,-0.14,0.03,-0.16,-0.08,-0.17,-0.31,-0.01,-0.02,-0.18,22.727,-38.269,109.467,thin 
65936,-0.3,,,,,-0.36,-0.11,-0.13,-0.05,-0.28,-0.3,-0.43,-0.31,-0.33,-0.3,-0.34,-0.12,-193.61,-81.231,-172.508,thin 
400,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,,24.195,0.521,10.407,thin 
407,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13,14.98,0.325,-41.647,thin 
98714,-0.22,-2.08,-0.16,-0.19,-0.28,-0.1,-0.17,-0.2,-0.19,-0.1,-0.13,-0.26,-0.27,-0.34,-0.14,-0.25,-0.21,28.399,-47.728,29.912,thin 
410,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07,115.764,2.536,60.727,thin 
413,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02,41.152,0.906,-29.923,thin 
65951,0.25,-3.2,-0.08,-0.14,0.58,0.5,0.54,0.48,0.31,0.2,0.22,0.31,0.35,0.23,0.31,0.35,0.16,-53.058,-22.321,52.023,thin 
417,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06,145.309,3.211,-1.276,thin 
419,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0.0,,,,,-0.37,,133.823,2.987,-122.949,N/A 
420,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,,25.91,0.579,-33.353,thin 
98723,-0.02,,-0.07,,0.2,0.05,0.24,0.03,0.02,0.56,0.32,0.59,0.0,-0.25,0.17,0.01,,19.762,-33.188,-4.256,N/A 
65963,-0.04,,,,-0.16,0.07,-0.07,-0.11,-0.11,-0.11,-0.02,-0.05,-0.13,-0.32,-0.03,-0.14,,-46.837,-19.755,-7.151,N/A 
98731,-0.19,,,,-0.36,0.07,-0.21,0.0,-0.26,-0.02,-0.12,-0.17,-0.32,-0.43,-0.15,-0.17,,108.885,-182.629,256.19,thin 
65971,-0.24,,,-0.06,-0.25,-0.3,-0.28,-0.18,-0.08,0.0,-0.14,-0.23,-0.16,-0.46,-0.2,-0.28,0.14,-22.37,-9.445,40.338,thin 
436,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0.0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,,6.19,0.143,-15.197,thin 
65974,-0.68,,-0.48,-0.1,-0.74,-0.46,-0.58,-0.47,-0.52,-0.43,-0.45,-0.59,-0.69,-1.04,-0.49,-0.7,,-112.909,-47.682,372.641,N/A 
33212,0.02,-0.81,0.05,-0.02,-0.08,0.02,-0.05,-0.02,0.04,0.11,0.02,-0.07,-0.04,-0.19,0.02,-0.06,0.09,-6.69,27.489,12.742,thin 
65982,-0.42,-3.02,,-0.28,-0.12,-0.04,-0.07,-0.24,-0.14,-0.07,-0.02,-0.08,-0.21,-0.52,-0.13,-0.36,-0.14,-24.368,-10.302,-1.071,thin 
447,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02,332.903,7.802,51.478,N/A 
65986,-0.1,,-0.02,,-0.12,-0.03,-0.04,-0.09,-0.08,0.0,0.03,0.08,-0.1,-0.21,-0.09,-0.11,,-19.188,-8.119,-50.094,thin 
33220,-0.6,,,-0.3,-0.62,-0.31,-0.71,-0.48,-0.49,-0.27,-0.47,,-0.69,-0.81,,-0.67,-0.75,-24.192,99.254,-61.725,thin 
33221,-1.32,-0.96,-1.15,-0.77,-1.29,-0.96,,-1.1,-1.06,-1.38,-0.96,,-1.4,-1.7,,-1.31,-1.34,-24.022,98.549,-67.769,thick 
459,0.04,-1.37,0.02,-0.27,0.08,0.05,0.0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,,27.632,0.66,-50.331,thin 
98764,-0.27,,-0.32,,-0.09,-0.18,-0.19,-0.29,-0.12,-0.04,-0.01,0.19,-0.2,-0.39,-0.23,-0.3,,5.517,-9.22,-36.871,N/A 
33229,-0.04,,0.02,0.05,-0.08,0.06,0.07,0.0,0.05,0.05,0.09,0.09,-0.02,-0.17,0.04,-0.04,-0.04,-4.706,19.283,-28.622,thin 
98767,0.25,-2.87,0.4,0.2,0.22,0.33,0.34,0.28,0.23,0.36,0.31,0.23,0.25,0.14,0.36,0.28,0.27,7.124,-11.901,7.975,thick 
475,-0.33,-1.65,-0.02,-0.09,-0.35,-0.37,-0.45,-0.18,-0.25,,-0.37,-0.46,,-0.56,-0.3,-0.36,,24.529,0.61,39.749,thin 
476,-0.03,-2.29,-0.24,-0.1,0.16,0.09,0.17,0.12,0.16,0.09,0.01,-0.06,0.03,-0.11,0.02,0.04,0.13,110.514,2.749,26.329,thin 
33243,0.14,-1.99,-0.29,-0.2,0.94,0.34,0.47,0.35,0.21,0.08,0.19,0.12,0.36,0.0,0.13,0.17,0.38,-62.753,256.54,-12.933,thin 
98785,0.08,,,0.04,0.05,0.12,0.02,0.08,0.1,0.14,0.01,0.22,0.04,-0.04,0.13,0.0,0.11,28.742,-47.959,-23.269,thin 
66018,-0.19,,,,-0.09,-0.08,-0.09,-0.13,-0.05,-0.09,-0.03,-0.07,-0.15,-0.35,-0.15,-0.19,,-47.876,-20.341,-10.353,N/A 
33253,-0.26,,,,-0.12,-0.05,0.01,-0.02,-0.06,,-0.27,,-0.32,,,-0.16,,-54.284,221.347,18.432,N/A 
98792,-0.56,,-0.23,-0.23,-0.54,-0.27,-0.27,-0.39,-0.29,-0.2,-0.24,-0.31,-0.47,-0.68,-0.3,-0.54,-0.65,7.376,-12.292,6.186,thin 
490,0.09,,0.05,0.05,-0.12,-0.03,-0.12,0.02,0.05,0.11,0.07,-0.06,0.09,-0.15,0.05,-0.02,0.21,28.928,0.742,-25.831,thin 
493,-0.2,-0.97,0.02,-0.11,-0.3,-0.28,-0.43,-0.15,-0.25,,-0.33,-0.41,,-0.55,-0.25,-0.3,,35.515,0.916,11.705,thin 
66033,-0.28,,-0.41,-0.26,-0.5,-0.31,-0.43,-0.42,-0.26,,-0.27,-0.35,-0.32,-0.52,,-0.3,-0.07,-106.19,-45.235,12.852,thin 
501,-0.27,,-0.41,-0.48,-0.1,-0.3,-0.12,-0.04,-0.29,,-0.04,0.06,-0.19,-0.23,,-0.07,-0.31,230.516,6.039,-187.651,N/A 
33271,-0.02,-2.33,-0.19,-0.07,0.27,0.2,0.22,0.2,0.25,0.11,0.1,0.04,0.17,0.06,0.12,0.1,0.2,-19.139,77.843,82.507,thin 
33275,0.0,,,,-0.02,0.13,-0.04,-0.03,0.07,0.46,0.09,-0.01,0.05,-0.21,0.17,-0.05,0.27,-12.456,50.624,5.397,thin 
33277,-0.06,-1.33,-0.1,-0.04,-0.16,0.03,-0.05,-0.12,-0.01,0.1,-0.03,-0.17,-0.16,-0.28,0.0,-0.15,0.04,-3.719,15.109,7.381,thin 
66047,0.04,-1.04,0.07,0.0,0.07,0.08,0.01,0.05,0.09,0.11,0.07,-0.03,0.03,-0.05,0.05,0.04,0.1,-23.489,-10.022,-27.648,thin 
98819,0.09,-1.0,0.1,0.0,0.03,0.07,0.01,0.05,0.13,0.1,0.08,0.04,0.08,-0.06,0.16,0.05,0.14,8.745,-14.539,5.21,thin 
66051,-0.52,-1.49,,-0.15,-0.43,-0.22,-0.23,-0.29,-0.27,-0.33,-0.22,-0.43,-0.52,,-0.44,-0.47,,-45.05,-19.242,35.637,thin 
518,0.09,,,0.01,-0.17,0.04,0.08,0.03,0.04,,0.09,0.1,-0.06,-0.09,0.14,0.01,,11.234,0.307,18.294,thin 
522,0.11,-0.36,0.21,0.15,0.18,0.06,0.11,0.16,0.15,0.25,0.15,0.05,0.11,0.04,0.12,0.1,0.23,17.136,0.473,-19.772,thin 
98828,0.15,,,,,0.17,0.42,0.12,0.1,,0.29,,,0.14,,0.07,-0.04,10.262,-17.05,9.616,thin 
530,-0.03,-2.58,0.29,0.27,-0.02,-0.05,-0.14,0.09,-0.09,,-0.17,-0.21,,-0.31,-0.08,-0.09,,80.864,2.271,74.787,thin 
98836,0.02,,-0.1,0.18,0.14,0.21,0.05,0.08,0.06,0.3,0.16,0.23,0.14,0.02,0.14,0.09,,53.763,-89.259,130.006,thin 
98842,-0.54,-3.08,-0.45,-0.29,-0.37,-0.16,-0.16,-0.25,-0.33,-0.44,-0.34,-0.36,-0.55,-0.8,-0.44,-0.59,-0.81,43.662,-72.433,-52.964,thin 
98845,-0.21,,-0.22,-0.22,-0.14,0.0,-0.14,-0.2,-0.19,-0.29,-0.06,-0.28,-0.26,-0.23,-0.24,-0.22,-0.05,43.634,-72.338,56.023,thin 
544,0.19,-1.04,0.16,0.0,0.02,0.09,0.04,0.11,0.19,0.18,0.16,0.08,0.17,0.09,0.15,0.11,0.15,12.028,0.347,6.676,thin 
98853,-0.18,,-0.27,-0.12,-0.05,-0.02,-0.15,-0.12,-0.01,0.1,-0.08,0.03,-0.01,-0.24,-0.07,-0.05,,22.272,-36.904,149.427,thin 
33324,-0.64,-2.09,-0.6,-0.26,-0.54,-0.31,-0.43,-0.44,-0.45,-0.44,-0.33,,-0.68,-0.93,-0.4,-0.6,-0.7,-4.931,19.82,-31.381,thick 
66098,-0.23,-2.93,-0.43,-0.27,-0.14,-0.09,-0.04,-0.05,-0.1,-0.22,-0.19,-0.31,-0.19,-0.3,-0.18,-0.23,-0.29,-87.467,-37.564,-17.068,thin 
562,0.08,,0.49,0.13,0.18,0.14,-0.04,0.17,0.06,,0.15,,-0.01,,,0.2,,306.71,9.162,115.09,N/A 
569,-0.3,-1.24,-0.21,-0.14,-0.26,-0.2,-0.31,-0.26,-0.24,-0.21,-0.25,-0.37,-0.32,-0.48,-0.25,-0.31,-0.33,52.135,1.57,-3.306,thin 
98878,-0.26,,-0.23,-0.27,-0.3,-0.22,-0.22,-0.2,-0.18,0.0,-0.24,-0.28,-0.24,-0.42,-0.09,-0.26,-0.18,17.488,-28.882,0.681,thin 
66113,-0.43,,,,,-0.21,-0.42,-0.37,-0.21,,-0.51,-0.72,-0.53,,,-0.42,-0.7,-147.477,-63.478,16.459,N/A 
66115,0.11,,-0.09,,-0.03,-0.01,-0.09,0.06,0.09,,0.07,0.02,,,-0.07,0.08,,-30.281,-13.039,-4.894,thin 
98883,-1.0,,,,,,,-0.53,,,,,,,,-1.04,-1.22,84.498,-139.49,-87.717,N/A 
607,-0.05,,-0.24,-0.14,-0.29,-0.11,-0.12,-0.27,-0.06,,-0.04,-0.11,-0.13,-0.14,,-0.04,0.01,113.897,3.667,56.694,thick 
66147,0.12,,0.21,0.08,0.12,0.08,0.02,0.18,0.18,,0.1,0.13,0.07,0.02,,0.17,0.0,-16.454,-7.115,2.707,thin 
