HIP,Exo,Multi,discoverymethod,MaxPMass,StarMass
48714,1,1,Radial Velocity,0.07205,0.58
5158,1,2,Radial Velocity,1.44,0.78
54373,1,2,Radial Velocity,0.02712,0.57
54597,1,1,Radial Velocity,2.4,0.8
55507,1,1,Radial Velocity,8.135,0.65
56640,1,1,Radial Velocity,3.67,1.04
57274,1,3,Radial Velocity,0.0365,0.71
5763,1,1,Radial Velocity,0.51,0.72
63242,1,1,Radial Velocity,9.18,1.54
65,2,1,Transit,2.95,0.74
65407,1,2,Radial Velocity,0.428,0.93
65426,1,1,Imaging,9.0,1.96
65891,1,1,Radial Velocity,6.0,2.5
66074,1,1,Astrometry,5.0,0.7
67522,1,2,Transit,,
67537,1,1,Radial Velocity,13.7,2.41
67851,1,2,Radial Velocity,1.568,1.9
70849,2,1,Radial Velocity,4.5,0.65
71135,1,1,Radial Velocity,0.05915,0.66
74890,1,1,Radial Velocity,2.4,1.74
75092,1,1,Radial Velocity,1.79,1.28
77900,1,1,Imaging,21.0,
78530,1,1,Imaging,24.0,2.5
79098,2,1,Imaging,20.5,3.75
79431,1,1,Radial Velocity,2.1,0.49
81208,3,1,Imaging,14.8,0.14
8152,1,2,Transit,0.02454,0.91
86221,1,1,Radial Velocity,0.71,0.79
90988,1,1,Radial Velocity,2.102,1.61
91258,1,1,Radial Velocity,1.09,0.97
94235,2,1,Transit,,1.1
948,1,1,Radial Velocity,20.6,0.71
9618,1,2,Transit,0.02643,0.93
97166,1,2,Transit,0.0601,0.93
97233,1,1,Radial Velocity,22.6,1.74
99770,1,1,Imaging,16.1,1.85
71253,1,1,Radial Velocity,0.01718,0.29
107350,1,1,Imaging,21.9987,
32775,1,1,Imaging,30.0,1.3
67246,2,1,Radial Velocity,3.16,1.1
12653,1,1,Radial Velocity,2.26,1.03
13363,2,3,Transit,,1.15
114189,1,4,Imaging,,1.51
110620,1,1,Transit,,0.73
110758,1,1,Transit,,
109656,1,1,Transit,,
52733,1,1,Transit,0.195,1.44
29301,2,1,Transit,,
96618,1,1,Transit,,1.76
52796,2,1,Transit,,
51260,3,1,Transit,,
24323,1,1,Transit,,1.76
101252,2,1,Transit,,
24186,1,1,Radial Velocity,0.022,0.28
94112,2,1,Transit,,1.24
94931,3,5,Transit,,0.69
115211,1,1,Transit,0.01447,0.62
28754,1,1,Transit,0.02737,0.5
14101,3,2,Transit,0.00692,0.26
117883,1,1,Transit,,
104513,1,1,Transit,,1.9
25793,1,1,Imaging,,1.5
92680,1,1,Imaging,27.0,1.36
70890,3,1,Radial Velocity,0.004,0.12
57548,1,1,Radial Velocity,0.0044,0.17
63510,2,1,Imaging,6.0,
62908,1,1,Transit,,1.16
24718,1,1,Transit,,0.85
76042,1,1,Transit,0.00629,0.6
70705,1,1,Transit,,
20528,1,1,Transit,,0.69
53688,1,1,Transit,0.0044,0.92
54491,1,1,Transit,,
57099,2,1,Transit,,
65469,1,1,Transit,0.00768,0.8
47288,1,1,Transit,0.40588,1.25
738,1,1,Transit,,
27515,1,1,Transit,,
74981,1,1,Transit,,
83827,1,1,Transit,,
86040,1,1,Transit,,
4739,1,1,Transit,,
10117,1,1,Transit,,0.91
26013,1,3,Transit,0.00966,0.78
19950,1,1,Transit,,
6069,1,1,Transit,,
18841,1,1,Transit,,
13224,1,1,Transit,3.87,1.41
27849,1,1,Transit,0.06544,1.28
15683,2,1,Transit,,
34271,1,1,Transit,,1.0
73427,1,2,Transit,,
7562,2,2,Transit,10.4,1.46
73608,1,1,Transit,,
11397,2,1,Transit,,1.65
80824,1,3,Radial Velocity,0.00601,0.29
67285,1,1,Transit,,0.69
5643,1,3,Radial Velocity,0.00236,0.13
9884,1,1,Radial Velocity,1.8,1.5
21421,2,1,Radial Velocity,6.47,1.13
40526,2,1,Radial Velocity,7.8,1.7
27321,1,2,Imaging,,1.95
72607,1,1,Radial Velocity,6.1,1.4
78159,1,1,Radial Velocity,6.7,1.7
16537,1,1,Radial Velocity,0.651,0.81
108870,3,1,Radial Velocity,6.31,0.76
20889,1,1,Radial Velocity,7.19,2.57
116727,2,1,Radial Velocity,6.6,1.27
76333,1,2,Radial Velocity,1.126,1.78
50583,2,1,Radial Velocity,8.78,1.23
75458,1,2,Radial Velocity,8.82,1.05
116805,1,1,Imaging,12.8,2.45
77655,1,1,Radial Velocity,2.17,
48455,1,1,Radial Velocity,2.4,1.5
107089,2,1,Radial Velocity,2.11,1.61
88048,1,2,Radial Velocity,22.206,2.7
77578,2,1,Radial Velocity,0.736,1.01
75049,1,1,Radial Velocity,1.12,1.3
41704,2,1,Radial Velocity,4.1,3.09
86620,3,1,Radial Velocity,1.53,1.19
78459,1,4,Radial Velocity,1.093,0.95
67275,2,1,Radial Velocity,4.32,1.32
8102,1,4,Radial Velocity,0.01237,0.78
34693,1,1,Radial Velocity,20.6,2.3
7513,2,3,Radial Velocity,0.68,1.2
97938,1,1,Radial Velocity,2.02,1.4
