HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
57,0.0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0.0,0.15,10.17,0.03,-27.459,thin ,0.0,0.0,None,0.0,0.0
154,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,,126.296,1.08,-13.306,thin ,0.0,0.0,None,0.0,0.0
171,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61,11.257,0.107,5.756,thin ,0.0,0.0,None,0.0,0.0
184,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05,33.173,0.341,6.452,thin ,0.0,0.0,None,0.0,0.0
212,0.0,,,,,,,0.07,0.27,,,,,,,,,222.195,2.573,-123.555,thin ,0.0,0.0,None,0.0,0.0
213,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69,147.005,1.711,184.64,thin ,0.0,0.0,None,0.0,0.0
305,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03,41.716,0.708,-22.553,thin ,0.0,0.0,None,0.0,0.0
343,0.18,-3.02,0.0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16,97.48,1.842,-28.934,thin ,0.0,0.0,None,0.0,0.0
348,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,,56.363,1.072,12.971,thin ,0.0,0.0,None,0.0,0.0
379,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08,37.387,0.767,88.813,thin ,0.0,0.0,None,0.0,0.0
400,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,,24.195,0.521,10.407,thin ,0.0,0.0,None,0.0,0.0
407,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13,14.98,0.325,-41.647,thin ,0.0,0.0,None,0.0,0.0
410,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07,115.764,2.536,60.727,thin ,0.0,0.0,None,0.0,0.0
413,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02,41.152,0.906,-29.923,thin ,0.0,0.0,None,0.0,0.0
417,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06,145.309,3.211,-1.276,thin ,0.0,0.0,None,0.0,0.0
419,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0.0,,,,,-0.37,,133.823,2.987,-122.949,N/A ,0.0,0.0,None,0.0,0.0
420,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,,25.91,0.579,-33.353,thin ,0.0,0.0,None,0.0,0.0
436,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0.0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,,6.19,0.143,-15.197,thin ,0.0,0.0,None,0.0,0.0
447,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02,332.903,7.802,51.478,N/A ,0.0,0.0,None,0.0,0.0
459,0.04,-1.37,0.02,-0.27,0.08,0.05,0.0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,,27.632,0.66,-50.331,thin ,0.0,0.0,None,0.0,0.0
475,-0.33,-1.65,-0.02,-0.09,-0.35,-0.37,-0.45,-0.18,-0.25,,-0.37,-0.46,,-0.56,-0.3,-0.36,,24.529,0.61,39.749,thin ,0.0,0.0,None,0.0,0.0
476,-0.03,-2.29,-0.24,-0.1,0.16,0.09,0.17,0.12,0.16,0.09,0.01,-0.06,0.03,-0.11,0.02,0.04,0.13,110.514,2.749,26.329,thin ,0.0,0.0,None,0.0,0.0
490,0.09,,0.05,0.05,-0.12,-0.03,-0.12,0.02,0.05,0.11,0.07,-0.06,0.09,-0.15,0.05,-0.02,0.21,28.928,0.742,-25.831,thin ,0.0,0.0,None,0.0,0.0
493,-0.2,-0.97,0.02,-0.11,-0.3,-0.28,-0.43,-0.15,-0.25,,-0.33,-0.41,,-0.55,-0.25,-0.3,,35.515,0.916,11.705,thin ,0.0,0.0,None,0.0,0.0
501,-0.27,,-0.41,-0.48,-0.1,-0.3,-0.12,-0.04,-0.29,,-0.04,0.06,-0.19,-0.23,,-0.07,-0.31,230.516,6.039,-187.651,N/A ,0.0,0.0,None,0.0,0.0
518,0.09,,,0.01,-0.17,0.04,0.08,0.03,0.04,,0.09,0.1,-0.06,-0.09,0.14,0.01,,11.234,0.307,18.294,thin ,0.0,0.0,None,0.0,0.0
522,0.11,-0.36,0.21,0.15,0.18,0.06,0.11,0.16,0.15,0.25,0.15,0.05,0.11,0.04,0.12,0.1,0.23,17.136,0.473,-19.772,thin ,2.0,3.0,Radial Velocity,0.26,1.21
530,-0.03,-2.58,0.29,0.27,-0.02,-0.05,-0.14,0.09,-0.09,,-0.17,-0.21,,-0.31,-0.08,-0.09,,80.864,2.271,74.787,thin ,0.0,0.0,None,0.0,0.0
544,0.19,-1.04,0.16,0.0,0.02,0.09,0.04,0.11,0.19,0.18,0.16,0.08,0.17,0.09,0.15,0.11,0.15,12.028,0.347,6.676,thin ,0.0,0.0,None,0.0,0.0
562,0.08,,0.49,0.13,0.18,0.14,-0.04,0.17,0.06,,0.15,,-0.01,,,0.2,,306.71,9.162,115.09,N/A ,0.0,0.0,None,0.0,0.0
569,-0.3,-1.24,-0.21,-0.14,-0.26,-0.2,-0.31,-0.26,-0.24,-0.21,-0.25,-0.37,-0.32,-0.48,-0.25,-0.31,-0.33,52.135,1.57,-3.306,thin ,0.0,0.0,None,0.0,0.0
616,-0.51,,-0.37,-0.3,-0.52,-0.35,-0.37,-0.45,-0.39,-0.37,-0.35,-0.32,-0.48,-0.74,-0.44,-0.52,-0.43,29.964,0.986,-13.235,thin ,0.0,0.0,None,0.0,0.0
641,0.26,,,0.24,,,,0.2,,,,,,,,,,27.517,0.945,40.177,thin ,0.0,0.0,None,0.0,0.0
655,0.04,-3.18,-0.23,-0.15,0.21,0.22,0.24,0.22,0.08,-0.06,0.02,0.11,0.09,0.05,0.05,0.06,-0.03,79.21,2.786,-52.519,thin ,0.0,0.0,None,0.0,0.0
656,-0.23,-0.78,0.18,0.14,-0.14,-0.08,-0.2,-0.08,-0.11,0.26,-0.18,-0.26,-0.05,-0.4,-0.08,-0.21,0.34,57.576,2.03,78.706,thin ,0.0,0.0,None,0.0,0.0
669,-0.11,-0.97,-0.1,-0.14,-0.19,-0.07,-0.18,-0.1,-0.04,-0.03,-0.07,-0.17,-0.09,-0.26,-0.14,-0.13,0.0,26.309,0.95,-6.968,thin ,0.0,0.0,None,0.0,0.0
671,-0.04,-2.98,-0.25,-0.15,0.0,0.08,0.14,0.11,0.03,-0.04,-0.05,-0.15,-0.03,-0.14,-0.02,-0.05,0.03,104.785,3.793,-16.277,thin ,0.0,0.0,None,0.0,0.0
682,0.18,-0.38,0.13,0.16,-0.01,0.03,-0.05,0.09,0.25,,0.14,0.17,0.19,0.02,,0.08,0.21,38.148,1.404,4.428,thin ,0.0,0.0,None,0.0,0.0
699,-0.2,-1.1,-0.13,-0.09,-0.26,-0.12,-0.23,-0.18,-0.12,0.42,-0.1,-0.13,-0.24,-0.36,-0.02,-0.23,-0.12,26.136,0.991,19.443,thin ,0.0,0.0,None,0.0,0.0
716,-0.09,-3.38,-0.24,-0.06,-0.03,0.03,0.09,0.03,0.0,-0.03,-0.02,-0.13,-0.06,-0.19,0.0,-0.09,-0.05,121.249,4.694,57.78,thin ,0.0,0.0,None,0.0,0.0
723,0.05,,,,0.12,0.06,0.32,0.15,0.12,,0.08,-0.04,-0.03,-0.16,-0.01,0.06,,14.485,0.566,33.27,thin ,0.0,0.0,None,0.0,0.0
726,0.35,-0.69,0.46,0.27,0.56,0.35,0.34,0.38,0.34,0.42,0.4,0.39,0.35,0.32,0.44,0.45,,42.419,1.666,-35.29,thin ,0.0,0.0,None,0.0,0.0
729,0.08,-3.28,-0.05,0.04,0.22,0.18,0.2,0.23,0.13,0.12,0.14,0.15,0.07,0.15,0.17,0.09,0.17,86.725,3.423,28.556,thin ,0.0,0.0,None,0.0,0.0
746,-0.09,,0.37,0.42,0.07,-0.11,,-0.02,0.05,0.28,0.11,0.34,-0.14,-0.26,-0.43,-0.18,0.3,8.598,0.345,14.406,thin ,0.0,0.0,None,0.0,0.0
765,0.06,,,0.3,0.28,0.03,0.06,0.1,0.02,0.08,0.06,0.06,0.02,-0.11,0.08,0.04,,30.862,1.268,-31.705,thin ,0.0,0.0,None,0.0,0.0
768,0.05,-1.82,,0.09,-0.01,0.1,-0.02,0.06,0.07,0.2,0.03,,0.04,-0.05,,0.03,-0.02,101.042,4.177,35.05,thin ,0.0,0.0,None,0.0,0.0
795,0.12,,0.04,0.06,-0.15,0.01,-0.04,0.04,0.18,,0.1,0.13,0.12,-0.05,,0.03,0.15,74.512,3.208,11.084,thin ,0.0,0.0,None,0.0,0.0
801,-0.19,-0.98,-0.13,-0.14,-0.17,-0.12,-0.22,-0.16,-0.1,-0.16,-0.09,-0.21,-0.17,-0.4,-0.21,-0.21,,32.508,1.402,-39.148,thin ,1.0,1.0,Radial Velocity,0.33,0.96
814,0.11,,,,0.51,0.11,0.17,0.23,0.17,0.3,0.12,0.21,0.14,0.53,0.18,0.12,,10.921,0.479,-80.055,thin ,0.0,0.0,None,0.0,0.0
846,-0.12,,,,-0.22,0.01,-0.18,-0.14,-0.05,0.18,-0.04,-0.1,-0.16,-0.26,0.08,-0.18,0.25,66.869,3.032,-16.67,N/A ,0.0,0.0,None,0.0,0.0
873,0.11,-2.65,0.06,-0.02,0.09,0.19,0.13,0.17,0.08,-0.02,0.12,0.04,0.01,0.28,0.06,0.09,,70.951,3.319,-15.851,thin ,0.0,0.0,None,0.0,0.0
910,-0.3,-0.84,-0.27,-0.27,-0.28,-0.23,-0.36,-0.28,-0.23,0.22,-0.26,-0.24,-0.38,-0.56,-0.22,-0.32,-0.28,18.185,0.895,-5.038,thin ,0.0,0.0,None,0.0,0.0
919,0.36,,0.12,0.06,0.1,0.1,0.04,0.18,0.27,,0.24,0.2,0.22,0.11,,0.21,0.28,29.163,1.448,17.165,thin ,0.0,0.0,None,0.0,0.0
934,-0.25,,-0.18,-0.07,-0.29,-0.24,-0.24,-0.26,-0.16,-0.26,-0.14,-0.09,-0.22,-0.38,-0.3,-0.3,-0.15,19.921,1.009,-31.276,thin ,0.0,0.0,None,0.0,0.0
944,-0.23,-3.61,0.27,0.16,-0.16,-0.01,-0.11,0.06,-0.08,0.35,-0.13,-0.06,-0.22,,0.47,-0.05,,135.347,6.877,-159.553,thin ,0.0,0.0,None,0.0,0.0
948,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,Radial Velocity,20.6,0.71
950,-0.03,-0.84,0.07,-0.04,-0.05,-0.11,-0.13,-0.06,0.05,0.01,-0.05,-0.17,-0.07,-0.22,-0.03,-0.06,0.03,17.709,0.907,-12.477,thin ,0.0,0.0,None,0.0,0.0
954,0.11,,-0.15,-0.09,-0.18,-0.03,-0.11,-0.11,0.1,,0.0,-0.04,0.07,-0.03,,0.08,0.35,120.203,6.19,19.365,thin ,0.0,0.0,None,0.0,0.0
966,-0.12,-3.0,-0.24,-0.19,0.06,-0.02,0.04,0.03,-0.06,-0.12,-0.1,-0.1,-0.11,-0.01,-0.07,-0.12,-0.27,100.934,5.261,-91.556,N/A ,0.0,0.0,None,0.0,0.0
996,0.0,-1.83,0.06,-0.03,-0.04,,0.05,0.01,0.05,0.14,0.04,-0.04,-0.02,-0.07,,0.02,,52.052,2.835,19.215,thin ,0.0,0.0,None,0.0,0.0
1031,-0.07,,-0.04,-0.12,-0.13,0.0,-0.07,-0.08,0.01,-0.05,0.04,0.02,-0.05,-0.15,-0.09,-0.11,0.02,10.92,0.612,-17.443,thin ,0.0,0.0,None,0.0,0.0
1076,0.29,-2.27,-0.55,0.37,0.15,0.07,0.28,0.07,0.22,0.51,0.47,0.42,0.31,0.13,0.36,0.25,0.58,47.664,2.79,24.314,thin ,0.0,0.0,None,0.0,0.0
1105,-0.27,,0.01,0.11,-0.2,-0.17,-0.36,-0.09,-0.18,,-0.25,-0.37,,-0.56,-0.31,-0.28,,49.442,2.975,105.571,thin ,0.0,0.0,None,0.0,0.0
1113,0.01,,0.07,0.05,-0.08,0.07,0.01,0.02,0.04,0.08,0.0,-0.05,0.09,-0.15,-0.02,-0.05,0.28,12.055,0.731,-44.111,thin ,0.0,0.0,None,0.0,0.0
1128,-0.62,,-0.39,-0.23,-0.55,-0.3,-0.36,-0.43,-0.4,-0.42,-0.32,-0.52,-0.61,-0.93,-0.52,-0.62,-0.52,41.978,2.581,-8.413,thin ,0.0,0.0,None,0.0,0.0
1134,0.2,,0.13,0.12,-0.02,,,0.07,,,0.03,,,,,0.04,,45.185,2.797,-5.718,thin ,0.0,0.0,None,0.0,0.0
1137,0.0,,,,-0.09,0.1,-0.06,0.01,0.11,1.18,0.1,0.16,0.03,-0.26,0.34,-0.05,0.55,65.561,4.072,46.713,thin ,0.0,0.0,None,0.0,0.0
1144,0.21,,0.15,0.11,0.17,0.19,0.12,0.18,0.2,,0.24,0.21,0.18,,0.18,0.23,,44.595,2.793,-23.291,thin ,0.0,0.0,None,0.0,0.0
1224,0.16,,,,0.18,0.08,0.09,0.06,0.1,0.12,0.16,0.4,0.15,-0.02,0.22,0.11,,45.91,3.059,61.225,N/A ,0.0,0.0,None,0.0,0.0
1230,0.05,,-0.16,-0.12,-0.15,-0.05,-0.06,-0.2,0.01,,0.01,-0.06,0.0,0.04,,0.07,0.17,162.48,10.843,-17.513,thin ,0.0,0.0,None,0.0,0.0
1269,0.23,-2.05,-0.14,0.16,0.29,0.14,0.27,0.17,0.26,0.34,0.37,0.4,0.32,0.09,0.31,0.22,0.54,115.967,8.066,209.717,thin ,0.0,0.0,None,0.0,0.0
1275,-0.5,,-0.5,,-0.48,-0.4,-0.44,-0.42,-0.41,-0.35,-0.31,-0.37,-0.49,-0.71,-0.41,-0.53,,55.454,3.878,-22.937,N/A ,0.0,0.0,None,0.0,0.0
1292,0.12,-1.12,0.12,0.03,0.06,0.06,0.06,0.09,0.16,0.11,0.15,0.15,0.14,0.08,0.08,0.09,,3.085,0.219,-17.278,thin ,2.0,1.0,Radial Velocity,3.37,0.9
1297,0.02,,0.12,0.11,-0.15,0.09,0.09,0.02,0.07,0.08,0.08,0.09,0.01,-0.16,0.07,0.02,,55.977,3.974,39.555,thin ,0.0,0.0,None,0.0,0.0
1306,0.3,,0.34,0.12,0.34,0.24,0.23,0.24,0.31,,0.24,0.24,0.27,0.28,,0.35,0.26,59.326,4.25,-24.744,thin ,0.0,0.0,None,0.0,0.0
1319,0.15,-2.5,-0.23,-0.06,0.27,0.18,0.32,0.2,0.25,0.18,0.16,0.07,0.2,0.11,0.17,0.13,0.25,144.966,10.498,21.049,thin ,0.0,0.0,None,0.0,0.0
1349,-0.5,,,-0.41,-0.62,-0.42,-0.57,-0.51,-0.42,-0.44,-0.47,-0.55,-0.51,-0.56,-0.3,-0.57,-0.55,17.857,1.319,-23.463,thin ,0.0,0.0,None,0.0,0.0
1365,-0.38,,-0.51,-0.33,-0.54,-0.42,-0.46,-0.5,-0.32,,-0.35,-0.37,-0.43,-0.66,,-0.39,-0.21,189.283,14.143,-5.478,thin ,0.0,0.0,None,0.0,0.0
1382,-0.24,-1.99,-0.18,-0.24,-0.26,-0.2,-0.26,-0.23,-0.17,-0.23,-0.19,-0.28,-0.24,-0.38,-0.28,-0.28,-0.09,26.038,1.966,-25.087,thin ,0.0,0.0,None,0.0,0.0
1421,0.17,,,,0.23,0.13,0.09,0.12,0.11,,0.08,-0.02,0.05,,0.12,0.04,,113.543,8.834,3.358,thin ,0.0,0.0,None,0.0,0.0
1444,0.01,-1.12,-0.01,-0.05,-0.05,0.04,-0.05,0.0,0.07,0.1,0.03,-0.09,0.0,-0.16,0.02,-0.02,0.09,26.076,2.05,-6.258,thin ,0.0,0.0,None,0.0,0.0
1465,0.2,-2.51,0.02,0.23,0.34,0.28,0.36,0.35,0.3,0.29,0.29,0.34,0.3,0.21,0.32,0.28,0.33,112.103,8.964,22.281,thin ,0.0,0.0,None,0.0,0.0
1475,-0.39,,-0.32,-0.37,,-0.16,-0.44,-0.18,-0.15,,,-0.34,,-0.6,,,,2.553,0.205,2.476,thin ,2.0,2.0,Radial Velocity,0.01683,0.38
1495,-0.22,,-0.45,-0.31,-0.41,-0.3,-0.38,-0.42,-0.22,,-0.26,-0.3,-0.28,-0.43,,-0.24,0.03,107.339,8.759,45.448,thin ,0.0,0.0,None,0.0,0.0
1499,0.22,-2.43,0.22,0.06,0.26,0.25,0.24,0.19,0.21,0.3,0.22,0.16,0.19,0.17,0.28,0.24,0.2,23.092,1.888,-3.278,thin ,1.0,2.0,Radial Velocity,0.024,1.02
1547,0.14,,-0.17,-0.1,-0.02,0.04,-0.04,-0.03,0.05,0.01,0.03,0.06,0.01,0.06,0.12,0.04,0.3,183.872,15.508,46.195,thin ,1.0,1.0,Radial Velocity,3.1,1.61
1562,0.16,-2.99,-0.14,0.04,0.44,0.32,0.32,0.45,0.23,0.11,0.14,0.16,0.28,0.13,0.22,0.23,0.24,69.159,5.877,-10.775,thin ,0.0,0.0,None,0.0,0.0
1598,-0.28,-1.47,-0.28,-0.2,-0.27,-0.11,-0.18,-0.27,-0.06,-0.17,-0.19,-0.37,-0.24,-0.43,-0.42,-0.3,-0.33,19.331,1.692,15.285,thin ,0.0,0.0,None,0.0,0.0
1599,-0.17,-0.96,-0.14,-0.07,-0.21,-0.1,-0.18,-0.16,-0.11,-0.07,-0.08,-0.26,-0.21,-0.37,-0.13,-0.2,-0.09,3.629,0.319,-7.768,thin ,0.0,0.0,None,0.0,0.0
1640,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,Radial Velocity,0.96,1.31
1666,0.36,,0.17,0.38,0.33,0.22,0.2,0.32,0.37,,0.35,0.26,0.35,0.26,,0.39,0.43,110.24,10.068,-40.141,thin ,1.0,1.0,Radial Velocity,6.43,1.5
1686,-0.03,,0.27,0.56,-0.08,-0.1,-0.23,-0.13,-0.03,0.17,-0.06,0.03,-0.06,-0.3,0.06,-0.17,-0.06,38.833,3.589,30.434,thin ,0.0,0.0,None,0.0,0.0
1692,-0.22,-4.29,-0.03,-0.14,-0.08,-0.03,0.06,0.01,-0.21,-0.09,0.01,0.15,-0.26,-0.12,-0.11,-0.16,-0.38,807.747,75.011,-118.072,N/A ,1.0,1.0,Radial Velocity,6.1,1.09
1708,0.16,-1.82,-0.05,0.03,0.56,0.26,0.3,0.32,0.24,0.26,0.16,0.2,0.23,0.3,0.19,0.18,0.18,91.013,8.571,-50.634,thin ,0.0,0.0,None,0.0,0.0
1745,-0.42,,-0.26,,-0.37,-0.32,-0.28,-0.37,-0.3,-0.36,-0.26,-0.38,-0.39,-0.65,-0.37,-0.43,,53.044,5.123,-24.788,N/A ,0.0,0.0,None,0.0,0.0
1746,-0.43,,,-0.04,-0.56,-0.14,-0.29,-0.29,-0.33,-0.21,-0.27,-0.36,-0.45,-0.65,-0.24,-0.44,-0.45,48.472,4.683,-24.502,thin ,0.0,0.0,None,0.0,0.0
1760,0.1,,-0.19,-0.15,-0.13,-0.02,-0.06,-0.12,0.08,,0.03,-0.01,0.06,0.04,,0.11,0.3,85.654,8.356,66.662,N/A ,0.0,0.0,None,0.0,0.0
1779,0.3,,0.16,,0.27,0.23,0.22,0.24,0.25,,0.3,0.33,0.34,,0.3,0.35,,13.732,1.357,-45.225,thin ,0.0,0.0,None,0.0,0.0
1803,0.22,-0.73,0.15,0.02,0.2,0.24,0.17,0.2,0.25,0.34,0.24,0.2,0.26,0.13,0.33,0.23,0.37,20.739,2.076,-4.51,thin ,0.0,0.0,None,0.0,0.0
1813,0.01,,-0.01,-0.06,-0.13,-0.01,-0.09,-0.03,0.02,,-0.02,0.04,-0.03,-0.15,,-0.03,-0.01,37.102,3.736,15.35,thin ,0.0,0.0,None,0.0,0.0
1823,-0.25,,-0.25,-0.1,-0.31,-0.1,-0.26,-0.15,-0.21,,-0.15,-0.24,-0.31,,-0.26,-0.25,,21.358,2.158,-46.291,thin ,0.0,0.0,None,0.0,0.0
1837,-0.07,,,,-0.08,-0.22,-0.01,-0.18,,,0.21,0.36,0.08,,-0.03,-0.09,,18.436,1.878,-12.112,N/A ,0.0,0.0,None,0.0,0.0
1877,-0.26,,,-0.35,-0.35,-0.12,-0.21,-0.21,-0.2,-0.16,-0.23,-0.26,-0.3,-0.41,-0.15,-0.28,-0.29,41.241,4.282,-79.395,thin ,0.0,0.0,None,0.0,0.0
1893,-0.05,,-0.06,,-0.11,-0.04,-0.04,-0.08,0.01,-0.03,0.06,-0.02,-0.07,-0.26,-0.09,-0.09,,48.787,5.115,-12.546,N/A ,0.0,0.0,None,0.0,0.0
1931,0.36,-0.98,0.34,0.15,0.38,0.32,0.27,0.33,0.3,0.42,0.33,0.31,0.33,0.36,0.46,0.36,0.3,46.341,4.94,-70.813,thin ,1.0,1.0,Radial Velocity,6.11,0.0
1933,-0.02,,-0.02,,0.08,-0.02,0.14,-0.02,0.01,0.18,0.14,0.38,-0.01,-0.14,0.11,0.0,,44.441,4.743,-20.698,N/A ,0.0,0.0,None,0.0,0.0
1936,-0.32,,-0.3,-0.19,-0.3,-0.26,-0.23,-0.31,-0.18,-0.04,-0.16,0.03,-0.24,-0.45,-0.24,-0.32,-0.26,15.855,1.697,-8.134,thin ,0.0,0.0,None,0.0,0.0
1954,-0.05,-1.92,-0.05,-0.14,-0.12,-0.03,-0.1,-0.08,-0.02,-0.02,-0.04,-0.1,-0.06,-0.17,-0.06,-0.09,-0.03,16.534,1.79,-22.877,thin ,0.0,0.0,None,0.0,0.0
1976,0.23,,0.18,0.04,0.07,0.22,0.11,0.2,0.15,0.21,0.14,0.1,0.16,0.05,0.22,0.18,-0.01,36.156,3.963,-21.594,thin ,0.0,0.0,None,0.0,0.0
2006,0.01,-2.38,-0.29,-0.19,0.3,0.11,0.02,0.1,0.09,-0.02,0.01,-0.06,0.0,-0.14,-0.02,-0.06,0.09,166.347,18.514,5.668,thin ,0.0,0.0,None,0.0,0.0
2021,-0.08,-0.88,-0.08,-0.06,-0.07,0.0,-0.08,-0.06,-0.05,0.02,-0.06,-0.01,-0.08,-0.2,-0.02,-0.1,-0.12,1.635,0.185,-7.276,thin ,0.0,0.0,None,0.0,0.0
2049,0.25,,0.16,0.05,0.09,0.19,0.22,0.23,0.16,,0.21,0.2,0.23,,0.23,0.3,,90.269,10.274,-48.864,thin ,0.0,0.0,None,0.0,0.0
2057,-0.14,,,-0.22,-0.28,-0.05,-0.15,-0.13,-0.11,-0.09,-0.19,-0.26,-0.18,-0.27,-0.11,-0.17,-0.2,99.302,11.336,0.763,thin ,0.0,0.0,None,0.0,0.0
2100,-0.28,-2.97,-0.53,-0.22,-0.23,-0.2,-0.1,-0.17,-0.16,-0.16,-0.2,-0.32,-0.27,-0.44,-0.18,-0.3,-0.3,447.96,52.274,-0.39,thin ,0.0,0.0,None,0.0,0.0
2131,-0.17,-3.18,-0.07,-0.13,-0.32,,-0.16,-0.21,-0.12,-0.07,-0.12,-0.25,-0.24,-0.35,,-0.24,,31.47,3.729,55.792,N/A ,0.0,0.0,None,0.0,0.0
2156,0.12,,0.07,0.06,0.0,0.1,0.07,0.09,0.16,,0.1,0.11,0.11,-0.02,,0.14,0.15,120.401,14.374,11.969,thin ,0.0,0.0,None,0.0,0.0
2194,-0.56,,,-0.12,-0.7,-0.36,-0.43,-0.38,-0.47,-0.39,-0.39,-0.46,-0.58,-0.74,-0.35,-0.55,-0.51,38.629,4.696,-24.683,thin ,0.0,0.0,None,0.0,0.0
2213,0.41,-2.29,-0.04,0.49,0.37,0.34,0.47,0.31,0.43,0.62,0.61,0.57,0.46,0.41,0.48,0.42,0.75,134.867,16.544,48.155,thin ,0.0,0.0,None,0.0,0.0
2235,-0.3,,-0.04,-0.4,-0.18,-0.18,-0.32,-0.24,-0.19,-0.05,-0.22,-0.27,-0.35,,-0.14,-0.3,0.4,37.152,4.617,6.729,thin ,0.0,0.0,None,0.0,0.0
2237,0.13,,,,0.06,0.21,0.12,0.08,0.21,0.45,0.18,0.05,0.16,0.05,0.21,0.07,0.5,29.944,3.723,-11.183,thin ,0.0,0.0,None,0.0,0.0
2247,0.05,,-0.16,,0.36,0.15,0.34,0.07,0.18,0.66,0.32,0.59,0.07,-0.07,0.23,0.09,,32.897,4.123,-9.649,thin ,1.0,1.0,Radial Velocity,5.1,0.74
2256,-0.02,-3.12,-0.23,-0.14,0.14,0.15,0.18,0.11,0.12,-0.05,0.0,0.08,0.06,0.01,0.0,-0.01,-0.01,74.019,9.324,-90.608,thin ,0.0,0.0,None,0.0,0.0
2282,0.3,,,,0.32,,,0.29,,,0.24,,,,,0.34,,34.081,4.362,-41.847,thin ,0.0,0.0,None,0.0,0.0
2288,0.17,,,,0.2,0.24,0.26,0.21,0.19,0.3,0.18,0.09,0.22,0.11,0.34,0.21,0.18,79.116,10.145,-37.077,N/A ,0.0,0.0,None,0.0,0.0
2292,0.23,-0.76,0.25,0.22,0.32,0.25,0.3,0.23,0.26,0.29,0.28,0.25,0.24,0.11,0.26,0.29,,53.675,6.892,-5.602,thin ,0.0,0.0,None,0.0,0.0
2314,0.44,,0.17,0.5,0.43,0.27,0.28,0.39,0.46,,0.4,0.31,0.42,0.41,,0.46,0.46,96.098,12.446,44.941,thin ,0.0,0.0,None,0.0,0.0
2319,-0.53,,,-0.21,-0.46,-0.42,-0.48,-0.47,-0.42,-0.29,-0.45,,-0.59,,-0.33,-0.59,-0.56,67.211,8.724,-43.292,thin ,0.0,0.0,None,0.0,0.0
2320,0.3,,,,0.49,0.34,0.39,0.33,0.29,,0.28,0.18,0.29,,0.37,0.31,,78.757,10.23,149.769,thin ,0.0,0.0,None,0.0,0.0
2339,0.04,,-0.08,-0.05,-0.17,-0.02,-0.11,-0.1,0.04,,-0.01,-0.03,0.02,-0.03,,0.04,0.19,53.418,7.009,90.575,thin ,0.0,0.0,None,0.0,0.0
2350,0.16,,0.2,-0.14,0.23,0.17,0.22,0.18,0.15,0.31,0.23,0.37,0.18,0.2,0.3,0.2,-0.04,53.935,7.1,-5.491,thin ,3.0,1.0,Radial Velocity,0.42,0.77
2413,-1.9,,-1.98,-1.61,-2.28,-1.67,,-1.52,-1.65,,-1.7,-2.01,-2.02,,,-2.01,,137.356,18.545,213.959,N/A ,0.0,0.0,None,0.0,0.0
2416,-0.02,,0.02,-0.02,0.02,0.0,0.01,-0.03,0.02,0.01,0.08,0.06,0.0,-0.19,0.01,-0.01,,31.876,4.31,-48.772,N/A ,0.0,0.0,None,0.0,0.0
