HIP,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk,Exo,Multi,discoverymethod,MaxPMass,StarMass
96334,0.02,,-0.01,-0.16,-0.06,0.12,-0.07,0.02,0.02,0.07,0.03,-0.1,0.12,-0.12,-0.01,-0.02,0.22,5.27,-11.955,-35.848,thin ,0.0,0.0,None,0.0,0.0
96335,-0.1,,-0.36,-0.23,-0.25,-0.15,-0.24,-0.22,-0.05,-0.01,-0.14,-0.11,-0.18,-0.42,-0.18,-0.25,-0.24,30.976,-70.257,274.587,thin ,0.0,0.0,None,0.0,0.0
96337,-0.02,,-0.15,0.01,-0.18,-0.03,-0.14,-0.09,-0.04,0.08,-0.06,0.0,-0.03,-0.25,-0.03,-0.07,-0.16,47.846,-108.52,229.383,thin ,0.0,0.0,None,0.0,0.0
96365,-0.05,-3.53,-0.23,-0.05,-0.02,0.1,0.06,0.11,-0.04,-0.15,-0.1,-0.23,-0.04,-0.08,0.02,-0.05,-0.09,45.451,-102.618,-24.374,thin ,0.0,0.0,None,0.0,0.0
96370,-0.08,,,,-0.15,-0.02,-0.21,-0.09,-0.01,0.27,-0.03,-0.15,-0.09,-0.26,0.03,-0.13,0.24,11.806,-26.643,-11.06,thin ,0.0,0.0,None,0.0,0.0
96395,0.0,-1.15,-0.16,-0.13,-0.26,0.05,-0.16,-0.06,0.01,-0.03,-0.03,-0.15,-0.11,-0.25,-0.23,-0.08,-0.01,5.301,-11.916,20.071,thin ,0.0,0.0,None,0.0,0.0
96396,-0.24,-2.76,-0.36,-0.15,-0.18,-0.12,-0.18,-0.14,-0.1,-0.11,-0.17,-0.18,-0.16,-0.4,-0.18,-0.2,0.01,41.393,-93.044,122.395,thin ,0.0,0.0,None,0.0,0.0
96402,-0.03,-2.41,0.02,-0.07,-0.09,0.14,0.14,0.03,0.0,0.23,0.08,-0.06,-0.03,-0.19,0.04,-0.01,0.27,16.166,-36.304,0.063,thin ,0.0,0.0,None,0.0,0.0
96425,0.17,,,0.15,0.03,0.21,0.1,0.19,0.06,0.22,0.15,0.06,0.14,0.05,0.22,0.2,0.19,2.732,-6.117,-43.509,thin ,0.0,0.0,None,0.0,0.0
96428,0.12,-3.03,0.02,0.04,0.3,0.22,0.23,0.28,0.13,0.14,0.08,0.12,0.14,0.13,0.2,0.12,0.47,99.97,-223.849,62.905,thin ,0.0,0.0,None,0.0,0.0
96434,0.07,,-0.13,0.15,-0.22,0.02,-0.42,0.08,0.06,,0.01,-0.29,0.1,-0.17,,-0.04,0.18,22.513,-50.338,15.7,thin ,0.0,0.0,None,0.0,0.0
96441,0.01,,0.02,0.39,-0.03,-0.03,-0.26,0.0,0.08,0.07,-0.03,0.06,-0.01,-0.15,-0.06,-0.12,0.04,4.812,-10.752,14.15,thin ,0.0,0.0,None,0.0,0.0
96457,-0.1,,,,-0.52,-0.31,-0.38,-0.26,-0.35,-0.13,-0.35,-0.25,-0.4,-0.63,-0.21,-0.31,,73.213,-163.237,202.329,thin ,0.0,0.0,None,0.0,0.0
96459,0.04,-2.4,-0.06,-0.07,0.18,0.06,0.08,0.14,0.09,0.04,-0.01,0.01,0.08,0.04,0.1,0.05,-0.03,11.958,-26.659,28.908,thin ,0.0,0.0,None,0.0,0.0
96471,0.01,,0.1,0.05,0.0,0.04,0.03,0.04,0.06,,0.03,0.06,-0.03,-0.1,,-0.01,-0.31,11.219,-24.975,-5.046,thin ,0.0,0.0,None,0.0,0.0
96501,0.34,,0.24,0.26,0.42,0.21,0.22,0.26,0.34,,0.28,0.22,0.31,0.31,,0.38,0.64,41.175,-91.249,84.64,thin ,0.0,0.0,None,0.0,0.0
