HIP,EXO,Multi,discoverymethod
HIP 102409,1,3,Transit Timing Variations
,1,1,Radial Velocity
HIP 104780,1,1,Radial Velocity
HIP 104780,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 78407,1,1,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,1,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 12684,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Imaging
HIP 88617,1,1,Radial Velocity
HIP 88617,1,1,Radial Velocity
HIP 27803,1,2,Radial Velocity
HIP 27803,1,2,Radial Velocity
HIP 49067,1,2,Radial Velocity
HIP 49067,1,2,Radial Velocity
HIP 49067,1,2,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
HIP 90979,1,2,Radial Velocity
HIP 90979,1,2,Radial Velocity
HIP 90979,1,2,Radial Velocity
,1,1,Radial Velocity
,1,1,Radial Velocity
,3,1,Transit
,3,1,Transit
HIP 2247,1,1,Radial Velocity
HIP 2247,1,1,Radial Velocity
HIP 2247,1,1,Radial Velocity
HIP 2247,1,1,Radial Velocity
HIP 10337,1,2,Radial Velocity
HIP 10337,1,2,Radial Velocity
HIP 10337,1,2,Radial Velocity
HIP 87937,1,1,Radial Velocity
,1,1,Radial Velocity
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,1,Radial Velocity
,1,1,Imaging
,1,1,Imaging
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Radial Velocity
,1,3,Radial Velocity
,1,3,Radial Velocity
,1,3,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,1,1,Transit
,1,1,Transit
,2,1,Eclipse Timing Variations
,1,1,Astrometry
,1,1,Imaging
,1,1,Imaging
HIP 27305,1,4,Radial Velocity
HIP 27305,1,4,Radial Velocity
HIP 27305,1,4,Radial Velocity
HIP 27305,1,4,Radial Velocity
HIP 8501,1,1,Radial Velocity
HIP 28941,2,1,Radial Velocity
HIP 28941,2,1,Radial Velocity
HIP 96258,1,1,Radial Velocity
,2,1,Eclipse Timing Variations
,2,1,Eclipse Timing Variations
HIP 116748 A,2,1,Transit
HIP 116748 A,2,1,Transit
HIP 116748 A,2,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,3,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,2,1,Transit
,2,1,Transit
,2,1,Transit
,1,1,Transit
,1,3,Transit
,1,3,Transit
,1,3,Transit
,1,1,Imaging
,1,1,Imaging
,1,1,Imaging
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,1,Transit
,1,2,Radial Velocity
,1,2,Radial Velocity
,1,3,Radial Velocity
,1,3,Radial Velocity
,1,3,Radial Velocity
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Transit
,1,2,Radial Velocity
HIP 57050,1,2,Radial Velocity
HIP 57050,1,2,Radial Velocity
HIP 57050,1,2,Radial Velocity
HIP 57050,1,2,Radial Velocity
HIP 57050,1,2,Radial Velocity
,1,1,Radial Velocity
,1,1,Transit
,1,1,Transit
,1,1,Transit
