HIP_num,Exo,Multi,discoverymethod,MaxPMass,StarMass
HIP 43587,2,5,Radial Velocity,0.144,0.9
HIP 43587,2,5,Radial Velocity,0.141,0.95
HIP 43587,2,5,Radial Velocity,0.141,0.9
HIP 31039,1,1,Radial Velocity,2.4,1.7
HIP 31039,1,1,Radial Velocity,2.21,1.82
HIP 31039,1,1,Radial Velocity,1.881,1.32
HIP 31039,1,1,Radial Velocity,2.01,1.44
HIP 64924,1,3,Radial Velocity,0.0161,0.91
HIP 64924,1,3,Radial Velocity,0.016,0.94
HIP 64924,1,3,Radial Velocity,0.0507,0.91
HIP 64924,1,3,Radial Velocity,0.057,0.94
HIP 64924,1,3,Radial Velocity,0.072,0.94
HIP 31592,1,2,Radial Velocity,1.94,1.44
HIP 31592,1,2,Radial Velocity,2.6,1.52
HIP 31592,1,2,Radial Velocity,1.85,1.34
HIP 31592,1,2,Radial Velocity,2.46,
HIP 31592,1,2,Radial Velocity,0.87,1.34
HIP 31592,1,2,Radial Velocity,0.912,1.44
HIP 65721,1,1,Radial Velocity,7.49,1.11
HIP 65721,1,1,Radial Velocity,7.416,1.09
HIP 65721,1,1,Radial Velocity,7.4,1.09
HIP 65721,1,1,Radial Velocity,7.23,1.06
HIP 65721,1,1,Radial Velocity,7.62,1.14
HIP 65721,1,1,Radial Velocity,6.56,
HIP 11791,2,2,Radial Velocity,2.479,1.92
HIP 11791,2,2,Radial Velocity,3,2.49
HIP 11791,2,2,Radial Velocity,0.912,1.92
HIP 73136,1,1,Radial Velocity,1.31,1.44
HIP 73136,1,1,Radial Velocity,1.5,1.8
HIP 12247,1,1,Radial Velocity,5.3,2.4
HIP 12247,1,1,Radial Velocity,4.01,1.6
HIP 12247,1,1,Radial Velocity,3.307,1.23
HIP 114855,3,1,Radial Velocity,3.2,1.4
,1,1,Imaging,9,2.4
HIP 30034,1,1,Imaging,13.5,
HIP 25486,1,1,Imaging,3.2,1.2
HIP 25486,1,1,Imaging,4.3,1.13
HIP 25486,1,1,Imaging,5.237,1.2
HIP 102409,1,3,Transit,,
HIP 102409,1,3,Transit,0.0538,0.5
HIP 102409,1,3,Transit,0.05349,0.5
HIP 102409,1,3,Transit,,
HIP 102409,1,3,Transit,0.0633,0.5
HIP 102409,1,3,Transit,,0.51
HIP 102409,1,3,Transit,0.03681,0.5
HIP 102409,1,3,Transit,0.18,0.5
HIP 102409,1,3,Transit,0.03209,0.6
HIP 102409,1,3,Transit,,
HIP 102409,1,3,Transit,0.04279,0.5
HIP 102409,1,3,Transit,,
HIP 102409,1,3,Transit,0.0302,0.5
HIP 102409,1,3,Transit,0.04468,0.6
HIP 102409,1,3,Transit,,0.51
HIP 102409,1,3,Transit,0.06985,0.5
HIP 102409,1,3,Transit Timing Variations,0.00331,0.51
,1,1,Radial Velocity,6.4,1.14
HIP 104780,1,1,Radial Velocity,1.47,0.86
HIP 104780,1,1,Radial Velocity,1.04,0.49
,1,1,Radial Velocity,1.061,1.08
HIP 78407,1,1,Radial Velocity,1.11,1.1
,1,2,Radial Velocity,21.42,2.8
,1,2,Radial Velocity,55.59,10.83
,1,2,Radial Velocity,12.47,2.8
,1,1,Radial Velocity,4.2,0.8
,1,1,Transit,,0.96
,1,1,Transit,0.07,1.67
,1,1,Transit,0.05129,0.96
,1,1,Radial Velocity,1.36,0.81
,1,1,Radial Velocity,0.91,0.74
HIP 12684,1,1,Radial Velocity,1.7,1.09
,1,1,Radial Velocity,1.6,1.52
,1,1,Radial Velocity,0.72,0.91
,1,1,Imaging,15,1
HIP 88617,1,1,Radial Velocity,10.4,0.82
HIP 88617,1,1,Radial Velocity,3.96,0.82
HIP 27803,1,2,Radial Velocity,0.027,0.7
HIP 27803,1,2,Radial Velocity,0.17,0.7
HIP 49067,1,2,Radial Velocity,0.045,0.74
HIP 49067,1,2,Radial Velocity,0.04,0.5
HIP 49067,1,2,Radial Velocity,0.33,0.74
,1,1,Radial Velocity,0.458,1.01
,1,1,Radial Velocity,0.59,1.47
,1,1,Radial Velocity,0.48,1.1
,1,1,Radial Velocity,0.449,1
HIP 90979,1,2,Radial Velocity,0.53,0.57
HIP 90979,1,2,Radial Velocity,0.65,0.65
HIP 90979,1,2,Radial Velocity,0.04836,0.65
,1,1,Radial Velocity,9.78,2.12
,1,1,Radial Velocity,10.6,2.4
,3,1,Transit,,
,3,1,Transit,12.37,1.41
HIP 2247,1,1,Radial Velocity,5.1,0.74
HIP 2247,1,1,Radial Velocity,4.3,
HIP 2247,1,1,Radial Velocity,2.85,0.31
HIP 2247,1,1,Radial Velocity,5.16,0.74
HIP 10337,1,2,Radial Velocity,0.7,0.68
HIP 10337,1,2,Radial Velocity,2.4,0.68
HIP 10337,1,2,Radial Velocity,4.8,0.69
HIP 87937,1,1,Radial Velocity,0.00116,0.16
,1,1,Radial Velocity,0.01243,0.16
,1,1,Imaging,10.5,0.02
,1,1,Imaging,7.8,0.01
,1,1,Imaging,12.569,0.35
,1,1,Radial Velocity,3.6,
,1,1,Imaging,6.3,0.37
,1,1,Imaging,17,
,1,1,Transit,1.13,1.03
,1,1,Transit,1.03,0.95
,1,1,Transit,1.07,
,1,1,Transit,1.03,0.95
,1,1,Transit,1.23,1.22
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,2.75,0.89
,1,1,Transit,2.78,0.9
,1,1,Transit,2.73,0.89
,1,1,Transit,2.49,1.23
,1,1,Transit,2.33,1.27
,1,1,Transit,2.34,1.26
,1,1,Transit,,1.56
,1,1,Transit,2.62,1.27
,1,1,Transit,,
,1,1,Transit,,1.27
,1,1,Transit,0.887,1.02
,1,1,Transit,,1.08
,1,1,Transit,,
,1,1,Transit,0.873,1
,1,1,Transit,0.917,1.08
,1,1,Transit,0.915,1.08
,1,1,Transit,1.312,1.09
,1,1,Transit,,
,1,1,Transit,1.331,1.09
,1,1,Transit,,1.09
,1,1,Transit,1.308,1.09
,1,1,Transit,7.6,1.13
,1,1,Transit,7.42,1.13
,1,1,Transit,7.67,1.12
,1,1,Transit,0.529,1.1
,1,1,Transit,0.535,1.1
,1,1,Transit,2.46,1.04
,1,1,Transit,2.41,1.04
,1,1,Transit,2.43,1.04
,1,1,Transit,,0.95
,1,1,Transit,3.46,0.95
,1,1,Transit,3.3,0.88
,1,1,Transit,,
,1,1,Transit,3.27,0.86
,1,1,Transit,3.47,0.95
,1,1,Transit,1.09,1.18
,1,1,Transit,1.155,1.21
,1,1,Transit,1.11,1.21
,1,1,Transit,,1.21
,1,1,Transit,,
,1,1,Transit,,1.21
,2,1,Transit,,
,2,1,Transit,3.57,1
,2,1,Transit,3.62,1.02
,2,1,Transit,,0.97
,2,1,Transit,,
,2,1,Transit,,
,2,1,Transit,,
,2,1,Transit,3.47,0.96
,2,1,Transit,,
,2,1,Transit,3.3,0.97
,2,1,Transit,3.31,0.97
,2,1,Transit,3.31,
,1,2,Transit,4.24,1.14
,1,2,Transit,4.23,1.14
,1,2,Transit,4.3,1.14
,1,2,Transit,,
,1,2,Transit,4.14,1.1
,1,2,Transit,5.06,1.11
,1,2,Radial Velocity,17,1.14
,1,1,Transit,2.26,1.29
,1,1,Transit,2.22,1.29
,1,1,Transit,0.038,1.1
,1,1,Transit,2.8,1.14
,1,1,Transit,3.06,1.12
,1,1,Transit,3.09,1.14
,1,2,Transit,0.018,0.91
,1,2,Transit,0.088,0.91
,1,1,Transit,0.293,1.09
,1,1,Transit,0.27,1.09
,1,1,Transit,0.52,1.09
,1,1,Transit,0.58,1.09
,1,1,Transit,10.39,1.05
,1,1,Transit,10.3,1.05
,1,1,Transit,0.484,1.01
,1,1,Transit,0.481,1.01
,1,1,Transit,0.84,0.97
,1,1,Transit,0.85,0.97
,1,1,Transit,,0.9
,1,1,Transit,21.96,1.4
,1,1,Transit,,1.41
,1,1,Transit,21.44,1.37
,1,1,Transit,21.23,1.36
,1,1,Transit,21.66,1.37
,1,1,Transit,2.9,0.98
,1,1,Transit,0.84,1.25
,1,1,Transit,1.1,1.01
,1,1,Transit,0.68,1.32
,1,1,Transit,0.72,1.16
,1,1,Transit,0.703,1.16
,1,1,Transit,0.731,1.19
,1,1,Transit,,
,1,1,Transit,0.478,1
,1,1,Transit,0.459,0.99
,1,1,Transit,,
,1,1,Transit,0.47,1.02
,1,1,Transit,,
,1,1,Transit,0.467,1
,1,1,Transit,2.96,1.05
,1,1,Transit,2.96,1.05
,1,1,Transit,2.95,1.05
,1,1,Transit,,
,1,3,Transit,0.018,0.91
,1,3,Transit,0.01447,0.88
,1,3,Transit,0.0151,0.9
,1,3,Transit,0.015,0.9
,1,3,Transit,0.022,0.88
,1,3,Transit,0.01905,0.92
,1,3,Transit,0.066,0.93
,1,3,Transit,0.01283,0.82
,1,3,Radial Velocity,0.043,0.9
,1,3,Radial Velocity,0.02643,0.9
,1,3,Radial Velocity,0.04181,0.92
,1,3,Radial Velocity,0.05393,0.92
,1,1,Transit,0.22,0.88
,1,1,Transit,0.218,0.88
,1,1,Transit,0.218,0.89
,1,1,Transit,0.216,0.88
,2,1,Transit,0.826,0.96
,2,1,Transit,0.846,0.96
,2,1,Transit,0.84,0.99
,2,1,Transit,,
,2,1,Transit,0.84,0.96
,1,1,Transit,,1.08
,1,1,Transit,0.15,1.08
,2,1,Eclipse Timing Variations,12.0293,0.51
,1,1,Astrometry,28.5,0.07
,1,1,Imaging,11,0.33
,1,1,Imaging,11,0.68
HIP 27305,1,4,Radial Velocity,0.07636,1.21
HIP 27305,1,4,Radial Velocity,0.0302,1.21
HIP 27305,1,4,Radial Velocity,0.01054,1.21
HIP 27305,1,4,Radial Velocity,0.01299,1.21
HIP 8501,1,1,Radial Velocity,0.437,1.44
HIP 28941,2,1,Radial Velocity,0.00812,0.87
HIP 28941,2,1,Radial Velocity,0.00812,
HIP 96258,1,1,Radial Velocity,0.03839,1.25
,2,1,Eclipse Timing Variations,6.28,
,2,1,Eclipse Timing Variations,6.05,0.69
HIP 116748 A,2,1,Transit,,
HIP 116748 A,2,1,Transit,1.3,0.96
HIP 116748 A,2,1,Transit,,1.01
,1,1,Transit,,0.29
,1,1,Transit,,0.41
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,,0.78
,1,1,Transit,,
,1,1,Transit,,
,1,1,Transit,,1.02
,1,2,Transit,,1.07
,1,3,Transit,,0.67
,1,1,Transit,,0.73
,1,2,Transit,,0.61
,1,2,Transit,,
,1,1,Transit,,
,1,1,Transit,,0.8
,1,1,Transit,,0.8
,1,2,Transit,,0.91
,1,2,Transit,,
,1,2,Transit,,0.88
,1,3,Transit,,0.93
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,3,Transit,,
,1,1,Transit,,0.22
,1,2,Transit,,
,1,2,Transit,,
,1,2,Transit,,0.56
,1,2,Transit,,
,1,2,Transit,,
