HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 48537 ,-0.02,,-0.1,-0.13,-0.23,-0.07,-0.2,-0.13,0,,-0.06,-0.08,-0.04,-0.18,,-0.03,0.12,-34.653,21.242,64.255,thin 
HIP 15771 ,-0.22,,,,-0.21,-0.29,-0.05,-0.33,-0.14,,0.15,0.31,-0.12,,-0.19,-0.21,,7.829,9.604,-14.764,thin 
HIP 15774 ,-0.4,,-0.31,,-0.28,-0.37,-0.18,-0.39,-0.21,0.19,-0.04,0.18,-0.29,-0.51,-0.26,-0.38,,7.834,9.613,-14.775,thin 
HIP 15776 ,-0.42,-1.89,-0.33,-0.28,-0.4,-0.27,-0.33,-0.35,-0.3,-0.35,-0.3,-0.4,-0.43,-0.68,-0.36,-0.43,-0.27,23.207,28.478,-5.028,thin 
HIP 81312 ,-0.22,-0.88,,-0.1,-0.29,-0.18,-0.27,-0.24,-0.22,-0.16,-0.22,-0.26,-0.26,-0.44,-0.2,-0.25,-0.15,-11.751,-30.787,19.755,thin 
HIP 114081 ,0.24,-1.44,,,0.42,,,0.3,,,0.3,,,,,0.27,,38.331,-9.149,13.199,thin 
HIP 48559 ,0.02,-3.37,-0.1,-0.08,0.24,0.23,0.28,0.23,0.1,0.05,0.06,0.26,0.1,0.03,0.1,0.06,-0.09,-60.878,37.231,-34.7,thin 
HIP 114096 ,0.14,-1.81,0.36,0.14,0.19,0.24,0.07,0.15,0.19,0.28,0.17,0.03,0.12,0.04,0.29,0.14,,26.816,-6.372,9.983,thin 
HIP 114098 ,-0.39,,-0.33,,-0.31,-0.29,-0.24,-0.35,-0.27,-0.15,-0.14,0.04,-0.36,-0.54,-0.28,-0.39,,37.35,-8.874,-0.131,thin 
HIP 15797 ,-0.2,,,,-0.2,0.07,-0.19,-0.13,-0.11,-0.05,-0.06,-0.04,-0.16,-0.37,-0.02,-0.16,-0.35,12.065,14.841,18.443,thin 
HIP 15799 ,0.08,,0.06,0.07,0.06,0.15,0.09,0.16,0.1,0.16,0.05,0.11,0.11,0.02,0.11,0.11,0.14,8.504,10.463,-11.344,thin 
HIP 81340 ,-0.43,,-0.39,-0.24,-0.42,-0.23,-0.41,-0.32,-0.25,-0.22,-0.37,-0.3,-0.35,-0.63,-0.31,-0.34,,-54.814,-144.216,199.302,thin 
HIP 81347 ,0.4,-1.2,0.41,0.34,0.57,0.37,0.37,0.4,0.34,0.49,0.44,0.41,0.36,0.37,0.59,0.48,0.27,-19.703,-51.876,-6.121,thin 
HIP 114119 ,0.11,,,,0.15,0.18,0.32,0.09,0.16,0.1,0.13,0.2,0.13,0.01,0.08,0.06,0.12,49.63,-11.759,-22.435,thin 
