HIP_num,Fe,Li,C,O,Na,Mg,Al,Si,Ca,Sc,Ti,V,Cr,Mn,Co,Ni,Y,f_x,f_y,f_z,f_disk
HIP 32768 ,0.02,-3.29,-0.14,-0.06,0.3,0.21,0.23,0.27,0.1,-0.05,0,0.15,0.08,0.06,0.06,0.04,-0.07,-7.393,33.393,-41.659,thin 
HIP 65536 ,-1,,-0.72,-0.35,-0.9,-0.6,-0.82,-0.8,-0.69,-0.61,-0.72,-0.77,-0.88,-1.27,-0.68,-0.86,,-82.024,-32.366,277.832,thin 
2MASS 15492281+1438275 ,-1.3,,,,-1.84,-1.24,,-1.2,-1.08,,-0.95,-1.31,-1.44,-1.72,-1.14,-1.52,,-193.923,-302.59,93.891,N/A 
HIP 98314 ,-0.34,-3.3,-0.45,-0.24,-0.29,-0.12,-0.22,-0.22,-0.24,-0.32,-0.25,-0.44,-0.36,-0.48,-0.3,-0.32,-0.37,46.612,-81.933,13.115,thin 
HIP 98316 ,-0.07,,-0.07,,0.07,0.02,0.09,-0.02,0.04,0.4,0.2,0.46,-0.02,-0.16,0.12,-0.01,,6.705,-11.785,-19.318,N/A 
HIP 65550 ,-0.04,-2.68,-0.26,-0.07,0.01,-0.06,0.08,0.06,0,-0.04,-0.04,-0.2,-0.04,-0.11,0.02,-0.07,-0.04,-72.575,-28.689,80.892,thin 
2MASS 19232377+4824576 ,0.04,,-0.04,0.03,-0.29,0.03,-0.27,0.01,0.02,,0.11,0.14,0.05,-0.17,,0,0.3,233.884,-614.117,740.579,N/A 
HIP 98329 ,-0.05,,-0.11,,-0.04,-0.05,-0.14,-0.03,0,-0.03,0.08,0.2,-0.02,-0.14,-0.01,-0.06,,21.84,-38.342,-16.004,N/A 
HIP 98333 ,-0.18,,-0.23,-0.19,-0.23,-0.15,-0.34,-0.23,-0.1,-0.09,-0.23,-0.14,-0.16,-0.41,-0.23,-0.22,-0.2,24.397,-42.817,138.143,thin 
BD+33 2136 ,-0.17,-0.6,-0.22,,-0.26,-0.16,-0.15,-0.24,-0.1,-0.08,-0.15,-0.46,-0.27,-0.45,-0.08,-0.22,-0.34,-110.784,10.254,71.266,N/A 
HIP 98337 ,-0.17,-3.32,,,,0.15,,0.11,-0.28,-0.17,-0.3,-0.37,-0.22,,-0.11,-0.21,,37.568,-65.892,26.848,thin 
HIP 65574 ,-0.18,,-0.08,-0.01,-0.16,-0.16,-0.11,-0.15,-0.12,0.02,-0.02,0.2,-0.14,-0.31,-0.09,-0.19,-0.12,-25.157,-9.993,-12.218,thin 
HIP 32812 ,0.03,,0.02,,0.19,-0.2,0.15,0.04,0.05,0.32,0.23,0.51,0.02,-0.08,0.16,0.05,,-7.391,33.064,-41.907,N/A 
HIP 32813 ,-0.15,,,,0.02,-0.04,-0.03,-0.01,-0.05,-0.02,-0.04,-0.03,-0.11,-0.33,-0.03,-0.14,,-12.579,56.252,-158.251,N/A 
HIP 65583 ,-0.1,,0.06,0.13,-0.1,-0.01,-0.14,-0.04,-0.04,0.02,-0.07,-0.16,-0.1,-0.37,-0.11,-0.13,-0.06,-68.684,-27.312,22.526,thin 
HIP 98353 ,-0.2,-3.28,,,0.09,-0.07,0.01,0.03,-0.03,-0.01,-0.03,-0.06,-0.15,-0.22,-0.07,-0.15,,51.604,-90.331,-51.18,thin 
HIP 98355 ,-0.52,-0.76,-0.43,-0.22,-0.46,-0.39,-0.55,-0.49,-0.49,-0.38,-0.5,-0.54,-0.62,-0.8,-0.43,-0.56,-0.58,17.77,-31.099,-37.205,thin 
HIP 57 ,0,,0.05,-0.1,0.02,0.01,0.04,0.04,0.09,0.08,0.07,0.16,0.05,-0.06,0.02,0,0.15,10.17,0.03,-27.459,thin 
HIP 65595 ,-0.01,,-0.13,0.07,-0.09,0.03,-0.22,-0.01,-0.04,0.09,-0.04,0,-0.03,-0.15,-0.08,-0.04,,-16.361,-6.523,87.697,thin 
HIP 98365 ,-0.08,,-0.25,-0.12,-0.14,-0.18,-0.24,-0.16,-0.13,-0.07,-0.23,-0.14,-0.18,-0.47,-0.18,-0.22,-0.27,44.235,-77.313,249.762,N/A 
HIP 32831 ,0.34,,,,0.29,0.17,0.11,0.2,0.33,,0.26,,0.23,,,0.26,,-77.499,344.947,35.057,N/A 
HIP 98367 ,-0.25,,-0.37,-0.12,-0.38,-0.16,-0.33,-0.16,-0.29,-0.09,-0.26,-0.22,-0.26,-0.5,-0.19,-0.26,,80.095,-139.969,196.769,thin 
HIP 65602 ,-0.2,,0.04,,-0.15,-0.15,-0.11,-0.21,-0.09,-0.01,0,0.19,-0.15,-0.34,-0.14,-0.2,,-25.235,-10.074,-12.263,thin 
2MASS 19234797+4036187 ,-0.31,,-0.23,-0.05,-0.41,-0.22,-0.31,-0.25,-0.22,,-0.11,-0.2,-0.29,-0.68,,-0.25,0.21,261.631,-683.357,627.283,N/A 
HIP 80 ,-0.52,-1.48,-0.35,-0.11,-0.57,-0.26,-0.42,-0.4,-0.39,-0.32,-0.38,-0.53,-0.58,-0.84,-0.4,-0.57,-0.67,69.404,0.294,-14.529,thick 
HIP 32851 ,-0.4,,-0.24,-0.22,-0.34,-0.25,-0.37,-0.34,-0.34,-0.34,-0.25,-0.32,-0.57,-0.66,-0.45,-0.42,-0.22,-6.558,29.084,-0.281,thin 
HIP 65626 ,-0.18,,-0.23,,-0.19,-0.14,-0.14,-0.17,-0.1,-0.04,0.02,0.2,-0.18,-0.34,-0.16,-0.21,,-30.43,-12.187,-27.46,N/A 
HIP 98401 ,-0.58,,,,-0.41,-0.25,-0.23,-0.4,-0.35,-0.12,-0.23,-0.27,-0.34,-0.67,-0.15,-0.31,,18.698,-32.514,156.005,thin 
HIP 32868 ,0.11,,0.06,0.02,0.07,0.08,0.03,0.11,0.06,,0.09,0.03,0.08,,0.09,0.13,,-14.74,65.176,-21.524,thin 
HIP 65636 ,-0.02,,-0.17,,-0.07,-0.06,0.13,-0.08,0.05,0.39,0.24,0.52,-0.01,-0.27,0.02,-0.02,,-33.377,-13.386,-14.278,N/A 
HIP 65639 ,0.26,-2.61,-0.03,0.1,0.56,0.38,0.41,0.51,0.28,0.25,0.27,0.27,0.34,0.29,0.35,0.34,0.18,-70.773,-28.398,-21.828,thin 
HIP 65641 ,0.05,,0.09,-0.03,-0.1,0.04,-0.02,0.02,0.02,,0.02,0.03,0,-0.08,,0.04,-0.04,-36.469,-14.634,38.896,thin 
HIP 32874 ,-0.03,,-0.02,0.02,-0.1,-0.02,-0.1,-0.04,-0.01,,0.01,0,-0.03,-0.22,,-0.05,-0.04,-6.829,30.176,14.93,thin 
HIP 98413 ,-0.34,,-0.36,,-0.31,-0.35,-0.26,-0.33,-0.25,-0.23,-0.12,0,-0.32,-0.56,-0.32,-0.37,,16.312,-28.32,-12.031,N/A 
HIP 98416 ,-0.09,-0.9,,-0.08,-0.19,-0.03,-0.08,-0.09,0,0.32,-0.09,-0.03,0,-0.12,0.1,-0.1,0.1,10.478,-18.187,-3.685,thin 
HIP 98419 ,-0.28,,-0.27,0.07,-0.2,-0.03,-0.21,-0.19,-0.11,-0.05,-0.17,-0.14,-0.17,-0.48,-0.16,-0.21,,74.211,-128.765,301.668,thin 
2MASS 19493945+4603389 ,-0.06,,-0.18,-0.14,-0.24,-0.09,-0.1,-0.11,-0.04,,0.01,-0.75,-0.06,-0.31,,-0.07,-0.04,588.524,-1134.678,1326.453,N/A 
HIP 32892 ,0.28,,0.39,0.19,0.26,0.22,0.2,0.23,0.27,,0.2,0.22,0.24,0.23,,0.32,0.26,-18.092,79.635,69.736,thin 
HIP 98431 ,-0.27,,0.27,0.2,-0.07,-0.22,-0.36,-0.29,-0.12,0.09,-0.26,-0.19,-0.26,,-0.17,-0.29,0.43,25.555,-44.275,-58.756,thin 
HIP 98442 ,0.12,,,,0.28,0.09,0.24,0.19,0.22,1.1,0.4,0.24,0.45,0.1,0.65,0.24,1.13,23.15,-40.042,6.303,thin 
2MASS 22000466+0536403 ,-1.67,,,,-1.81,-1.32,,-1.33,-1.28,,-1.36,-2.04,-1.8,-2.16,-2,-1.73,,327.853,-189.137,37.187,N/A 
2MASS 19141766+5128219 ,0.21,,0.13,-0.06,0.16,0.18,0.13,0.15,0.25,,0.19,0.2,0.19,0.12,,0.17,0.24,360.866,-1073.928,1422.909,N/A 
HIP 32916 ,0.35,-2.89,0.23,0.09,0.31,0.31,0.3,0.27,0.32,0.42,0.31,0.26,0.31,0.32,0.38,0.31,0.26,-7.215,31.559,28.011,thin 
HIP 154 ,-0.01,,0.16,0.06,,,,-0.06,0.03,,,,,,,,,126.296,1.08,-13.306,thin 
HIP 98461 ,-0.15,-3.28,,,0,-0.04,-0.02,0,-0.03,-0.06,-0.07,-0.06,-0.08,-0.3,-0.07,-0.14,,45.546,-78.677,-70.267,thin 
2MASS 23095844-2057229 ,-1.22,,,,-1.49,-1.09,,-1.02,-0.96,,-0.92,,-1.39,-1.56,,-1.36,,270.354,-59.968,-106.06,N/A 
BD+31 02447 ,-0.21,,-0.26,-0.16,-0.34,-0.18,-0.44,-0.19,-0.14,,-0.14,-0.22,-0.26,-0.52,-0.13,-0.27,-0.14,-197.932,-56.688,121.958,N/A 
HIP 171 ,-0.75,,0.1,-0.28,-0.69,-0.39,-0.5,-0.52,-0.49,-0.48,-0.45,-0.59,-0.78,-1.16,-0.58,-0.75,-0.61,11.257,0.107,5.756,thin 
HIP 65708 ,-0.03,-2.58,-0.03,-0.01,-0.02,0.11,-0.01,-0.01,0,0.08,0.03,-0.1,-0.06,-0.19,0.02,-0.04,-0.1,-39.948,-16.203,-0.632,thick 
HIP 98482 ,-0.14,,,,-0.06,-0.1,-0.08,-0.02,-0.07,0,-0.07,-0.02,-0.11,-0.18,-0.05,-0.14,,35.817,-61.775,-83.168,thin 
HIP 184 ,0.17,,0.09,0.06,0.02,0.08,0.05,0.07,0.13,,0.09,0.13,0.1,0.03,,0.13,0.05,33.173,0.341,6.452,thin 
HIP 65721 ,-0.02,-1.45,0.06,-0.01,-0.13,0.07,0.01,-0.05,0.01,0.07,0.02,-0.07,-0.08,-0.17,0.05,-0.07,-0.09,-16.108,-6.543,4.264,thin 
HIP 32955 ,-0.66,-0.91,,-0.34,-0.67,-0.5,-0.63,-0.6,-0.54,-0.56,-0.55,-0.59,-0.76,-0.95,,-0.73,,-10.682,46.407,42.245,thin 
HIP 65725 ,-0.03,,-0.04,0.08,-0.18,0.01,-0.12,-0.03,-0.01,0.06,-0.06,-0.11,-0.01,-0.3,-0.08,-0.1,0.14,-45.262,-18.389,13.74,thin 
2MASS 19312934+4605559 ,0.02,,0.03,-0.02,-0.14,0.02,-0.18,0.01,0.06,,0.03,0.08,0.06,-0.15,,0.01,0.14,124.759,-295.745,333.537,N/A 
HIP 65737 ,-0.28,-1.36,-0.21,-0.21,-0.29,-0.12,-0.22,-0.2,-0.16,-0.15,-0.19,-0.3,-0.28,-0.53,-0.25,-0.29,-0.36,-30.133,-12.253,-16.856,thin 
HIP 32970 ,0.35,-0.66,0.38,0.2,0.46,0.35,0.32,0.34,0.32,0.36,0.3,0.22,0.27,0.33,0.27,0.39,0.28,-8.636,37.38,-25.795,thin 
HIP 32971 ,-0.03,,-0.12,,-0.14,-0.1,-0.19,-0.06,-0.04,,-0.04,-0.16,-0.06,,-0.21,-0.11,,-10.423,45.112,-9.172,thin 
HIP 98505 ,0.01,-3.52,0.06,-0.05,0,0.05,0.01,0.03,0.06,0.12,0.1,0.13,0.08,-0.08,0.11,0,-0.12,9.168,-15.763,7.632,thin 
HIP 65747 ,0.5,,,0.33,0.51,,0.33,0.41,0.29,,0.26,0.29,0.28,0.28,0.36,0.36,0.34,-56.756,-23.12,33.203,thin 
HIP 212 ,0,,,,,,,0.07,0.27,,,,,,,,,222.195,2.573,-123.555,thin 
HIP 213 ,0.34,,0.08,0.16,0.19,0.16,0.06,0.03,0.28,,0.21,0.15,0.29,0.29,,0.33,0.69,147.005,1.711,184.64,thin 
HIP 32984 ,0,,0.64,0.09,0.02,-0.12,0.01,0,-0.03,0.21,0.15,0.2,0.04,-0.02,0.1,0.02,0.32,-1.971,8.485,-0.789,thin 
HIP 32990 ,0.16,-2.33,-0.2,-0.1,0.4,0.26,0.24,0.31,0.26,0.16,0.16,0.1,0.22,0.13,0.14,0.13,0.16,-35.405,152.2,-14.541,thin 
BD+36 00350 ,0.16,,-0.22,-0.22,-0.07,-0.07,-0.14,-0.14,0.1,,0.01,-0.04,0.09,0.1,,0.13,0.52,286.173,158.149,252.086,N/A 
HIP 65758 ,0.1,,0.02,,0.06,0.06,0.04,0.05,0.18,0.09,0.14,0.14,0.13,0.01,0.09,0.07,,-3.477,-1.419,-60.528,N/A 
HIP 32993 ,0.18,,,,0.32,0.34,0.15,0.19,0.27,0.8,0.25,0.3,0.23,0.07,0.43,0.19,0.44,-22.127,95.058,13.536,N/A 
HIP 32994 ,0.33,,0.29,0.26,0.28,0.32,0.31,0.29,0.26,0.38,0.27,0.26,0.3,0.27,0.28,0.29,0.33,-13.907,59.742,-47.667,N/A 
HD 204612 ,-0.43,,-0.4,-0.22,-0.4,-0.24,-0.45,-0.35,-0.24,-0.21,-0.34,-0.3,-0.32,-0.62,-0.29,-0.35,,99.022,-77.854,237.912,N/A 
HIP 98532 ,-1.08,-1.05,-1.01,-0.55,-1.17,-0.7,-0.97,-0.78,-0.78,-0.95,-0.88,-1.07,-1.15,-1.56,-0.84,-1.12,-0.83,31.091,-53.311,-13.406,thick 
BD+28 02507 ,-0.08,-1.95,-0.09,-0.11,-0.33,-0.06,-0.15,-0.08,-0.02,0.12,-0.06,-0.01,-0.09,-0.3,0.04,-0.08,0.02,-69.219,-122.591,75.391,N/A 
HD 186453B ,-0.36,,,,-0.26,-0.08,-0.3,-0.17,-0.09,0.15,-0.12,-0.07,-0.19,-0.3,-0.09,-0.14,-0.09,24.262,-51.689,110.462,N/A 
HD 181566A ,-0.14,,,,-0.2,-0.11,-0.37,-0.18,-0.14,0.18,-0.13,-0.04,-0.06,-0.28,-0.05,-0.11,-0.09,11.647,-33.405,70.058,N/A 
HIP 65790 ,-0.06,-1.98,-0.17,-0.02,-0.06,0.1,0.02,0.01,-0.01,-0.08,-0.07,-0.07,-0.04,-0.09,0.04,-0.05,-0.04,-81.37,-33.379,16.807,thin 
HD 92222b ,0.2,,0.1,0.04,0.01,0.13,0.03,0.14,0.23,0.28,0.17,0.22,0.19,-0.01,0.06,0.18,0.3,-55.133,20.216,36.269,N/A 
HIP 98565 ,-0.45,,,-0.31,-0.5,-0.3,-0.45,-0.41,-0.38,0.18,-0.4,-0.22,-0.44,-0.64,-0.14,-0.52,-0.42,45.244,-77.376,8.865,thin 
HIP 98571 ,-0.24,,-0.42,-0.2,-0.14,-0.06,-0.22,-0.11,-0.1,-0.01,-0.17,-0.09,-0.1,-0.36,-0.12,-0.14,,44.661,-76.306,105.761,thin 
2MASS 18461678+4723553 ,-0.01,,-0.04,-0.02,-0.2,-0.07,-0.28,-0.1,0.03,,-0.02,-0.1,-0.03,-0.25,,-0.07,0.05,117.871,-575.757,639.088,N/A 
HIP 33037 ,-0.2,,-0.03,0.11,-0.16,-0.05,0,-0.14,-0.06,0.23,0.04,0.39,-0.13,-0.34,-0.07,-0.2,-0.2,-6.425,27.291,-11.963,thin 
HIP 65808 ,0.26,-2.79,0.25,0.14,0.25,0.27,0.26,0.22,0.23,0.3,0.26,0.19,0.25,0.24,0.3,0.27,0.17,-24.222,-9.953,-18.728,thin 
HIP 98583 ,-0.9,,,,-0.73,-0.51,-0.65,-0.62,-0.57,-0.49,-0.6,-0.66,-0.75,-1.2,-0.6,-0.78,,42.945,-73.289,180.689,thin 
HD 15306 ,-0.3,,,,,,,-0.13,-0.45,,-0.05,,,,,-0.34,0.58,152.111,114.471,-2.623,N/A 
HIP 98589 ,0.21,-1.19,0.19,0.06,0.21,0.21,0.18,0.18,0.24,0.27,0.22,0.21,0.22,0.12,0.24,0.22,0.25,16.517,-28.167,-9.901,thin 
HIP 65828 ,-0.33,,-0.48,-0.31,-0.27,-0.2,-0.3,-0.23,-0.18,-0.09,-0.26,-0.18,-0.2,-0.51,-0.2,-0.25,,-84.991,-35.057,340.279,N/A 
HIP 33061 ,0.48,,0.32,,,0.4,0.46,0.45,0.42,,0.49,0.51,0.49,,,,,-15.323,64.804,-66.425,N/A 
HIP 98597 ,0,,0.03,,-0.08,0.05,-0.12,0.01,0,,-0.02,-0.03,-0.02,-0.15,0,0.01,,50.522,-86.099,-2.913,N/A 
HIP 98599 ,0.35,,0.28,0.36,0.35,0.34,0.28,0.35,0.4,0.57,0.43,0.3,0.38,0.29,0.39,0.33,0.61,35.567,-60.6,-28.548,thin 
HIP 98602 ,-0.15,,-0.26,-0.14,-0.03,0.01,-0.09,-0.07,0.02,0.11,-0.04,0.04,0.02,-0.19,-0.02,-0.02,,55.898,-95.21,208.989,thin 
2MASS 19365254+4928452 ,-0.12,,-0.09,-0.03,-0.26,-0.13,-0.22,-0.16,-0.07,,-0.11,-0.15,-0.13,-0.36,,-0.13,-0.16,227.77,-506.365,649.619,N/A 
HIP 33072 ,0.13,-0.38,0.15,0.08,0.13,0.07,0.02,0.13,0.19,0.23,0.18,0.12,0.14,0,0.11,0.12,,-3.357,14.179,-53.354,thin 
HIP 305 ,0.22,,0.22,0.32,0.12,0.26,0.24,0.24,0.2,0.34,0.22,0.18,0.2,0.07,0.3,0.25,0.03,41.716,0.708,-22.553,thin 
HIP 98614 ,0.49,,-0.37,0.11,1.13,0.02,0.1,0.24,-0.17,,,0.89,,0.3,0.61,0.74,,40.32,-68.601,80.907,thin 
2MASS 19155893+4730153 ,-0.08,,-0.22,-0.48,-0.37,-0.1,-0.26,-0.12,-0.04,,-0.11,-0.07,-0.08,-0.3,,-0.13,-0.06,72.57,-210.812,243.348,N/A 
HIP 98621 ,-0.08,,-0.09,-0.09,-0.08,0,-0.03,-0.07,-0.04,-0.02,0.01,-0.06,-0.08,-0.22,-0.04,-0.09,0.12,7.332,-12.464,-38.045,thin 
HIP 33086 ,0.17,,-0.14,-0.14,-0.05,0.04,-0.02,-0.11,0.14,,0.07,0.03,0.13,0.13,,0.16,0.36,-42.169,177.568,72.696,thin 
HIP 65855 ,-0.57,,,,,-0.31,-0.52,-0.49,-0.48,,-0.62,-0.84,-0.61,,,-0.58,-0.73,-117.94,-48.829,13.447,thin 
HIP 33094 ,0.06,-2.66,0.22,0.16,0.1,0.23,0.18,0.12,0.14,0.22,0.19,0.07,0.04,-0.04,0.19,0.1,0.02,-5.242,22.016,-12.308,thick 
HD 182817 ,-0.08,,-0.15,,-0.29,-0.13,-0.25,-0.1,0,,-0.07,0.01,-0.09,-0.43,-0.15,-0.14,,29.528,-73.552,-39.012,N/A 
HIP 33109 ,0.02,,0.08,0.04,-0.06,0.01,-0.15,0,0.05,,0.03,0,0.03,-0.13,,0,0.07,-8.895,37.231,-6.416,thin 
HIP 98647 ,-0.2,,-0.29,-0.03,-0.11,-0.07,-0.21,-0.16,-0.05,0.01,-0.13,-0.05,-0.08,-0.31,-0.13,-0.11,,47.253,-80.043,196.273,thin 
HIP 343 ,0.18,-3.02,0,0.08,0.34,0.36,0.38,0.34,0.12,0.22,0.19,0.12,0.25,0.24,0.36,0.25,0.16,97.48,1.842,-28.934,thin 
HIP 65882 ,0.1,,0.07,0.3,-0.1,0.02,-0.15,0.08,0.13,,0.07,0.02,0.08,-0.24,,0.04,0.1,-86.192,-35.826,50.824,thin 
2MASS 07112902-4611555 ,-0.82,,-0.55,,-0.52,-0.32,-0.48,-0.45,-0.41,-0.01,-0.09,-0.29,-0.47,-0.92,0.08,-0.41,,-21.902,67.928,-74.423,N/A 
HIP 348 ,-0.12,-2.33,-0.04,-0.11,-0.22,,-0.11,-0.16,-0.07,-0.02,-0.1,-0.16,-0.15,-0.28,,-0.13,,56.363,1.072,12.971,thin 
HIP 98658 ,-0.26,,-0.26,-0.13,-0.17,-0.14,-0.24,-0.2,-0.09,-0.02,-0.15,-0.07,-0.11,-0.37,-0.13,-0.15,,25.061,-42.402,103.89,thin 
2MASS 19253173+3807388 ,-0.2,,-0.18,-0.22,-0.32,-0.19,-0.22,-0.21,-0.12,,-0.19,-0.08,-0.18,-0.5,,-0.23,-0.18,131.271,-335.27,282.596,N/A 
HIP 98666 ,-0.21,,-0.41,-0.15,-0.22,-0.1,-0.21,-0.1,-0.06,-0.01,-0.14,-0.1,-0.13,,-0.07,-0.08,,24.552,-41.497,264.816,thin 
2MASS 13503740-0648145 ,0.15,,,,0.24,0.1,0.22,0.16,0.22,,0.28,0.33,0.22,,0.33,0.18,,-154.439,-80.931,-20.803,N/A 
HIP 33139 ,0.41,,,,0.41,0.24,0.31,0.36,0.14,,0.23,,0.2,,,0.26,,-8.169,34.001,-42.589,thin 
2MASS 19152330+4701224 ,0.14,,0.06,0.14,-0.09,0.02,-0.13,0.04,0.19,,0.13,0.02,0.12,-0.11,,0.09,0.26,128.675,-376.965,427.489,N/A 
HIP 98677 ,-0.33,-2.03,-0.21,-0.21,-0.4,-0.25,-0.24,-0.26,-0.25,-0.32,-0.21,-0.29,-0.39,-0.66,-0.28,-0.34,-0.3,9.435,-15.928,5.166,thin 
HIP 379 ,0.01,-3.07,-0.17,-0.06,0.09,0.16,0.14,0.1,-0.04,0.05,-0.04,-0.09,0.01,-0.01,0.13,-0.01,-0.08,37.387,0.767,88.813,thin 
HIP 65920 ,-0.45,,,,,-0.19,-0.37,-0.26,-0.44,,-0.48,-0.7,-0.51,,,-0.48,-0.57,-135.333,-56.651,-7.817,N/A 
HIP 33160 ,-0.37,-4.14,-0.49,-0.45,-0.12,-0.16,0.01,-0.16,-0.27,-0.34,-0.13,-0.04,-0.26,-0.56,-0.22,-0.4,-0.48,-17.263,71.642,-15.716,thick 
HIP 98698 ,0.2,-3.78,,-0.04,0.45,0.11,0.24,0.24,0.32,0.19,0.3,,0.21,0.12,0.33,0.18,-0.09,6.478,-10.912,0.738,thin 
HIP 394 ,-0.44,-1.3,-0.25,-0.12,-0.46,-0.25,-0.38,-0.32,-0.32,-0.14,-0.37,-0.48,-0.44,-0.7,-0.42,-0.46,-0.42,29.05,0.621,20.089,thick 
HIP 98702 ,-0.11,-2.46,0.01,0.08,-0.29,0,-0.15,-0.02,-0.14,0.03,-0.16,-0.08,-0.17,-0.31,-0.01,-0.02,-0.18,22.727,-38.269,109.467,thin 
HIP 65936 ,-0.3,,,,,-0.36,-0.11,-0.13,-0.05,-0.28,-0.3,-0.43,-0.31,-0.33,-0.3,-0.34,-0.12,-193.61,-81.231,-172.508,thin 
HIP 400 ,-0.37,,,-0.02,-0.31,,,-0.23,,,-0.22,,,,,-0.4,,24.195,0.521,10.407,thin 
HIP 407 ,0.16,,-0.01,0.12,0.06,0.12,0.05,0.14,0.11,0.15,0.08,0.08,0.14,0.06,0.15,0.15,0.13,14.98,0.325,-41.647,thin 
HIP 98714 ,-0.22,-2.08,-0.16,-0.19,-0.28,-0.1,-0.17,-0.2,-0.19,-0.1,-0.13,-0.26,-0.27,-0.34,-0.14,-0.25,-0.21,28.399,-47.728,29.912,thin 
HIP 410 ,-0.06,-2.99,-0.31,-0.07,0.08,0.03,0.13,0.07,0.01,-0.02,-0.04,-0.11,-0.03,-0.17,-0.02,-0.07,-0.07,115.764,2.536,60.727,thin 
2MASS 16264610+5102280 ,0.09,,0.08,0.07,-0.09,0.05,0.01,0.07,0.1,,0.07,0.07,0.08,-0.04,,0.08,0.17,-143.031,-331.988,447.056,N/A 
HIP 413 ,-0.08,-0.63,-0.07,-0.05,-0.13,0.08,-0.17,-0.07,-0.05,0.01,-0.06,-0.13,-0.09,-0.26,-0.09,-0.12,0.02,41.152,0.906,-29.923,thin 
HIP 65951 ,0.25,-3.2,-0.08,-0.14,0.58,0.5,0.54,0.48,0.31,0.2,0.22,0.31,0.35,0.23,0.31,0.35,0.16,-53.058,-22.321,52.023,thin 
HIP 417 ,0.18,-2.9,-0.06,-0.04,0.39,0.35,0.44,0.44,0.29,0.16,0.17,0.2,0.24,0.15,0.21,0.29,0.06,145.309,3.211,-1.276,thin 
HIP 419 ,-0.39,,-0.05,,-0.31,,-0.41,-0.27,-0.33,,0,,,,,-0.37,,133.823,2.987,-122.949,N/A 
HIP 420 ,0.02,,0.01,-0.13,-0.09,-0.03,,0.03,-0.02,,-0.03,-0.11,0.02,,-0.06,0.02,,25.91,0.579,-33.353,thin 
HIP 98723 ,-0.02,,-0.07,,0.2,0.05,0.24,0.03,0.02,0.56,0.32,0.59,0,-0.25,0.17,0.01,,19.762,-33.188,-4.256,N/A 
HIP 65963 ,-0.04,,,,-0.16,0.07,-0.07,-0.11,-0.11,-0.11,-0.02,-0.05,-0.13,-0.32,-0.03,-0.14,,-46.837,-19.755,-7.151,N/A 
HIP 98731 ,-0.19,,,,-0.36,0.07,-0.21,0,-0.26,-0.02,-0.12,-0.17,-0.32,-0.43,-0.15,-0.17,,108.885,-182.629,256.19,thin 
2MASS 19261895+4431541 ,-0.09,,-0.11,-0.05,-0.26,-0.12,-0.33,-0.11,-0.04,,-0.11,-0.06,-0.11,-0.38,,-0.11,-0.13,218.909,-553.494,585.561,N/A 
2MASS 19050356+4213186 ,-0.33,,-0.23,,0.43,-0.07,,0.07,0.04,,,,,0.44,,-0.23,,72.671,-249.081,235.45,N/A 
HIP 65971 ,-0.24,,,-0.06,-0.25,-0.3,-0.28,-0.18,-0.08,0,-0.14,-0.23,-0.16,-0.46,-0.2,-0.28,0.14,-22.37,-9.445,40.338,thin 
HIP 436 ,-0.64,,-0.45,-0.05,-0.48,-0.53,-0.4,-0.6,-0.42,0,-0.21,0.06,-0.53,-0.86,-0.46,-0.63,,6.19,0.143,-15.197,thin 
HIP 65974 ,-0.68,,-0.48,-0.1,-0.74,-0.46,-0.58,-0.47,-0.52,-0.43,-0.45,-0.59,-0.69,-1.04,-0.49,-0.7,,-112.909,-47.682,372.641,N/A 
HIP 33212 ,0.02,-0.81,0.05,-0.02,-0.08,0.02,-0.05,-0.02,0.04,0.11,0.02,-0.07,-0.04,-0.19,0.02,-0.06,0.09,-6.69,27.489,12.742,thin 
HIP 65982 ,-0.42,-3.02,,-0.28,-0.12,-0.04,-0.07,-0.24,-0.14,-0.07,-0.02,-0.08,-0.21,-0.52,-0.13,-0.36,-0.14,-24.368,-10.302,-1.071,thin 
HIP 447 ,-0.64,-2.31,-0.29,-0.63,-0.89,-0.6,-0.35,-0.38,-0.3,-0.48,-0.3,,-0.29,-0.48,,-0.44,-0.02,332.903,7.802,51.478,N/A 
HIP 65986 ,-0.1,,-0.02,,-0.12,-0.03,-0.04,-0.09,-0.08,0,0.03,0.08,-0.1,-0.21,-0.09,-0.11,,-19.188,-8.119,-50.094,thin 
2MASS 19353249+3931113 ,0.09,,0.02,0,-0.15,0.01,-0.1,0.02,0.12,,0.05,0.09,0.12,-0.11,,0.02,0.18,119.173,-269.115,242.791,N/A 
HIP 33220 ,-0.6,,,-0.3,-0.62,-0.31,-0.71,-0.48,-0.49,-0.27,-0.47,,-0.69,-0.81,,-0.67,-0.75,-24.192,99.254,-61.725,thin 
HIP 33221 ,-1.32,-0.96,-1.15,-0.77,-1.29,-0.96,,-1.1,-1.06,-1.38,-0.96,,-1.4,-1.7,,-1.31,-1.34,-24.022,98.549,-67.769,thick 
HIP 459 ,0.04,-1.37,0.02,-0.27,0.08,0.05,0,0.03,-0.53,0.09,0.12,0.08,0.08,-0.12,0.02,-0.52,,27.632,0.66,-50.331,thin 
HIP 98764 ,-0.27,,-0.32,,-0.09,-0.18,-0.19,-0.29,-0.12,-0.04,-0.01,0.19,-0.2,-0.39,-0.23,-0.3,,5.517,-9.22,-36.871,N/A 
